sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
36x57_left2_right2-24-0;1;1;	;-435,0;1653,0;-1;90;17,864827871322632;5,487022638320923;30,714108626419627;545569,0;1497202,0;2281311,0;4324082,0;	;-507,0;1653,0;-1;93;39,6930193901062;12,083794355392456;30,443122093161897;623739,0;1802051,0;2769276,0;5195066,0
36x57_left2_right2-24-1;1;1;	;-459,0;1677,0;-1;101;35,06006145477295;6,862149000167847;19,57255268653746;601655,0;1700291,0;2600083,0;4902029,0;	;-747,0;1677,0;-1;113;136,08811330795288;18,413148403167725;13,530313526722745;942331,0;3083512,0;4834974,0;8860817,0
36x57_left2_right2-24-2;1;1;	;-359,0;1561,0;-1;83;12,04892611503601;3,5380470752716064;29,36400340986764;406531,0;1013151,0;1526335,0;2946017,0;	;-431,0;1561,0;-1;86;26,43612265586853;8,215602159500122;31,077182786774323;479832,0;1282267,0;1950003,0;3712102,0
36x57_left2_right2-24-3;1;1;	;-393,0;1623,0;-1;87;18,782373666763306;5,337992906570435;28,42022526692874;487062,0;1318849,0;2010752,0;3816663,0;	;-465,0;1623,0;-1;90;40,353657484054565;11,298462152481079;27,99860745446823;566283,0;1616828,0;2483436,0;4666547,0
36x57_left2_right2-24-4;1;1;	;-472,0;1664,0;-1;115;30,120047569274902;5,867101430892944;19,479057652212685;597525,0;1677130,0;2563794,0;4838449,0;	;-1096,0;1664,0;-1;141;181,13376903533936;23,702606916427612;13,085691885428174;1322954,0;4673246,0;7421534,0;13417734,0
36x57_left2_right2-24-5;1;1;	;-468,0;1620,0;-1;89;19,394718885421753;6,149044036865234;31,704734021627033;560761,0;1574360,0;2409894,0;4545015,0;	;-516,0;1620,0;-1;91;40,39824175834656;13,440251111984253;33,26939620882734;614488,0;1781832,0;2741009,0;5137329,0
36x57_left2_right2-24-6;1;1;	;-552,0;1608,0;-1;116;37,32713222503662;7,6465020179748535;20,48510443255021;646957,0;1921788,0;2970754,0;5539499,0;	;-1176,0;1608,0;-1;142;241,91274189949036;27,419710397720337;11,334545746710873;1392074,0;5003012,0;7969716,0;14364802,0
36x57_left2_right2-24-7;1;1;	;-320,0;1648,0;-1;85;12,939234733581543;4,0870583057403564;31,58655353189555;425500,0;1065959,0;1602125,0;3093584,0;	;-392,0;1648,0;-1;88;34,64377212524414;8,903749465942383;25,70086604239733;504680,0;1357225,0;2061591,0;3923496,0
36x57_left2_right2-24-8;1;1;	;-395,0;1597,0;-1;84;13,695796728134155;4,739786386489868;34,60759881718537;471840,0;1238444,0;1877421,0;3587705,0;	;-419,0;1597,0;-1;85;29,21022057533264;9,455496311187744;32,37050636711964;498323,0;1335981,0;2030308,0;3864612,0
36x57_left2_right2-24-9;1;1;	;-409,0;1679,0;-1;92;20,209040641784668;5,861424446105957;29,003971786699978;522344,0;1381874,0;2089283,0;3993501,0;	;-529,0;1679,0;-1;97;51,514952421188354;12,763745307922363;24,776777824747775;656157,0;1902806,0;2922332,0;5481295,0
36x57_left2_right2-28-0;1;1;	;-603,0;1889,0;-1;95;38,198795795440674;7,90791916847229;20,70201168335302;674969,0;2027856,0;3142355,0;5845180,0;	;-771,0;1889,0;-1;101;142,63811016082764;19,6501522064209;13,776228656047754;858714,0;2780822,0;4358793,0;7998329,0
36x57_left2_right2-28-1;1;1;	;-258,0;1814,0;-1;78;7,87098503112793;2,385915517807007;30,312794502482998;303035,0;649633,0;965434,0;1918102,0;	;-370,0;1814,0;-1;82;21,521288633346558;6,080339431762695;28,252673598463808;397113,0;984239,0;1488213,0;2869565,0
36x57_left2_right2-28-2;1;1;	;-364,0;1904,0;-1;82;14,312028169631958;5,26237416267395;36,76889187403881;455636,0;1180569,0;1788259,0;3424464,0;	;-392,0;1904,0;-1;83;28,91282296180725;10,083522319793701;34,8756063464078;483379,0;1286244,0;1956098,0;3725721,0
