sep=;
Instance; Models; Optimum; Optimization; Calls; Time(Total); Time(Solving); Time(1st Model); Time(Unsat); CPU Time; Threads
Instances\Corridor3\agent_10_0.lp;11+;unknown;26;1;300,051;297,75;0,11;0,00;926,781;4        (Winner: 4)
Instances\Corridor3\agent_10_1.lp;39+;unknown;8;1;300,030;297,09;0,08;0,00;890,719;4        (Winner: 4)
Instances\Corridor3\agent_10_10.lp;2;yes;9;1;206,961;204,11;0,23;0,03;618,281;4        (Winner: 4)
Instances\Corridor3\agent_10_11.lp;11;yes;6;1;23,198;20,38;0,23;0,02;61,766;4        (Winner: 4)
Instances\Corridor3\agent_10_12.lp;2+;unknown;36;1;300,062;297,27;0,13;0,00;888,922;4        (Winner: 4)
Instances\Corridor3\agent_10_13.lp;3+;unknown;33;1;300,089;296,95;0,10;0,00;925,531;4        (Winner: 4)
Instances\Corridor3\agent_10_14.lp;22+;unknown;23;1;300,022;297,31;0,10;0,00;913,641;4        (Winner: 4)
Instances\Corridor3\agent_10_15.lp;1+;unknown;31;1;300,071;297,38;0,11;0,00;921,563;4        (Winner: 4)
Instances\Corridor3\agent_10_16.lp;3;yes;5;1;10,582;7,69;0,08;0,02;24,625;4        (Winner: 4)
Instances\Corridor3\agent_10_17.lp;5+;unknown;48;1;300,018;297,57;0,08;0,00;956,969;4        (Winner: 4)
Instances\Corridor3\agent_10_18.lp;1+;unknown;25;1;300,027;297,30;0,08;0,00;893,969;4        (Winner: 4)
Instances\Corridor3\agent_10_19.lp;10;yes;7;1;138,713;136,15;0,07;0,04;398,453;4        (Winner: 4)
Instances\Corridor3\agent_10_2.lp;1+;unknown;22;1;300,043;297,09;0,10;0,00;867,375;4        (Winner: 4)
Instances\Corridor3\agent_10_20.lp;10+;unknown;26;1;300,060;297,13;0,14;0,00;893,922;4        (Winner: 4)
Instances\Corridor3\agent_10_21.lp;2;yes;1;1;2,852;0,14;0,09;0,01;3,000;4        (Winner: 4)
Instances\Corridor3\agent_10_22.lp;31;yes;5;1;47,263;44,55;0,13;26,86;141,063;4        (Winner: 4)
Instances\Corridor3\agent_10_23.lp;2+;unknown;17;1;300,048;297,57;0,07;0,00;920,531;4        (Winner: 4)
Instances\Corridor3\agent_10_24.lp;13+;unknown;98;1;300,030;297,34;0,15;0,00;942,859;4        (Winner: 4)
Instances\Corridor3\agent_10_25.lp;2;yes;7;1;111,933;109,25;0,09;0,03;340,281;4        (Winner: 4)
Instances\Corridor3\agent_10_26.lp;2;yes;2;1;2,798;0,18;0,10;0,01;2,953;4        (Winner: 4)
Instances\Corridor3\agent_10_27.lp;2;yes;6;1;10,702;8,30;0,07;0,01;28,313;4        (Winner: 4)
Instances\Corridor3\agent_10_28.lp;18+;unknown;42;1;300,064;297,46;0,09;0,00;881,422;4        (Winner: 4)
Instances\Corridor3\agent_10_29.lp;2+;unknown;37;1;300,045;296,26;0,13;0,00;663,750;4        (Winner: 4)
Instances\Corridor3\agent_10_3.lp;28+;unknown;30;1;300,059;297,09;0,13;0,00;658,703;4        (Winner: 4)
Instances\Corridor3\agent_10_30.lp;1+;unknown;21;1;300,059;296,55;0,07;0,00;907,719;4        (Winner: 4)
Instances\Corridor3\agent_10_31.lp;1+;unknown;34;1;300,018;297,33;0,08;0,00;799,797;4        (Winner: 4)
Instances\Corridor3\agent_10_32.lp;7+;unknown;48;1;300,028;297,15;0,13;0,00;782,188;4        (Winner: 4)
Instances\Corridor3\agent_10_33.lp;3+;unknown;27;1;300,035;295,54;0,19;0,00;703,875;4        (Winner: 4)
Instances\Corridor3\agent_10_34.lp;2;yes;3;1;6,327;3,04;0,17;0,01;10,922;4        (Winner: 4)
Instances\Corridor3\agent_10_35.lp;2+;unknown;70;1;300,053;296,86;0,11;0,00;861,563;4        (Winner: 4)
Instances\Corridor3\agent_10_36.lp;2+;unknown;30;1;300,059;297,35;0,09;0,00;924,672;4        (Winner: 4)
Instances\Corridor3\agent_10_37.lp;4+;unknown;32;1;300,040;297,39;0,12;0,00;917,141;4        (Winner: 4)
Instances\Corridor3\agent_10_38.lp;3;yes;6;1;28,928;26,31;0,07;0,02;80,188;4        (Winner: 4)
Instances\Corridor3\agent_10_39.lp;11;yes;3;1;48,153;45,44;0,08;0,02;140,656;4        (Winner: 4)
Instances\Corridor3\agent_10_4.lp;1+;unknown;46;1;300,052;297,20;0,12;0,00;901,969;4        (Winner: 4)
Instances\Corridor3\agent_10_40.lp;1+;unknown;31;1;300,058;297,34;0,10;0,00;906,172;4        (Winner: 4)
Instances\Corridor3\agent_10_41.lp;1+;unknown;39;1;300,059;297,25;0,12;0,00;923,797;4        (Winner: 4)
Instances\Corridor3\agent_10_42.lp;2+;unknown;36;1;300,029;297,12;0,09;0,00;924,375;4        (Winner: 4)
Instances\Corridor3\agent_10_43.lp;7+;unknown;15;1;300,061;296,93;0,14;0,00;720,141;4        (Winner: 4)
Instances\Corridor3\agent_10_44.lp;1+;unknown;45;1;300,027;296,80;0,09;0,00;839,531;4        (Winner: 4)
Instances\Corridor3\agent_10_45.lp;6+;unknown;21;1;300,028;297,53;0,07;0,00;972,234;4        (Winner: 4)
Instances\Corridor3\agent_10_46.lp;2+;unknown;64;1;300,032;297,34;0,08;0,00;974,406;4        (Winner: 4)
Instances\Corridor3\agent_10_47.lp;3+;unknown;27;1;300,035;297,47;0,07;0,00;975,391;4        (Winner: 4)
Instances\Corridor3\agent_10_48.lp;10;yes;6;1;59,630;57,08;0,07;0,02;189,672;4        (Winner: 4)
Instances\Corridor3\agent_10_49.lp;2+;unknown;21;1;300,028;297,26;0,08;0,00;969,563;4        (Winner: 4)
Instances\Corridor3\agent_10_5.lp;2+;unknown;35;1;300,041;297,52;0,12;0,00;972,703;4        (Winner: 4)
Instances\Corridor3\agent_10_50.lp;5;yes;7;1;55,512;53,19;0,10;0,01;175,953;4        (Winner: 4)
Instances\Corridor3\agent_10_51.lp;2+;unknown;20;1;300,068;297,66;0,06;0,00;966,344;4        (Winner: 4)
Instances\Corridor3\agent_10_52.lp;2+;unknown;33;1;300,080;297,69;0,10;0,00;980,359;4        (Winner: 4)
Instances\Corridor3\agent_10_53.lp;3+;unknown;62;1;300,040;297,69;0,06;0,00;981,250;4        (Winner: 4)
Instances\Corridor3\agent_10_54.lp;2+;unknown;25;1;300,044;297,61;0,10;0,00;974,672;4        (Winner: 4)
Instances\Corridor3\agent_10_55.lp;12+;unknown;24;1;300,025;297,57;0,13;0,00;970,313;4        (Winner: 4)
Instances\Corridor3\agent_10_56.lp;1+;unknown;20;1;300,033;297,57;0,07;0,00;979,906;4        (Winner: 4)
Instances\Corridor3\agent_10_57.lp;5+;unknown;26;1;300,033;297,54;0,13;0,00;969,813;4        (Winner: 4)
Instances\Corridor3\agent_10_58.lp;16+;unknown;45;1;300,014;297,70;0,08;0,00;972,578;4        (Winner: 4)
Instances\Corridor3\agent_10_59.lp;2+;unknown;45;1;300,041;297,52;0,07;0,00;969,625;4        (Winner: 4)
Instances\Corridor3\agent_10_6.lp;1+;unknown;48;1;300,028;297,72;0,10;0,00;967,813;4        (Winner: 4)
Instances\Corridor3\agent_10_60.lp;2+;unknown;16;1;300,028;297,66;0,09;0,00;965,313;4        (Winner: 4)
Instances\Corridor3\agent_10_61.lp;3;yes;7;1;25,063;22,77;0,07;0,02;76,000;4        (Winner: 4)
Instances\Corridor3\agent_10_62.lp;3;yes;6;1;22,820;20,50;0,06;0,02;70,359;4        (Winner: 4)
Instances\Corridor3\agent_10_63.lp;1+;unknown;20;1;300,043;297,66;0,08;0,00;979,641;4        (Winner: 4)
Instances\Corridor3\agent_10_64.lp;2+;unknown;50;1;300,038;297,71;0,09;0,00;969,969;4        (Winner: 4)
Instances\Corridor3\agent_10_65.lp;1+;unknown;16;1;300,016;297,61;0,08;0,00;980,563;4        (Winner: 4)
Instances\Corridor3\agent_10_66.lp;2;yes;4;1;2,502;0,20;0,07;0,00;2,906;4        (Winner: 4)
Instances\Corridor3\agent_10_67.lp;2+;unknown;58;1;300,042;297,68;0,10;0,00;984,063;4        (Winner: 4)
Instances\Corridor3\agent_10_68.lp;2+;unknown;29;1;300,049;297,46;0,11;0,00;977,703;4        (Winner: 4)
Instances\Corridor3\agent_10_69.lp;14+;unknown;13;1;300,042;297,72;0,08;0,00;973,484;4        (Winner: 4)
Instances\Corridor3\agent_10_7.lp;20+;unknown;29;1;300,046;297,61;0,07;0,00;976,813;4        (Winner: 4)
Instances\Corridor3\agent_10_70.lp;59+;unknown;29;1;300,030;297,22;0,10;0,00;997,922;4        (Winner: 4)
Instances\Corridor3\agent_10_71.lp;8+;unknown;92;1;300,053;297,54;0,07;0,00;984,969;4        (Winner: 4)
Instances\Corridor3\agent_10_72.lp;3;yes;4;1;9,276;6,65;0,07;0,01;23,313;4        (Winner: 4)
Instances\Corridor3\agent_10_73.lp;3+;unknown;35;1;300,019;297,71;0,10;0,00;978,547;4        (Winner: 4)
Instances\Corridor3\agent_10_74.lp;7+;unknown;41;1;300,036;297,70;0,13;0,00;966,094;4        (Winner: 4)
Instances\Corridor3\agent_10_75.lp;12+;unknown;40;1;300,066;297,68;0,09;0,00;1001,984;4        (Winner: 4)
Instances\Corridor3\agent_10_76.lp;1+;unknown;9;1;300,044;297,65;0,06;0,00;944,672;4        (Winner: 4)
Instances\Corridor3\agent_10_77.lp;1+;unknown;18;1;300,057;297,66;0,08;0,00;962,563;4        (Winner: 4)
Instances\Corridor3\agent_10_78.lp;2+;unknown;23;1;300,078;297,47;0,07;0,00;963,031;4        (Winner: 4)
Instances\Corridor3\agent_10_79.lp;2;yes;3;1;2,485;0,14;0,07;0,01;2,781;4        (Winner: 4)
Instances\Corridor3\agent_10_8.lp;7;yes;3;1;19,842;17,47;0,11;0,04;58,531;4        (Winner: 4)
Instances\Corridor3\agent_10_80.lp;1+;unknown;86;1;300,051;297,82;0,16;0,00;1006,141;4        (Winner: 4)
Instances\Corridor3\agent_10_81.lp;44+;unknown;26;1;300,061;297,64;0,07;0,00;977,547;4        (Winner: 4)
Instances\Corridor3\agent_10_82.lp;3+;unknown;14;1;300,045;297,70;0,08;0,00;961,969;4        (Winner: 4)
Instances\Corridor3\agent_10_83.lp;2+;unknown;72;1;300,021;297,70;0,18;0,00;978,297;4        (Winner: 4)
Instances\Corridor3\agent_10_84.lp;3+;unknown;94;1;300,044;297,67;0,10;0,00;978,688;4        (Winner: 4)
Instances\Corridor3\agent_10_85.lp;2+;unknown;61;1;300,026;297,70;0,08;0,00;975,234;4        (Winner: 4)
Instances\Corridor3\agent_10_86.lp;1+;unknown;25;1;300,047;297,39;0,09;0,00;976,484;4        (Winner: 4)
Instances\Corridor3\agent_10_87.lp;6+;unknown;26;1;300,062;297,71;0,08;0,00;962,094;4        (Winner: 4)
Instances\Corridor3\agent_10_88.lp;4+;unknown;25;1;300,022;297,67;0,12;0,00;952,172;4        (Winner: 4)
Instances\Corridor3\agent_10_89.lp;5+;unknown;49;1;300,049;297,66;0,08;0,00;977,922;4        (Winner: 4)
Instances\Corridor3\agent_10_9.lp;3;yes;5;1;11,437;9,02;0,07;0,01;31,766;4        (Winner: 4)
Instances\Corridor3\agent_10_90.lp;34;yes;5;1;157,126;154,79;0,12;0,03;499,891;4        (Winner: 4)
Instances\Corridor3\agent_10_91.lp;4+;unknown;22;1;300,047;297,71;0,07;0,00;983,016;4        (Winner: 4)
Instances\Corridor3\agent_10_92.lp;3;yes;2;1;2,512;0,20;0,06;0,01;2,922;4        (Winner: 4)
Instances\Corridor3\agent_10_93.lp;16;yes;5;1;93,965;91,67;0,07;0,01;296,141;4        (Winner: 4)
Instances\Corridor3\agent_10_94.lp;2+;unknown;25;1;300,044;297,75;0,07;0,00;988,953;4        (Winner: 4)
Instances\Corridor3\agent_10_95.lp;5+;unknown;14;1;300,036;297,76;0,06;0,00;970,719;4        (Winner: 4)
Instances\Corridor3\agent_10_96.lp;1+;unknown;46;1;300,031;297,69;0,12;0,00;972,375;4        (Winner: 4)
Instances\Corridor3\agent_10_97.lp;2+;unknown;34;1;300,074;297,76;0,09;0,00;963,266;4        (Winner: 4)
Instances\Corridor3\agent_10_98.lp;2+;unknown;30;1;300,045;297,77;0,08;0,00;958,250;4        (Winner: 4)
Instances\Corridor3\agent_10_99.lp;2+;unknown;31;1;300,081;297,77;0,09;0,00;967,578;4        (Winner: 4)
