sep=;
Instance; Models; Optimum; Calls;Threads;MIN-Timestep;Min-SUMTIME; ;1stTime(Total); 1stTime(Solving);1stTime(Unsat); 1stCPU Time;1stOptimization;1stSOL-COST; 1st Makespan; ;OPT - Optimization; OPT- Time(Total); OPT-Time(Solving); OPT-Time(Unsat); OPT-CPU Time; OPT-SOL-COST; Last-Makespan ;OPT-Makespan; OPT-Solved;Moved On Goal; Theoric Makespan; 1stRunTime ;Total RunTime; Called Extra
Instance-10-20-15-0;1,0;1,0;1,0;4,0;12;108;	;0,85272216796875;0,17794036865234375;0,003997802734375;1,296875;12,0;120,0;12;	;11,0;98,06682586669922;96,20943450927734;0,11296272277832031;322,703125;119,0;24;24;True;False;24,0;0,8327267169952393;99,10648441314697;False
Instance-10-20-15-1;1,0;1,0;0,0;4,0;14;122;	;131,66818618774414;130,58054161071777;0,09196853637695312;412,484375;15,0;137,0;14;	;15,0;131,66818618774414;130,58054161071777;0,09196853637695312;412,484375;137,0;14;-1;False;True;29,0;131,6521918773651;300,384831905365;False
Instance-10-20-15-2;1,0;1,0;1,0;4,0;13;83;	;0,9536876678466797;0,052982330322265625;0,0019989013671875;1,015625;3,0;86,0;13;	;3,0;0,4968376159667969;0,0679779052734375;0,0020008087158203125;0,625;86,0;16;16;True;True;16,0;0,9346933364868164;1,5135040283203125;False
Instance-10-20-15-3
Instance-10-20-15-4;1,0;1,0;1,0;4,0;13;120;	;0,8307285308837891;0,03598785400390625;0,0019989013671875;0,8125;1,0;121,0;13;	;1,0;0,1689453125;0,020994186401367188;0,0019989013671875;0,21875;121,0;14;14;True;False;14,0;0,8117349147796631;1,0316617488861084;False
Instance-10-20-15-5;1,0;1,0;1,0;4,0;15;123;	;12,45091438293457;11,398260116577148;0,0259857177734375;40,609375;10,0;133,0;15;	;10,0;133,094331741333;131,48685836791992;0,07697105407714844;469,5625;133,0;25;25;True;True;25,0;12,432922124862671;145,71319341659546;False
Instance-10-20-15-6
Instance-10-20-15-7;1,0;1,0;0,0;4,0;13;110;	;76,68984031677246;75,85511207580566;0,030988693237304688;268,78125;22,0;132,0;13;	;22,0;76,68984031677246;75,85511207580566;0,030988693237304688;268,78125;132,0;13;-1;False;True;35,0;76,67084670066833;300,4194366931915;False
Instance-10-20-15-8;1,0;1,0;0,0;4,0;13;118;	;43,0048885345459;42,15216827392578;0,01699066162109375;149,890625;13,0;131,0;13;	;13,0;43,0048885345459;42,15216827392578;0,01699066162109375;149,890625;131,0;13;-1;False;False;26,0;42,98489785194397;300,3874475955963;False
Instance-10-20-15-9;1,0;1,0;1,0;4,0;13;113;	;1,577484130859375;0,8227329254150391;0,00499725341796875;3,59375;11,0;124,0;13;	;6,0;10,453569412231445;8,778118133544922;0,04198455810546875;33,0625;119,0;24;24;True;False;24,0;1,556490182876587;12,127021551132202;False
