sep=;
Instance; Models; Optimum; Optimization; Calls; Time(Total); Time(Solving); Time(1st Model); Time(Unsat); CPU Time; Threads
...stances\Grid10_2\Instance-10-20-6-0.lp;1;yes;0;1;1,034;0,04;0,03;0,00;1,109;4        (Winner: 4)
...stances\Grid10_2\Instance-10-20-6-1.lp;5;yes;2;1;0,959;0,07;0,03;0,01;1,078;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-10.lp;1;yes;0;1;0,897;0,03;0,03;0,00;0,922;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-11.lp;1;yes;0;1;0,883;0,03;0,03;0,00;0,953;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-12.lp;4;yes;5;1;9,341;8,43;0,03;2,13;23,781;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-13.lp;1;yes;0;1;0,959;0,03;0,03;0,00;0,969;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-14.lp;9;yes;1;1;1,002;0,13;0,03;0,01;1,297;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-15.lp;2;yes;1;1;0,891;0,04;0,03;0,00;1,016;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-16.lp;16;yes;6;1;15,934;15,08;0,03;0,01;45,750;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-17.lp;5;yes;5;1;9,246;8,30;0,04;0,01;27,109;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-18.lp;1;yes;0;1;0,977;0,04;0,04;0,01;0,984;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-19.lp;6;yes;3;1;3,123;1,83;0,04;0,03;6,000;4        (Winner: 4)
...stances\Grid10_2\Instance-10-20-6-2.lp;2;yes;0;1;0,993;0,04;0,04;0,00;1,094;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-20.lp;2;yes;0;1;0,935;0,03;0,03;0,00;0,984;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-21.lp;3;yes;5;1;1,024;0,14;0,03;0,01;1,266;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-22.lp;7;yes;0;1;0,914;0,05;0,03;0,00;0,984;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-23.lp;10;yes;4;1;1,931;1,04;0,03;0,01;4,172;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-24.lp;2;yes;0;1;0,880;0,03;0,03;0,00;0,906;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-25.lp;3;yes;2;1;1,670;0,83;0,03;0,01;3,625;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-26.lp;1;yes;0;1;0,901;0,04;0,03;0,00;0,906;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-27.lp;2;yes;1;1;0,897;0,05;0,04;0,01;0,969;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-28.lp;1;yes;0;1;0,906;0,03;0,03;0,00;0,969;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-29.lp;4;yes;1;1;0,912;0,06;0,03;0,01;1,000;4        (Winner: 4)
...stances\Grid10_2\Instance-10-20-6-3.lp;1;yes;0;1;0,934;0,03;0,03;0,00;0,969;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-30.lp;1;yes;0;1;0,841;0,03;0,03;0,00;0,828;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-31.lp;5;yes;8;1;107,438;106,59;0,03;51,49;340,688;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-32.lp;8;yes;2;1;1,284;0,37;0,04;0,00;1,953;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-33.lp;3;yes;2;1;1,016;0,10;0,03;0,01;1,203;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-34.lp;2;yes;0;1;0,879;0,03;0,03;0,00;0,938;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-35.lp;1;yes;0;1;0,883;0,03;0,03;0,00;0,953;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-36.lp;1;yes;0;1;1,032;0,05;0,05;0,00;1,078;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-37.lp;1;yes;0;1;1,008;0,04;0,04;0,00;1,094;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-38.lp;2;yes;2;1;1,237;0,28;0,06;0,00;1,609;4        (Winner: 4)
...tances\Grid10_2\Instance-10-20-6-39.lp;3;yes;1;1;1,000;0,07;0,03;0,01;1,078;4        (Winner: 4)
...stances\Grid10_2\Instance-10-20-6-4.lp;6;yes;1;1;1,024;0,08;0,03;0,02;1,078;4        (Winner: 4)
