sep=;
Instance; Models; Optimum; Optimization; Calls; Time(Total); Time(Solving); Time(1st Model); Time(Unsat); CPU Time; Threads
...stances\Grid10_2\Instance-10-20-6-0.lp;2;yes;0;1;0,892;0,05;0,02;0,00;0,891;
...stances\Grid10_2\Instance-10-20-6-1.lp;4;yes;2;1;5,135;4,27;0,03;0,03;5,109;
...tances\Grid10_2\Instance-10-20-6-10.lp;2;yes;0;1;0,940;0,05;0,02;0,00;0,891;
...tances\Grid10_2\Instance-10-20-6-11.lp;1;yes;0;1;0,856;0,02;0,02;0,00;0,813;
...tances\Grid10_2\Instance-10-20-6-12.lp;2;yes;5;1;25,505;24,64;0,03;8,44;25,047;
...tances\Grid10_2\Instance-10-20-6-13.lp;1;yes;0;1;0,866;0,02;0,02;0,00;0,828;
...tances\Grid10_2\Instance-10-20-6-14.lp;3;yes;1;1;0,903;0,08;0,02;0,00;0,891;
...tances\Grid10_2\Instance-10-20-6-15.lp;1;yes;1;1;0,867;0,02;0,02;0,00;0,828;
...tances\Grid10_2\Instance-10-20-6-16.lp;2;yes;6;1;22,408;21,57;0,02;21,15;22,016;
...tances\Grid10_2\Instance-10-20-6-17.lp;2;yes;5;1;29,884;29,02;0,02;19,30;28,672;
...tances\Grid10_2\Instance-10-20-6-18.lp;2;yes;0;1;0,986;0,05;0,02;0,00;0,922;
...tances\Grid10_2\Instance-10-20-6-19.lp;3;yes;3;1;12,750;11,22;0,02;0,19;10,813;
...stances\Grid10_2\Instance-10-20-6-2.lp;1;yes;0;1;1,040;0,02;0,02;0,00;0,875;
...tances\Grid10_2\Instance-10-20-6-20.lp;1;yes;0;1;1,129;0,04;0,04;0,00;1,016;
...tances\Grid10_2\Instance-10-20-6-21.lp;4;yes;5;1;4,293;3,23;0,03;1,65;4,047;
...tances\Grid10_2\Instance-10-20-6-22.lp;2;yes;0;1;1,069;0,06;0,02;0,00;0,984;
...tances\Grid10_2\Instance-10-20-6-23.lp;9;yes;4;1;25,173;23,91;0,12;2,56;22,766;
...tances\Grid10_2\Instance-10-20-6-24.lp;1;yes;0;1;1,131;0,02;0,02;0,00;0,891;
...tances\Grid10_2\Instance-10-20-6-25.lp;4;yes;2;1;16,297;15,40;0,02;0,04;14,984;
...tances\Grid10_2\Instance-10-20-6-26.lp;1;yes;0;1;0,963;0,02;0,02;0,00;0,891;
...tances\Grid10_2\Instance-10-20-6-27.lp;2;yes;1;1;0,940;0,02;0,02;0,00;0,906;
...tances\Grid10_2\Instance-10-20-6-28.lp;1;yes;0;1;0,918;0,02;0,02;0,00;0,813;
...tances\Grid10_2\Instance-10-20-6-29.lp;3;yes;1;1;0,896;0,05;0,02;0,00;0,844;
...stances\Grid10_2\Instance-10-20-6-3.lp;8;yes;0;1;1,118;0,22;0,02;0,00;1,047;
...tances\Grid10_2\Instance-10-20-6-30.lp;1;yes;0;1;0,819;0,01;0,01;0,00;0,797;
...tances\Grid10_2\Instance-10-20-6-31.lp;2+;unknown;9;1;300,002;299,13;0,02;0,00;292,859;
...tances\Grid10_2\Instance-10-20-6-32.lp;5;yes;2;1;6,261;5,39;0,02;0,04;6,063;
...tances\Grid10_2\Instance-10-20-6-33.lp;8+;unknown;27;1;300,002;299,12;0,02;0,00;295,125;
...tances\Grid10_2\Instance-10-20-6-34.lp;1;yes;0;1;0,877;0,02;0,02;0,00;0,844;
...tances\Grid10_2\Instance-10-20-6-35.lp;1;yes;0;1;0,843;0,01;0,01;0,00;0,828;
...tances\Grid10_2\Instance-10-20-6-36.lp;2;yes;0;1;0,916;0,04;0,02;0,00;0,891;
...tances\Grid10_2\Instance-10-20-6-37.lp;1;yes;0;1;0,931;0,02;0,02;0,00;0,891;
...tances\Grid10_2\Instance-10-20-6-38.lp;2;yes;2;1;2,486;1,61;0,02;0,03;2,453;
...tances\Grid10_2\Instance-10-20-6-39.lp;4;yes;1;1;0,981;0,11;0,03;0,00;0,969;
...stances\Grid10_2\Instance-10-20-6-4.lp;5;yes;1;1;0,943;0,10;0,02;0,00;0,938;
...tances\Grid10_2\Instance-10-20-6-40.lp;2;yes;3;1;3,956;3,10;0,02;3,08;3,906;
...tances\Grid10_2\Instance-10-20-6-41.lp;4;yes;2;1;0,958;0,12;0,01;0,03;0,938;
...tances\Grid10_2\Instance-10-20-6-42.lp;2;yes;1;1;0,920;0,07;0,03;0,00;0,922;
...tances\Grid10_2\Instance-10-20-6-43.lp;1;yes;2;1;0,909;0,04;0,02;0,03;0,891;
...tances\Grid10_2\Instance-10-20-6-44.lp;5;yes;2;1;1,485;0,62;0,02;0,03;1,438;
...tances\Grid10_2\Instance-10-20-6-45.lp;1;yes;2;1;0,872;0,06;0,02;0,04;0,875;
...tances\Grid10_2\Instance-10-20-6-46.lp;3;yes;0;1;0,927;0,06;0,02;0,00;0,875;
...tances\Grid10_2\Instance-10-20-6-47.lp;3;yes;0;1;0,905;0,04;0,01;0,00;0,859;
...tances\Grid10_2\Instance-10-20-6-48.lp;2;yes;0;1;0,858;0,05;0,02;0,00;0,828;
...tances\Grid10_2\Instance-10-20-6-49.lp;13;yes;6;1;72,824;71,98;0,02;9,64;71,578;
