sep=;
Instance; Models; Optimum; 1stOptimization; Calls; 1stTime(Total); 1stTime(Solving);1stTime(Unsat); 1stCPU Time; Threads; MIN-Timestep;Min-SUMTIME; 1stSOL-COST;Optimization;Time(Total); Time(Solving);Time(Unsat); CPU Time; SOL-COST
Instance-10-20-6-0;1,0;1,0;0,0;1,0;0,3283882141113281;0,012996673583984375;0,00099945068359375;0,34375;4,0;15;37;37,0;0,0;0,04898643493652344;0,006999969482421875;0,0;0,046875;37,0
Instance-10-20-6-1;1,0;1,0;2,0;1,0;0,3119831085205078;0,018993377685546875;0,0009975433349609375;0,3125;4,0;14;45;47,0;2,0;0,1459522247314453;0,020994186401367188;0,0019969940185546875;0,1875;47,0
Instance-10-20-6-10;1,0;1,0;0,0;1,0;0,19693756103515625;0,007997512817382812;0,00099945068359375;0,15625;4,0;11;32;32,0;0,0;0,044101715087890625;0,0069980621337890625;0,00099945068359375;0,046875;32,0
Instance-10-20-6-11;1,0;1,0;0,0;1,0;0,27924156188964844;0,011997222900390625;0,00099945068359375;0,28125;4,0;14;53;53,0;0,0;0,04998588562011719;0,0069980621337890625;0,0009975433349609375;0,078125;53,0
Instance-10-20-6-12;1,0;1,0;5,0;1,0;0,40886688232421875;0,1339550018310547;0,00899505615234375;0,703125;4,0;14;45;50,0;5,0;0,9896793365478516;0,7347621917724609;0,014995574951171875;2,359375;50,0
Instance-10-20-6-13;1,0;1,0;0,0;1,0;0,2379741668701172;0,008998870849609375;0,00099945068359375;0,21875;4,0;13;42;42,0;0,0;0,047985076904296875;0,0069980621337890625;0,00099945068359375;0,09375;42,0
Instance-10-20-6-14;1,0;1,0;1,0;1,0;0,22192764282226562;0,009996414184570312;0,0;0,203125;4,0;13;52;53,0;1,0;0,07839393615722656;0,009998321533203125;0,0009975433349609375;0,078125;53,0
Instance-10-20-6-15;1,0;1,0;1,0;1,0;0,23792266845703125;0,010995864868164062;0,0009975433349609375;0,234375;4,0;13;52;53,0;1,0;0,08497047424316406;0,009996414184570312;0,0019989013671875;0,109375;53,0
Instance-10-20-6-16;1,0;1,0;6,0;2,0;0,08397293090820312;0,04898643493652344;0,007997512817382812;0,21875;4,0;13;49;55,0;6,0;1,9339179992675781;1,6720027923583984;0,015993118286132812;4,546875;55,0
Instance-10-20-6-17;1,0;1,0;5,0;1,0;0,5929546356201172;0,20093536376953125;0,003997802734375;0,84375;4,0;15;59;64,0;5,0;3,0896568298339844;2,7931060791015625;0,015993118286132812;7,609375;64,0
Instance-10-20-6-18;1,0;1,0;0,0;1,0;0,1399555206298828;0,0069980621337890625;0,00099945068359375;0,125;4,0;10;47;47,0;0,0;0,0309906005859375;0,0039997100830078125;0,0;0,03125;47,0
Instance-10-20-6-19;1,0;1,0;5,0;1,0;0,19397735595703125;0,020994186401367188;0,0059967041015625;0,21875;4,0;11;49;54,0;3,0;0,2839088439941406;0,04198646545410156;0,00099945068359375;0,34375;52,0
Instance-10-20-6-2;1,0;1,0;0,0;1,0;0,18130874633789062;0,011997222900390625;0,00099945068359375;0,21875;4,0;12;55;55,0;0,0;0,044986724853515625;0,0059986114501953125;0,0;0,0625;55,0
Instance-10-20-6-20;1,0;1,0;0,0;1,0;0,11896133422851562;0,0039997100830078125;0,0010013580322265625;0,109375;4,0;9;35;35,0;0,0;0,028993606567382812;0,004001617431640625;0,0010013580322265625;0,03125;35,0
Instance-10-20-6-21;1,0;1,0;5,0;1,0;0,481842041015625;0,054981231689453125;0,0029964447021484375;0,59375;4,0;17;69;74,0;5,0;0,5622100830078125;0,2879066467285156;0,00499725341796875;0,90625;74,0
Instance-10-20-6-22;1,0;1,0;0,0;1,0;0,2139301300048828;0,007997512817382812;0,00099945068359375;0,203125;4,0;11;45;45,0;0,0;0,04498481750488281;0,0059986114501953125;0,0009975433349609375;0,03125;45,0
Instance-10-20-6-23;1,0;1,0;4,0;1,0;0,19520187377929688;0,011997222900390625;0,0010013580322265625;0,1875;4,0;11;25;29,0;4,0;0,2229290008544922;0,03598976135253906;0,0010013580322265625;0,296875;29,0
Instance-10-20-6-24;1,0;1,0;0,0;1,0;0,20509719848632812;0,00799560546875;0,0009975433349609375;0,203125;4,0;12;48;48,0;0,0;0,04198646545410156;0,0059986114501953125;0,0;0,046875;48,0
Instance-10-20-6-25;1,0;1,0;5,0;1,0;0,1689453125;0,019994735717773438;0,0019989013671875;0,203125;4,0;11;42;47,0;2,0;0,3682708740234375;0,11496353149414062;0,00299835205078125;0,484375;44,0
Instance-10-20-6-26;1,0;1,0;0,0;1,0;0,2703723907470703;0,008996963500976562;0,0009975433349609375;0,25;4,0;11;47;47,0;0,0;0,048984527587890625;0,007999420166015625;0,0010013580322265625;0,046875;47,0
Instance-10-20-6-27;1,0;1,0;1,0;1,0;0,30790138244628906;0,012996673583984375;0,0;0,328125;4,0;14;48;49,0;1,0;0,10096931457519531;0,010997772216796875;0,00099945068359375;0,140625;49,0
Instance-10-20-6-28;1,0;1,0;0,0;1,0;0,21992874145507812;0,007997512817382812;0,0009975433349609375;0,265625;4,0;12;47;47,0;0,0;0,04398536682128906;0,0069980621337890625;0,0009975433349609375;0,046875;47,0
Instance-10-20-6-29;1,0;1,0;1,0;1,0;0,1609516143798828;0,006999969482421875;0,00099945068359375;0,15625;4,0;11;52;53,0;1,0;0,0754852294921875;0,007999420166015625;0,00099945068359375;0,078125;53,0
Instance-10-20-6-3;1,0;1,0;0,0;1,0;0,2604179382324219;0,01099395751953125;0,0009975433349609375;0,234375;4,0;13;31;31,0;0,0;0,047985076904296875;0,006000518798828125;0,00099945068359375;0,078125;31,0
Instance-10-20-6-30;1,0;1,0;0,0;1,0;0,2899055480957031;0,009998321533203125;0,00099945068359375;0,328125;4,0;15;66;66,0;0,0;0,043987274169921875;0,0069980621337890625;0,0019989013671875;0,078125;66,0
Instance-10-20-6-31;1,0;1,0;8,0;1,0;2,0031681060791016;1,562997817993164;0,0069980621337890625;5,140625;4,0;19;49;57,0;8,0;70,12454986572266;69,66469764709473;0,08897018432617188;214,296875;57,0
Instance-10-20-6-32;1,0;1,0;2,0;1,0;0,24592018127441406;0,014995574951171875;0,0009975433349609375;0,265625;4,0;13;51;53,0;2,0;0,16994285583496094;0,03798675537109375;0,0019969940185546875;0,25;53,0
Instance-10-20-6-33;1,0;1,0;2,0;1,0;0,2779083251953125;0,014993667602539062;0,0019989013671875;0,28125;4,0;13;49;51,0;2,0;0,13995742797851562;0,02099609375;0,00099945068359375;0,1875;51,0
Instance-10-20-6-34;1,0;1,0;0,0;1,0;0,1469593048095703;0,005001068115234375;0,0010013580322265625;0,171875;4,0;11;32;32,0;0,0;0,032989501953125;0,00499725341796875;0,0009975433349609375;0,03125;32,0
Instance-10-20-6-35;1,0;1,0;0,0;1,0;0,07797622680664062;0,003002166748046875;0,0010013580322265625;0,0625;4,0;8;36;36,0;0,0;0,02399444580078125;0,003002166748046875;0,0010013580322265625;0,078125;36,0
Instance-10-20-6-36;1,0;1,0;0,0;1,0;0,10996437072753906;0,0030002593994140625;0,0;0,109375;4,0;9;28;28,0;0,0;0,0269927978515625;0,00299835205078125;0,00099945068359375;0,015625;28,0
Instance-10-20-6-37;1,0;1,0;0,0;1,0;0,07697677612304688;0,0020008087158203125;0,0;0,078125;4,0;7;32;32,0;0,0;0,027990341186523438;0,003997802734375;0,000995635986328125;0,03125;32,0
Instance-10-20-6-38;1,0;1,0;3,0;1,0;0,21093368530273438;0,012998580932617188;0,0020008087158203125;0,171875;4,0;12;43;46,0;2,0;0,1689472198486328;0,024991989135742188;0,00099945068359375;0,171875;45,0
