Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;
;32;32;2;0;0;1;49,8554;66;0;1;0;0;41;
;32;32;2;0;1;1;0,0994000000000028;25;0;1;0;0;18;
;32;32;2;0;2;1;0,149099999999976;70;0;1;0;0;50;
;32;32;2;0;3;1;0,0638999999999896;38;0;1;0;0;25;
;32;32;2;0;4;1;0,0584999999999809;11;0;1;0;0;9;
;32;32;4;0;0;1;0,0923999999999978;81;0;1;0;0;33;
;32;32;4;0;1;1;0,208799999999997;85;0;1;0;0;36;
;32;32;4;0;2;1;0,111800000000017;87;0;1;0;0;37;
;32;32;4;0;3;1;0,140699999999924;103;0;1;0;0;39;
;32;32;4;0;4;1;0,192200000000184;129;0;1;0;0;45;
;32;32;6;0;0;1;0,126199999999926;78;0;1;0;0;22;
;32;32;6;0;1;1;90,9290000000001;129;1;1;4;0;34;
;32;32;6;0;2;1;0,584899999999834;135;1;1;2;0;32;
;32;32;6;0;3;1;0,128900000000158;115;0;1;0;0;32;
;32;32;6;0;4;1;1,5001000000002;200;1;1;2;0;50;
;32;32;8;0;0;1;1,76189999999997;160;1;1;3;0;37;
;32;32;8;0;1;1;0,139199999999619;117;0;1;0;0;32;
;32;32;8;0;2;1;0,306300000000192;149;0;1;0;0;32;
;32;32;8;0;3;1;0,332499999999982;225;0;1;0;0;49;
;32;32;8;0;4;1;1,95740000000023;146;1;1;4;0;42;
;32;32;10;0;0;1;2,59950000000026;250;1;1;2;0;41;
;32;32;10;0;1;1;0,220800000000054;192;0;1;0;0;41;
;32;32;10;0;2;1;1,23749999999973;245;1;1;2;0;38;
;32;32;10;0;3;1;3,12950000000001;206;1;1;4;0;41;
;32;32;10;0;4;1;4,23540000000003;183;1;1;4;0;40;
