Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan
;8;8;2;0;0;1;49,0688;6;0;1;0;0;6
;8;8;2;0;1;1;77,4713;11;1;1;2;0;7
;8;8;2;0;2;1;0,3048;9;1;1;2;0;6
;8;8;2;0;3;1;0,0452;9;0;1;0;0;7
;8;8;2;0;4;1;0,0518;6;0;1;0;0;4
;8;8;4;0;0;1;0,0666;20;0;1;0;0;10
;8;8;4;0;1;1;1,4137;22;1;1;2;0;9
;8;8;4;0;2;1;0,2494;21;1;1;2;0;10
;8;8;4;0;3;1;0,172;20;0;1;0;0;8
;8;8;4;0;4;1;0,2304;20;1;1;2;0;8
;8;8;6;0;0;1;0,0801;42;0;1;0;0;11
;8;8;6;0;1;1;0,2418;34;1;1;3;0;10
;8;8;6;0;2;1;5,0685;27;2;2;4;0;10
;8;8;6;0;3;1;0,5963;40;1;1;4;0;10
;8;8;6;0;4;1;0,4262;30;1;1;2;0;8
;8;8;8;0;0;1;0,6451;57;1;1;4;0;13
;8;8;8;0;1;1;0,3084;36;1;1;3;0;9
;8;8;8;0;2;1;0,6433;46;1;1;5;0;11
;8;8;8;0;3;1;2,0444;46;3;7;10;1;10
;8;8;8;0;4;1;0,6674;31;1;1;5;0;11
;8;8;10;0;0;1;1,2845;56;4;7;11;0;10
;8;8;10;0;1;1;76,3003;62;116;178;164;2;13
;8;8;10;0;2;1;0,8695;47;1;1;7;0;13
;8;8;10;0;3;1;0,8634;45;1;1;6;0;11
;8;8;10;0;4;1;0,5704;45;3;3;4;2;9
;8;8;12;0;0;1;4,2177;65;10;12;17;3;13
;8;8;12;0;1;1;32,3319;86;11;12;21;4;14
;8;8;12;0;2;1;0,5939;55;1;1;3;0;11
;8;8;12;0;3;1;0,9773;54;3;5;12;2;9
;8;8;12;0;4;1;1,077;52;3;4;10;1;10
;8;8;14;0;0;1;2,4964;69;6;9;20;1;9
;8;8;14;0;1;1;13,8281;90;26;41;50;2;14
;8;8;14;0;2;1;53,016;98;65;88;93;4;12
;8;8;14;0;3;1;1,989;82;3;4;16;1;13
;8;8;14;0;4;1;2,8401;89;5;9;16;0;12
;8;8;16;0;0;1;2,0675;104;2;3;17;0;11
;8;8;16;0;1;1;6,3162;90;13;20;29;1;13
;8;8;16;0;2;1;13,3004;93;27;39;47;4;13
;8;8;16;0;3;1;3,8487;93;13;19;28;2;14
;8;8;16;0;4;1;4,7926;107;6;9;20;3;13
;8;8;18;0;0;1;8,0308;90;6;9;21;1;10
;8;8;18;0;1;0;5000,8556;-2;655;884;839;3;-1
;8;8;18;0;2;1;5,9054;103;9;16;32;3;13
;8;8;18;0;3;1;15,911;95;34;55;62;2;11
;8;8;18;0;4;1;153,0742;104;208;301;290;5;12
;8;8;20;0;0;1;22,373;107;36;53;65;3;13
;8;8;20;0;1;0;5000,131;-1;801;1219;1160;-1;-1
;8;8;20;0;2;1;93,1995;104;173;283;240;5;11
;8;8;20;0;3;0;5003,0367;-2;807;1142;983;7;-1
;8;8;20;0;4;0;5000,8324;-2;898;1426;1257;10;-1
;8;8;22;0;0;0;5001,2525;-2;726;989;981;6;-1
;8;8;22;0;1;0;5000,8135;-2;1124;1614;1411;8;-1
;8;8;22;0;2;1;154,8128;115;134;164;180;8;13
;8;8;22;0;3;1;1332,1712;126;514;696;681;9;16
;8;8;22;0;4;0;5006,9662;-2;825;1220;1136;8;-1
;8;8;24;0;0;0;5001,3769;-2;691;1008;921;7;-1
;8;8;24;0;1;0;5003,1928;-2;844;1378;1133;9;-1
;8;8;24;0;2;0;5001,6106;-2;752;1122;1018;7;-1
;8;8;24;0;3;0;5001,3845;-2;720;1126;1017;7;-1
;8;8;24;0;4;0;5001,5342;-2;532;754;714;6;-1
;8;8;26;0;0;0;5001,6567;-2;1056;1560;1434;4;-1
;8;8;26;0;1;0;5001,8576;-2;538;797;702;5;-1
;8;8;26;0;2;0;5001,457;-2;1236;1758;1533;8;-1
;8;8;26;0;3;0;5002,688;-2;1087;1588;1546;5;-1
;8;8;26;0;4;0;5001,6438;-2;806;1130;1156;9;-1
;8;8;28;0;0;0;5004,8131;-2;634;841;835;4;-1
;8;8;28;0;1;0;5002,2724;-2;688;1057;950;11;-1
;8;8;28;0;2;0;5004,5538;-2;697;966;974;4;-1
;8;8;28;0;3;0;5470,7847;-2;1621;2565;2108;5;-1
;8;8;28;0;4;0;5000,2638;-2;1322;2112;1867;7;-1
;8;8;30;0;0;0;5002,3016;-2;1078;1793;1394;5;-1
;8;8;30;0;1;0;5002,5763;-2;1032;1583;1439;7;-1
;8;8;30;0;2;0;5002,5913;-2;896;1349;1259;4;-1
;8;8;30;0;3;0;5017,1708;-2;914;1384;1074;5;-1
;8;8;30;0;4;0;5000,8249;-2;1235;1887;1582;4;-1
;8;8;32;0;0;0;5002,3998;-2;724;1307;1157;12;-1
;8;8;32;0;1;0;5001,4197;-2;1265;1973;1679;7;-1
;8;8;32;0;2;0;5000,1521;-1;1218;1890;1660;-1;-1
;8;8;32;0;3;0;5001,4026;-2;879;1218;1155;5;-1
;8;8;32;0;4;0;5001,6411;-2;952;1266;1204;2;-1
;8;8;34;0;0;0;5001,5098;-2;1211;2045;1567;7;-1
;8;8;34;0;1;0;5001,8793;-2;1363;2321;2003;10;-1
;8;8;34;0;2;0;5000,9342;-2;519;935;917;10;-1
;8;8;34;0;3;0;5002,0393;-2;1024;1635;1442;7;-1
;8;8;34;0;4;0;5000,896;-2;993;1461;1391;5;-1
;8;8;36;0;0;0;5000,9237;-2;1339;2008;1744;7;-1
