Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;
;20;20;40;40;0;1;457,7913;498;187;246;262;5;27;
;20;20;40;40;1;1;1325,2807;521;568;859;816;4;28;
;20;20;40;40;2;1;39,0797000000002;504;26;45;75;7;29;
;20;20;40;40;3;0;300006,5553;-2;1088;1647;1560;6;-1;
;20;20;40;40;4;1;5371,2058;480;998;1419;1354;13;28;
;20;20;40;40;5;1;67,0170000000508;514;27;34;65;7;31;
;20;20;40;40;6;1;172,741100000043;527;101;184;184;6;27;
;20;20;40;40;7;1;60,5067999999737;516;26;47;66;5;27;
;20;20;40;40;8;1;27122,6691;530;892;1442;1295;10;31;
;20;20;40;40;9;1;1815,4731;529;270;345;344;9;29;
;20;20;45;40;0;0;300006,0946;-2;726;1212;1039;9;-1;
;20;20;45;40;1;1;330,89870000002;560;200;340;282;6;33;
;20;20;45;40;2;0;300001,5568;-2;1171;1898;1879;11;-1;
;20;20;45;40;3;0;300001,0182;-2;965;1312;1287;13;-1;
;20;20;45;40;4;1;37,2247999999672;514;21;33;55;3;25;
;20;20;45;40;5;1;1825,47919999994;639;475;867;746;6;29;
;20;20;45;40;6;0;300001,9501;-2;1366;2000;1838;9;-1;
;20;20;45;40;7;1;349,180300000124;604;173;221;247;8;26;
;20;20;45;40;8;1;414,079099999974;608;198;312;292;6;35;
;20;20;45;40;9;0;300002,3302;-2;1247;2051;1693;9;-1;
;20;20;50;40;0;0;300002,1227;-2;1498;2659;2095;14;-1;
;20;20;50;40;1;0;300001,7589;-2;226;321;362;31;-1;
;20;20;50;40;2;1;2042,75200000033;691;497;840;789;6;30;
;20;20;50;40;3;0;300001,4989;-2;1200;2060;1764;10;-1;
;20;20;50;40;4;0;300001,5983;-2;1267;2120;1963;11;-1;
;20;20;50;40;5;0;300002,3986;-2;1735;2955;2638;13;-1;
;20;20;50;40;6;1;1337,95310000004;725;241;376;342;10;29;
;20;20;50;40;7;1;209080,9556;698;906;1373;1432;11;36;
;20;20;50;40;8;0;300001,5634;-2;1197;1849;1720;21;-1;
;20;20;50;40;9;0;300012,0458;-2;961;1207;1382;12;-1;
;20;20;55;40;0;0;300001,7444;-2;1556;2653;2503;11;-1;
;20;20;55;40;1;0;300003,7195;-2;1088;1802;1754;13;-1;
;20;20;55;40;2;0;300004,8149;-2;1170;1522;1759;10;-1;
;20;20;55;40;3;0;300002,8081;-2;991;1413;1385;9;-1;
;20;20;55;40;4;1;1138,54789999966;785;530;987;795;6;31;
;20;20;55;40;5;0;300003,1268;-2;1378;1981;2101;15;-1;
;20;20;55;40;6;0;300004,736599999;-2;1492;2510;2194;12;-1;
;20;20;55;40;7;0;300001,7532;-2;1004;1687;1657;13;-1;
;20;20;55;40;8;0;300003,793;-2;1777;2969;2659;9;-1;
;20;20;55;40;9;0;300001,7766;-2;370;720;757;12;-1;
;20;20;60;40;0;0;300003,6538;-2;1699;2773;2492;6;-1;
;20;20;60;40;1;0;300005,2853;-2;1218;2135;2156;14;-1;
;20;20;60;40;2;1;4543,96470000036;968;939;1429;1099;7;33;
;20;20;60;40;3;0;300002,0335;-2;1528;2349;2281;11;-1;
;20;20;60;40;4;0;300001,868199999;-2;1571;2588;2204;14;-1;
;20;20;60;40;5;0;300001,7091;-2;1241;2194;1969;12;-1;
;20;20;60;40;6;0;300002,219000001;-2;1207;1633;1827;10;-1;
;20;20;60;40;7;0;300002,4739;-2;454;810;963;12;-1;
;20;20;60;40;8;0;300001,786;-2;1230;1756;1749;8;-1;
;20;20;60;40;9;0;300001,951300001;-2;806;1339;1097;16;-1;
;20;20;65;40;0;0;300002,282;-2;1725;2865;2735;19;-1;
;20;20;65;40;1;0;300001,9351;-2;2053;3488;3389;21;-1;
;20;20;65;40;2;0;300002,9684;-2;1346;2297;2077;16;-1;
;20;20;65;40;3;0;300001,6643;-2;1288;1768;2034;19;-1;
;20;20;65;40;4;0;300004,244999999;-2;1550;2586;2553;22;-1;
;20;20;65;40;5;0;300003,624399999;-2;1392;2203;2024;18;-1;
;20;20;65;40;6;0;300001,7411;-2;1137;1829;1832;20;-1;
;20;20;65;40;7;0;300001,997;-2;1767;2700;2794;22;-1;
;20;20;65;40;8;0;300002,655199999;-2;1543;2448;2236;11;-1;
;20;20;65;40;9;0;300001,693500001;-2;675;1258;1178;11;-1;
;20;20;70;40;0;0;300002,122399999;-2;781;1462;1713;22;-1;
;20;20;70;40;1;0;300002,1537;-2;1075;1635;1564;15;-1;
;20;20;70;40;2;0;300000,649900001;-1;1628;2656;2607;-1;-1;
;20;20;70;40;3;0;300001,444499999;-2;1206;1739;1734;25;-1;
;20;20;70;40;4;0;300002,9277;-2;1379;2199;2162;17;-1;
;20;20;70;40;5;0;300004,5032;-2;822;1300;1233;7;-1;
;20;20;70;40;6;0;300004,866699999;-2;1083;1762;1774;15;-1;
;20;20;70;40;7;0;300013,561000001;-2;1548;2519;2647;17;-1;
;20;20;70;40;8;0;300002,232899999;-2;1585;2608;2513;5;-1;
;20;20;70;40;9;0;300002,3868;-2;994;1812;1890;32;-1;
;20;20;75;40;0;0;300002,292199999;-2;1446;2483;2313;15;-1;
;20;20;75;40;1;0;300002,491;-2;1303;2306;2200;18;-1;
;20;20;75;40;2;0;300002,703;-2;906;1719;1689;15;-1;
;20;20;75;40;3;0;300001,800399998;-2;1946;3535;3358;20;-1;
;20;20;75;40;4;0;300008,648800001;-1;2233;3926;3491;-1;-1;
;20;20;75;40;5;0;300001,807300001;-2;744;1317;1397;18;-1;
;20;20;75;40;6;0;300001,290899999;-1;784;1304;1399;-1;-1;
;20;20;75;40;7;0;300001,9745;-2;1069;2012;1857;26;-1;
;20;20;75;40;8;0;300009,4342;-2;953;1603;2088;37;-1;
;20;20;75;40;9;0;300002,715700001;-2;653;1296;1388;19;-1;
;20;20;80;40;0;0;300004,239599999;-2;2101;3786;3712;20;-1;
;20;20;80;40;1;0;300006,521000002;-2;1034;1869;1843;11;-1;
;20;20;80;40;2;0;300002,0973;-2;478;630;745;25;-1;
;20;20;80;40;3;0;300003,742399998;-2;2146;3552;3657;36;-1;
;20;20;80;40;4;0;300001,8248;-2;1135;1929;1884;18;-1;
;20;20;80;40;5;0;300001,576899998;-2;1027;1864;2025;11;-1;
;20;20;80;40;6;0;300005,769900002;-2;1638;2623;2949;15;-1;
;20;20;80;40;7;0;300007,831700001;-2;1594;2759;2571;18;-1;
;20;20;80;40;8;0;300002,636399999;-2;1239;2103;2431;20;-1;
;20;20;80;40;9;0;300002,5163;-2;2611;4205;3848;17;-1;
