Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;CBS/(A*/SIC) choosing the first conflict in CBS nodes Success;CBS/(A*/SIC) choosing the first conflict in CBS nodes Runtime;CBS/(A*/SIC) choosing the first conflict in CBS nodes Solution Cost;CBS/(A*/SIC) choosing the first conflict in CBS nodes Expanded (HL);CBS/(A*/SIC) choosing the first conflict in CBS nodes Generated (HL);CBS/(A*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL);CBS/(A*/SIC) choosing the first conflict in CBS nodes Solution Depth;Makespan;EPEA*/SIC Success;EPEA*/SIC Runtime;EPEA*/SIC Solution Cost;EPEA*/SIC Expanded;EPEA*/SIC Generated;EPEA*/SIC Reopened;EPEA*/SIC BPMX boosts;EPEA*/SIC Closed List Hits;EPEA*/SIC Reopened With Old H;EPEA*/SIC H Updated From Other Area;EPEA*/SIC Max expansion delay;EPEA*/SIC Quick Insertions;EPEA*/SIC Quick Insertions Cancelled;EPEA*/SIC Expanded Full States;EPEA*/SIC Solution Depth;Makespan;MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;Greedy HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;Greedy HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;Greedy HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;Greedy HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);Greedy HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);Greedy HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);Greedy HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;ICTS  Success;ICTS  Runtime;ICTS  Solution Cost;ICTS  Expanded (HL);ICTS  Generated (HL);ICTS  Expanded (LL);ICTS  Generated (LL);ICTS  Passed;ICTS  Solution Depth;Makespan;
;8;8;4;6;0;1;129,9096;11;1;3;0;0;6;1;10,3887;11;5;11;0;0;0;0;0;0;4;3;5;0;6;1;38,2533;11;1;1;2;0;6;1;2,7885;11;1;1;2;0;6;1;3,40930000000003;11;1;1;2;0;6;1;14,962;11;2;1;5;10;0;0;6;
;8;8;4;6;1;1;0,145399999999995;29;0;1;0;0;12;1;0,432500000000005;29;11;49;0;0;0;0;0;0;10;26;11;0;12;1;0,0616999999999734;29;0;1;0;0;12;1;0,136700000000019;29;0;1;0;0;12;1;0,147899999999936;29;0;1;0;0;12;1;0,877299999999991;29;2;1;11;48;0;0;12;
;8;8;4;6;2;1;0,0557000000000016;21;0;1;0;0;9;1;0,204500000000053;21;8;26;0;0;0;0;0;0;7;8;8;0;9;1;0,154799999999909;21;0;1;0;0;9;1;0,130999999999972;21;0;1;0;0;9;1;0,126500000000078;21;0;1;0;0;9;1;0,102400000000102;21;2;1;8;25;0;0;9;
;8;8;4;6;3;1;0,0617999999999483;12;0;1;0;0;6;1;0,113000000000056;12;5;11;0;0;0;0;0;0;4;5;5;0;6;1;0,0506000000000313;12;0;1;0;0;6;1;0,0953999999999269;12;0;1;0;0;6;1;0,0608999999999469;12;0;1;0;0;6;1;0,0517999999999574;12;2;1;5;10;0;0;6;
;8;8;4;6;4;1;0,233999999999924;15;1;2;0;0;8;1;0,227000000000089;15;7;14;0;0;0;0;0;0;6;3;7;0;8;1;2,16969999999992;15;1;1;2;0;8;1;0,186099999999897;15;1;1;2;0;8;1;0,31919999999991;15;1;1;2;0;8;1;0,101200000000063;15;2;1;7;13;0;0;8;
;8;8;4;6;5;1;0,136999999999944;10;1;2;0;0;7;1;0,82549999999992;10;6;10;0;0;0;0;0;0;5;2;6;0;7;1;1,3773000000001;10;1;1;2;0;7;1;0,290300000000116;10;1;1;2;0;7;1;0,174999999999955;10;1;1;2;0;7;1;0,0539000000001124;10;2;1;6;9;0;0;7;
;8;8;4;6;6;1;0,200600000000122;28;1;2;0;0;13;1;0,280100000000175;28;12;38;0;0;0;0;0;0;11;18;12;0;13;1;0,296100000000024;28;1;1;2;0;13;1;0,388200000000097;28;1;1;2;0;13;1;0,270099999999957;28;1;1;2;0;13;1;0,158099999999877;28;2;1;12;37;0;0;13;
;8;8;4;6;7;1;0,0455000000001746;13;0;1;0;0;7;1;0,145700000000033;13;6;20;0;0;0;0;0;0;5;6;6;0;7;1;0,0819000000001324;13;0;1;0;0;7;1;0,053899999999885;13;0;1;0;0;7;1;0,0597000000002481;13;0;1;0;0;7;1;0,0732000000002699;13;2;1;6;19;0;0;7;
;8;8;4;6;8;1;0,0616999999997461;24;0;1;0;0;11;1;0,234599999999773;24;10;26;0;0;0;0;0;0;9;12;10;0;11;1;0,0563999999999396;24;0;1;0;0;11;1;0,0603000000000975;24;0;1;0;0;11;1;0,0614000000000487;24;0;1;0;0;11;1;0,937000000000353;24;2;1;10;25;0;0;11;
;8;8;4;6;9;1;0,143599999999878;27;0;1;0;0;11;1;0,307200000000194;27;10;37;0;0;0;0;0;0;9;11;10;0;11;1;0,134099999999762;27;0;1;0;0;11;1;0,134900000000016;27;0;1;0;0;11;1;0,0605000000000473;27;0;1;0;0;11;1;0,208399999999983;27;2;1;10;36;0;0;11;
;8;8;5;6;0;1;3,86349999999993;35;11;17;0;2;11;1;8,93489999999974;35;230;183;0;0;522;0;0;213;168;10;180;2;13;1;4,8154999999997;35;7;10;11;2;11;1;1,33269999999993;35;5;7;11;2;11;1;1,77520000000004;35;5;7;11;2;11;1;60,0821000000001;35;17;76;5432;5459;15;0;13;
