Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;EPEA*/SIC Success;EPEA*/SIC Runtime;EPEA*/SIC Solution Cost;EPEA*/SIC Expanded;EPEA*/SIC Generated;EPEA*/SIC Reopened;EPEA*/SIC BPMX boosts;EPEA*/SIC Closed List Hits;EPEA*/SIC Reopened With Old H;EPEA*/SIC H Updated From Other Area;EPEA*/SIC Max expansion delay;EPEA*/SIC Quick Insertions;EPEA*/SIC Quick Insertions Cancelled;EPEA*/SIC Expanded Full States;EPEA*/SIC Solution Depth;Makespan;MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;ICTS  Success;ICTS  Runtime;ICTS  Solution Cost;ICTS  Expanded (HL);ICTS  Generated (HL);ICTS  Expanded (LL);ICTS  Generated (LL);ICTS  Passed;ICTS  Solution Depth;Makespan;
;8;8;10;0;0;1;45,8914;51;81;284;0;0;108;0;0;73;75;16;81;0;9;1;133,9806;51;1;1;8;0;9;1;6,10450000000003;51;1;1;8;0;9;1;21,6848;51;2;1;60;291;0;0;9;
;8;8;10;0;1;1;17,6936000000001;70;71;434;0;0;33;0;0;57;62;179;71;0;12;1;1,05949999999996;70;1;1;6;0;12;1;1,01760000000002;70;1;1;6;0;12;1;2,38279999999997;70;2;1;96;460;0;0;12;
;8;8;10;0;2;1;145,1891;54;1057;940;0;0;4171;0;0;1038;628;239;918;1;11;1;3,73879999999986;54;5;6;8;1;11;1;1,44290000000001;54;3;4;7;1;11;1;2246,0224;54;10;81;40311;40489;8;0;11;
;8;8;10;0;3;1;104,6984;60;447;728;0;0;2177;0;0;421;268;291;447;0;11;1;0,704099999999926;60;1;1;6;0;11;1;0,706499999999778;60;1;1;6;0;11;1;100,7367;60;2;1;3033;3407;0;0;11;
;8;8;10;0;4;1;183,0292;39;1537;1447;0;0;6679;0;0;1323;1003;411;1374;2;8;1;1,09389999999985;39;7;9;13;2;9;1;2,47080000000005;39;5;8;13;2;9;1;670,0897;39;40;381;14076;14168;38;0;9;
;8;8;10;0;5;1;14,3015999999998;62;44;766;0;0;76;0;0;35;34;347;44;0;10;1;0,70679999999993;62;1;1;5;0;10;1;0,730000000000473;62;1;1;5;0;10;1;3,28880000000026;62;2;1;114;845;0;0;10;
;8;8;10;0;6;1;209,6009;43;1164;1005;0;0;3389;0;0;1131;733;247;997;3;10;1;7,60339999999997;43;23;39;36;3;10;1;4,86430000000018;43;16;25;37;3;9;1;2401,6069;43;258;2561;78206;78020;256;0;10;
;8;8;10;0;7;1;12,7981;60;60;1038;0;0;82;0;0;38;28;241;60;0;10;1;1,07459999999992;60;2;2;8;0;10;1;0,930899999999383;60;2;2;8;0;10;1;3,7544999999991;60;2;1;121;1086;0;0;10;
;8;8;10;0;8;1;21,0962999999992;47;174;339;0;0;598;0;0;164;99;167;174;0;9;1;0,785400000000664;47;2;2;8;0;9;1;0,769499999998516;47;2;2;8;0;9;1;167,484699999999;47;2;1;4412;4537;0;0;9;
;8;8;10;0;9;1;0,935099999998783;49;11;37;0;0;0;0;0;0;10;10;11;0;12;1;0,63550000000032;49;1;1;2;0;12;1;0,333400000001348;49;1;1;2;0;12;1;0,307800000000498;49;2;1;11;36;0;0;12;
