Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;
brc202d;481;530;60;211779;0;1;346,2668;8392;2;3;31;1;374;
brc202d;481;530;60;211779;1;1;228,291999999999;8282;3;5;28;2;365;
brc202d;481;530;60;211779;2;1;316,580599999999;7544;7;13;33;4;515;
brc202d;481;530;60;211779;3;1;1683,108;7507;71;140;106;3;416;
brc202d;481;530;60;211779;4;1;103,729899999998;7606;1;1;16;0;324;
brc202d;481;530;60;211779;5;0;300009,5635;-2;90;178;186;3;-1;
brc202d;481;530;60;211779;6;1;222,599500000011;6000;6;11;32;4;309;
brc202d;481;530;60;211779;7;1;1214,6274;8744;31;61;69;7;497;
brc202d;481;530;60;211779;8;1;163,570499999973;7455;1;1;24;0;402;
brc202d;481;530;60;211779;9;1;369,023699999962;7795;7;10;22;4;429;
brc202d;481;530;65;211779;0;1;203,229799999972;8393;2;3;25;1;423;
brc202d;481;530;65;211779;1;1;162,019199999981;8021;1;1;24;0;351;
brc202d;481;530;65;211779;2;1;846,021000000008;8115;21;41;56;6;413;
brc202d;481;530;65;211779;3;1;169,004299999971;7918;2;3;28;1;334;
brc202d;481;530;65;211779;4;1;159,561599999957;7265;3;5;26;2;385;
brc202d;481;530;65;211779;5;1;289,531499999983;8135;4;7;34;3;423;
brc202d;481;530;65;211779;6;1;198,474199999997;9059;1;1;27;0;430;
brc202d;481;530;65;211779;7;1;1000,07410000003;9450;18;26;42;4;425;
brc202d;481;530;65;211779;8;1;104,933599999989;7939;1;1;17;0;329;
brc202d;481;530;65;211779;9;1;369,718300000008;8210;8;12;40;4;378;
brc202d;481;530;70;211779;0;1;7430,50640000001;8718;194;385;370;10;423;
brc202d;481;530;70;211779;1;1;3481,77830000001;10741;68;124;123;8;451;
brc202d;481;530;70;211779;2;1;220,852000000014;8394;2;3;27;1;374;
brc202d;481;530;70;211779;3;1;761,678899999999;9732;8;10;43;2;384;
brc202d;481;530;70;211779;4;1;355,730500000005;9699;3;5;33;2;483;
brc202d;481;530;70;211779;5;1;192,838300000003;8357;3;3;28;2;349;
brc202d;481;530;70;211779;6;1;224,379399999976;7979;8;10;33;5;331;
brc202d;481;530;70;211779;7;1;163,887099999993;8221;1;1;20;0;468;
brc202d;481;530;70;211779;8;1;341,006399999955;7480;9;14;39;5;398;
brc202d;481;530;70;211779;9;1;358,51039999997;8932;7;7;42;6;413;
brc202d;481;530;75;211779;0;1;371,418400000024;8471;7;13;35;4;397;
brc202d;481;530;75;211779;1;1;346,131600000022;10968;3;5;35;1;537;
brc202d;481;530;75;211779;2;1;4296,3137;9913;69;132;132;8;444;
brc202d;481;530;75;211779;3;1;30546,1453;8825;367;587;526;16;378;
brc202d;481;530;75;211779;4;1;343,464700000011;9755;2;3;41;1;326;
brc202d;481;530;75;211779;5;1;337,928500000038;9157;3;3;29;2;532;
brc202d;481;530;75;211779;6;1;115,669400000013;8157;2;3;17;1;330;
brc202d;481;530;75;211779;7;1;230,053799999994;9279;1;1;25;0;318;
brc202d;481;530;75;211779;8;1;644,650399999984;10738;20;31;52;5;404;
brc202d;481;530;75;211779;9;1;327,745999999985;10157;1;1;32;0;388;
brc202d;481;530;80;211779;0;1;1156,72600000002;9512;45;84;91;8;324;
brc202d;481;530;80;211779;1;1;2486,8383;11885;72;142;155;3;468;
brc202d;481;530;80;211779;2;1;414,944500000041;10321;3;3;39;2;512;
brc202d;481;530;80;211779;3;1;1578,04690000002;9572;48;95;101;1;475;
brc202d;481;530;80;211779;4;1;296,872399999993;8572;5;5;29;2;265;
brc202d;481;530;80;211779;5;1;235,784900000028;9983;1;1;26;0;413;
brc202d;481;530;80;211779;6;1;566,344099999988;10752;8;15;47;5;497;
brc202d;481;530;80;211779;7;1;2637,5343;10423;99;180;184;7;423;
brc202d;481;530;80;211779;8;1;2120,2182;10618;79;156;152;5;431;
brc202d;481;530;80;211779;9;1;240,614500000025;8291;1;1;36;0;364;
brc202d;481;530;85;211779;0;0;300002,4115;-2;257;511;477;8;-1;
brc202d;481;530;85;211779;1;1;1007,87540000002;12414;21;41;63;6;426;
brc202d;481;530;85;211779;2;1;301,635099999956;10451;3;5;37;2;436;
brc202d;481;530;85;211779;3;1;3857,65080000006;10729;73;144;142;4;387;
brc202d;481;530;85;211779;4;1;679,357100000023;12329;7;13;50;4;472;
brc202d;481;530;85;211779;5;1;372,094900000026;10308;5;7;43;4;349;
brc202d;481;530;85;211779;6;1;1122,53520000004;10461;22;33;73;6;317;
brc202d;481;530;85;211779;7;1;1056,19099999999;10747;21;41;62;6;387;
brc202d;481;530;85;211779;8;1;468,109800000093;11676;2;2;43;0;361;
brc202d;481;530;85;211779;9;1;2284,47629999998;10839;74;138;134;3;453;
brc202d;481;530;90;211779;0;1;436,615799999912;12975;1;1;44;0;431;
brc202d;481;530;90;211779;1;1;3130,56080000009;12271;37;66;96;6;523;
brc202d;481;530;90;211779;2;1;602,121299999999;11762;4;7;57;2;391;
brc202d;481;530;90;211779;3;1;697,101800000062;11877;7;13;46;4;597;
brc202d;481;530;90;211779;4;1;61804,2845000001;13303;341;677;768;14;419;
brc202d;481;530;90;211779;5;1;543,832300000009;12605;1;1;40;0;401;
brc202d;481;530;90;211779;6;1;480,049899999984;11751;4;7;50;3;412;
brc202d;481;530;90;211779;7;1;1430,80339999998;13747;15;29;73;6;550;
brc202d;481;530;90;211779;8;1;1509,25150000001;12349;21;26;57;6;474;
brc202d;481;530;90;211779;9;1;84992,7104000001;10552;295;450;439;8;355;
brc202d;481;530;95;211779;0;1;5393,55000000005;14619;110;218;252;7;427;
brc202d;481;530;95;211779;1;1;3759,20239999983;13251;88;174;213;3;418;
brc202d;481;530;95;211779;2;1;186760,8311;13659;334;608;511;12;442;
brc202d;481;530;95;211779;3;1;3296,92449999996;11606;73;142;168;3;329;
brc202d;481;530;95;211779;4;0;300007,8501;-2;172;245;248;8;-1;
brc202d;481;530;95;211779;5;1;873,363399999915;13369;11;21;43;5;451;
brc202d;481;530;95;211779;6;1;5141,13599999994;12882;97;174;191;5;556;
brc202d;481;530;95;211779;7;1;434,332500000019;12474;1;1;50;0;397;
brc202d;481;530;95;211779;8;1;610,440900000045;12885;3;5;57;2;443;
brc202d;481;530;95;211779;9;1;1057,90220000013;12186;13;25;70;5;381;
brc202d;481;530;100;211779;0;1;3175,38229999994;12809;80;152;191;5;359;
brc202d;481;530;100;211779;1;1;3681,78700000001;12111;65;129;139;8;407;
brc202d;481;530;100;211779;2;1;2758,49980000011;12932;50;65;87;11;711;
brc202d;481;530;100;211779;3;0;300008,0302;-2;261;412;478;13;-1;
brc202d;481;530;100;211779;4;1;19575,2773;12794;325;641;730;13;412;
brc202d;481;530;100;211779;5;1;3540,61700000009;12547;94;123;160;9;432;
brc202d;481;530;100;211779;6;1;287,541399999987;11617;1;1;34;0;520;
brc202d;481;530;100;211779;7;1;1056,3060000001;12699;17;24;71;7;381;
brc202d;481;530;100;211779;8;1;651,910899999784;12538;17;33;60;6;443;
brc202d;481;530;100;211779;9;0;300005,7931;-2;275;538;585;9;-1;
