Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;
9x57_left2_right2;9;57;4;270;0;1;194,4393;230;1;1;2;0;63;
9x57_left2_right2;9;57;4;270;1;1;5,11660000000006;233;1;1;3;0;61;
9x57_left2_right2;9;57;4;270;2;1;221,76;233;60;121;110;6;63;
9x57_left2_right2;9;57;4;270;3;1;1,39979999999991;234;1;3;2;1;61;
9x57_left2_right2;9;57;4;270;4;1;1,42160000000013;241;0;1;0;0;63;
9x57_left2_right2;9;57;4;270;5;1;3,24070000000006;236;3;5;6;2;63;
9x57_left2_right2;9;57;4;270;6;1;2,03580000000011;234;1;1;2;0;64;
9x57_left2_right2;9;57;4;270;7;1;4,4858999999999;236;3;7;4;2;62;
9x57_left2_right2;9;57;4;270;8;1;1,9670000000001;236;1;3;3;2;61;
9x57_left2_right2;9;57;4;270;9;1;3,6268;230;3;7;4;2;61;
9x57_left2_right2;9;57;6;270;0;1;15,8072000000002;360;7;13;16;4;63;
9x57_left2_right2;9;57;6;270;1;1;17,8402999999998;348;7;13;12;2;60;
9x57_left2_right2;9;57;6;270;2;1;41,0039999999999;353;11;22;18;2;62;
9x57_left2_right2;9;57;6;270;3;1;6,5915;351;3;7;7;1;61;
9x57_left2_right2;9;57;6;270;4;1;50,2869999999998;356;20;39;34;4;62;
9x57_left2_right2;9;57;6;270;5;1;0,909299999999803;348;1;1;4;0;64;
9x57_left2_right2;9;57;6;270;6;1;2,26109999999971;349;1;1;4;0;61;
9x57_left2_right2;9;57;6;270;7;1;3,89269999999988;356;2;5;5;2;65;
9x57_left2_right2;9;57;6;270;8;1;1,55790000000025;348;1;1;5;0;61;
9x57_left2_right2;9;57;6;270;9;1;48,0008000000003;355;19;39;37;5;63;
9x57_left2_right2;9;57;8;270;0;1;825,4495;469;178;355;345;8;64;
9x57_left2_right2;9;57;8;270;1;1;7509,8705;471;279;537;450;12;63;
9x57_left2_right2;9;57;8;270;2;1;4765,3507;473;294;583;464;8;61;
9x57_left2_right2;9;57;8;270;3;1;2,76690000000235;466;2;3;5;1;61;
9x57_left2_right2;9;57;8;270;4;1;32,6471999999994;473;12;25;28;4;64;
9x57_left2_right2;9;57;8;270;5;0;300003,743;-1;389;772;598;-1;-1;
9x57_left2_right2;9;57;8;270;6;1;1876,54029999999;466;285;564;517;8;62;
9x57_left2_right2;9;57;8;270;7;0;300002,2372;-1;513;1014;688;-1;-1;
9x57_left2_right2;9;57;8;270;8;1;3,62109999998938;471;1;1;7;0;64;
9x57_left2_right2;9;57;8;270;9;1;2227,6727;472;198;392;356;12;62;
9x57_left2_right2;9;57;10;270;0;1;248828,4731;584;523;940;683;14;62;
9x57_left2_right2;9;57;10;270;1;0;300002,2293;-2;454;887;584;11;-1;
9x57_left2_right2;9;57;10;270;2;0;300001,3959;-2;535;1054;824;12;-1;
9x57_left2_right2;9;57;10;270;3;1;8,4719000000041;585;4;7;10;1;61;
9x57_left2_right2;9;57;10;270;4;0;300004,0624;-2;393;697;541;8;-1;
9x57_left2_right2;9;57;10;270;5;1;58559,817;597;478;942;647;9;63;
9x57_left2_right2;9;57;10;270;6;1;4448,6287;593;188;355;343;14;63;
9x57_left2_right2;9;57;10;270;7;0;300002,6587;-2;447;856;591;8;-1;
9x57_left2_right2;9;57;10;270;8;0;300004,6259;-1;572;998;792;-1;-1;
9x57_left2_right2;9;57;10;270;9;0;300003,3228;-2;592;1119;796;9;-1;
9x57_left2_right2;9;57;12;270;0;1;587,703499999829;710;131;236;188;7;64;
9x57_left2_right2;9;57;12;270;1;0;300004,1636;-1;742;1397;1027;-1;-1;
9x57_left2_right2;9;57;12;270;2;0;300002,4914;-2;737;1465;893;10;-1;
9x57_left2_right2;9;57;12;270;3;0;300220,5274;-2;399;754;629;15;-1;
9x57_left2_right2;9;57;12;270;4;0;300009,3958;-2;485;957;843;14;-1;
9x57_left2_right2;9;57;12;270;5;1;71177,9774999996;720;218;391;344;9;64;
9x57_left2_right2;9;57;12;270;6;1;184,294100000057;711;19;36;43;6;63;
9x57_left2_right2;9;57;12;270;7;0;300024,7345;-2;512;954;856;19;-1;
9x57_left2_right2;9;57;12;270;8;0;300021,390000001;-2;447;873;727;13;-1;
9x57_left2_right2;9;57;12;270;9;0;300009,8668;-2;675;1337;950;13;-1;
9x57_left2_right2;9;57;14;270;0;0;300023,9283;-2;932;1773;1429;13;-1;
9x57_left2_right2;9;57;14;270;1;0;300024,1421;-2;707;1350;887;12;-1;
9x57_left2_right2;9;57;14;270;2;0;300014,2922;-2;555;1095;711;8;-1;
9x57_left2_right2;9;57;14;270;3;0;300087,753;-2;413;809;730;15;-1;
9x57_left2_right2;9;57;14;270;4;0;300009,396600001;-1;668;1219;956;-1;-1;
9x57_left2_right2;9;57;14;270;5;0;300011,6661;-1;762;1409;1213;-1;-1;
9x57_left2_right2;9;57;14;270;6;0;300007,6042;-2;505;989;833;11;-1;
9x57_left2_right2;9;57;14;270;7;0;300021,8826;-2;608;1192;892;11;-1;
9x57_left2_right2;9;57;14;270;8;0;300024,281;-1;544;1069;839;-1;-1;
9x57_left2_right2;9;57;14;270;9;0;300013,273899999;-2;499;965;755;12;-1;
9x57_left2_right2;9;57;16;270;0;0;300006,023;-1;1157;2266;1694;-1;-1;
9x57_left2_right2;9;57;16;270;1;0;300013,0047;-2;476;910;803;12;-1;
9x57_left2_right2;9;57;16;270;2;0;300046,097899999;-2;581;1111;923;21;-1;
9x57_left2_right2;9;57;16;270;3;0;300029,368099999;-2;803;1581;1194;8;-1;
9x57_left2_right2;9;57;16;270;4;0;300012,477299999;-1;432;832;829;-1;-1;
9x57_left2_right2;9;57;16;270;5;0;300007,1427;-2;458;901;764;15;-1;
