sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
18x21_left2_right2-4-0;1;1;	;-14,0;110,0;-1;31;0,09196972846984863;0,04398536682128906;47,82591788961216;11909,0;15211,0;22037,0;49157,0;	;-14,0;110,0;-1;31;0,09196972846984863;0,04398536682128906;47,82591788961216;11909,0;15211,0;22037,0;49157,0
18x21_left2_right2-4-1;1;1;	;-18,0;102,0;-1;30;0,09396934509277344;0,046984195709228516;49,99949256094343;12814,0;16681,0;23916,0;53411,0;	;-18,0;102,0;-1;30;0,09396934509277344;0,046984195709228516;49,99949256094343;12814,0;16681,0;23916,0;53411,0
18x21_left2_right2-4-2;1;1;	;-18,0;98,0;-1;29;0,09996747970581055;0,04998350143432617;49,99976150386125;12493,0;15775,0;22684,0;50952,0;	;-18,0;98,0;-1;29;0,09996747970581055;0,04998350143432617;49,99976150386125;12493,0;15775,0;22684,0;50952,0
18x21_left2_right2-4-3;1;1;	;-23,0;93,0;-1;29;0,1069648265838623;0,048983097076416016;45,79364884774754;11800,0;16499,0;24296,0;52595,0;	;-23,0;93,0;-1;29;0,1069648265838623;0,048983097076416016;45,79364884774754;11800,0;16499,0;24296,0;52595,0
18x21_left2_right2-4-4;1;1;	;-24,0;100,0;-1;31;0,1459519863128662;0,08297252655029297;56,84919311233699;13739,0;19396,0;28036,0;61171,0;	;-24,0;100,0;-1;31;0,1459519863128662;0,08297252655029297;56,84919311233699;13739,0;19396,0;28036,0;61171,0
18x21_left2_right2-4-5;1;1;	;-22,0;98,0;-1;30;0,10696530342102051;0,05598187446594238;52,33647984486621;14918,0;20255,0;28572,0;63745,0;	;-22,0;98,0;-1;30;0,10696530342102051;0,05598187446594238;52,33647984486621;14918,0;20255,0;28572,0;63745,0
18x21_left2_right2-4-6;1;1;	;-19,0;101,0;-1;30;0,09996771812438965;0,05598187446594238;55,999952300886015;11770,0;15099,0;21952,0;48821,0;	;-19,0;101,0;-1;30;0,09996771812438965;0,05598187446594238;55,999952300886015;11770,0;15099,0;21952,0;48821,0
18x21_left2_right2-4-7;1;1;	;-12,0;96,0;-1;27;0,05498170852661133;0,023992538452148438;43,637309743723165;7272,0;7156,0;11659,0;26087,0;	;-12,0;96,0;-1;27;0,05498170852661133;0,023992538452148438;43,637309743723165;7272,0;7156,0;11659,0;26087,0
18x21_left2_right2-4-8;1;1;	;-22,0;102,0;-1;31;0,09896683692932129;0,05197644233703613;52,51904976427196;13802,0;18269,0;26005,0;58076,0;	;-22,0;102,0;-1;31;0,09896683692932129;0,05197644233703613;52,51904976427196;13802,0;18269,0;26005,0;58076,0
18x21_left2_right2-4-9;1;1;	;-25,0;107,0;-1;33;0,14495277404785156;0,07997393608093262;55,172408121373216;18252,0;26675,0;36976,0;81903,0;	;-25,0;107,0;-1;33;0,14495277404785156;0,07997393608093262;55,172408121373216;18252,0;26675,0;36976,0;81903,0
