sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
9x57_left2_right2-4-0;1;1;	;-18,0;230,0;-1;62;0,14595246315002441;0,07497549057006836;51,36980147638969;20243,0;24677,0;34784,0;79704,0;	;-18,0;230,0;-1;62;0,14595246315002441;0,07497549057006836;51,36980147638969;20243,0;24677,0;34784,0;79704,0
9x57_left2_right2-4-1;1;1;	;-7,0;233,0;-1;60;0,07397675514221191;0,034989118576049805;47,29744973105024;10802,0;9566,0;15247,0;35615,0;	;-7,0;233,0;-1;60;0,07397675514221191;0,034989118576049805;47,29744973105024;10802,0;9566,0;15247,0;35615,0
9x57_left2_right2-4-2;1;1;	;-15,0;233,0;-1;67;0,4648475646972656;0,22692608833312988;48,81731250564186;19800,0;24099,0;34164,0;78063,0;	;-35,0;233,0;-1;72;0,9077022075653076;0,38587355613708496;42,51102982024223;35129,0;55604,0;77051,0;167784,0
9x57_left2_right2-4-3;1;1;	;-6,0;234,0;-1;60;0,08097362518310547;0,03598785400390625;44,443920995913174;10792,0;9043,0;14626,0;34461,0;	;-6,0;234,0;-1;60;0,08097362518310547;0,03598785400390625;44,443920995913174;10792,0;9043,0;14626,0;34461,0
9x57_left2_right2-4-4;1;1;	;-7,0;241,0;-1;62;0,0969686508178711;0,04698467254638672;48,45346630080941;13317,0;13499,0;20322,0;47138,0;	;-7,0;241,0;-1;62;0,0969686508178711;0,04698467254638672;48,45346630080941;13317,0;13499,0;20322,0;47138,0
9x57_left2_right2-4-5;1;1;	;-2,0;238,0;-1;63;0,07697582244873047;0,032989501953125;42,85696586755869;10568,0;8455,0;13828,0;32851,0;	;-16,0;236,0;-1;64;0,24192094802856445;0,11396265029907227;47,10739240556229;20390,0;27222,0;38696,0;86308,0
9x57_left2_right2-4-6;1;1;	;-18,0;234,0;-1;63;0,1466197967529297;0,07864236831665039;53,63693720648879;20201,0;25632,0;36146,0;81979,0;	;-18,0;234,0;-1;63;0,1466197967529297;0,07864236831665039;53,63693720648879;20201,0;25632,0;36146,0;81979,0
9x57_left2_right2-4-7;1;1;	;-8,0;236,0;-1;62;0,11696195602416992;0,05698084831237793;48,71742081724674;14189,0;14526,0;21529,0;50244,0;	;-12,0;236,0;-1;63;0,23992109298706055;0,11796116828918457;49,166651760604665;17360,0;20775,0;29847,0;67982,0
9x57_left2_right2-4-8;1;1;	;-4,0;236,0;-1;61;0,0719764232635498;0,031989336013793945;44,444186809146345;10279,0;7891,0;13160,0;31330,0;	;-8,0;236,0;-1;62;0,16194701194763184;0,07697439193725586;47,53060338164607;13434,0;13621,0;20391,0;47446,0
9x57_left2_right2-4-9;1;1;	;-10,0;230,0;-1;61;0,09296941757202148;0,04598546028137207;49,46299706110139;12904,0;12085,0;18569,0;43558,0;	;-14,0;230,0;-1;62;0,19093728065490723;0,09496903419494629;49,7383401864771;15329,0;16397,0;24116,0;55842,0
9x57_left2_right2-6-0;1;1;	;-12,0;360,0;-1;65;0,18793892860412598;0,08497166633605957;45,212382004711564;20548,0;24686,0;35681,0;80915,0;	;-30,0;360,0;-1;68;0,5378236770629883;0,2489173412322998;46,28233226763413;34419,0;57190,0;80900,0;172509,0
9x57_left2_right2-6-1;1;1;	;-6,0;348,0;-1;60;0,10296630859375;0,049983978271484375;48,54401304090101;14358,0;11439,0;18055,0;43852,0;	;-12,0;348,0;-1;61;0,23392319679260254;0,11596202850341797;49,572693128946284;18162,0;18763,0;27503,0;64428,0
9x57_left2_right2-6-2;1;1;	;-13,0;353,0;-1;62;0,1729428768157959;0,07897424697875977;45,66493193175943;19562,0;23663,0;34603,0;77828,0;	;-19,0;353,0;-1;63;0,40486693382263184;0,17194342613220215;42,46912053517535;23421,0;32027,0;46011,0;101459,0
9x57_left2_right2-6-3;1;1;	;-9,0;351,0;-1;60;0,12595891952514648;0,06297898292541504;49,99962143438512;16236,0;15503,0;23380,0;55119,0;	;-9,0;351,0;-1;60;0,12595891952514648;0,06297898292541504;49,99962143438512;16236,0;15503,0;23380,0;55119,0
9x57_left2_right2-6-4;1;1;	;-10,0;356,0;-1;64;0,1379549503326416;0,06197977066040039;44,92754374594945;17691,0;18700,0;27568,0;63959,0;	;-28,0;356,0;-1;67;0,4738450050354004;0,18793869018554688;39,662482075020755;29045,0;43641,0;61745,0;134431,0
9x57_left2_right2-6-5;1;1;	;-30,0;348,0;-1;63;0,22492671012878418;0,11496186256408691;51,11080960472159;24166,0;36346,0;52856,0;113368,0;	;-30,0;348,0;-1;63;0,22492671012878418;0,11496186256408691;51,11080960472159;24166,0;36346,0;52856,0;113368,0
9x57_left2_right2-6-6;1;1;	;-11,0;349,0;-1;60;0,11072039604187012;0,05373978614807129;48,53648295093617;15162,0;14440,0;22072,0;51674,0;	;-11,0;349,0;-1;60;0,11072039604187012;0,05373978614807129;48,53648295093617;15162,0;14440,0;22072,0;51674,0
9x57_left2_right2-6-7;1;1;	;-28,0;356,0;-1;65;0,30589962005615234;0,15194988250732422;49,673119070704175;31909,0;50536,0;71544,0;153989,0;	;-34,0;356,0;-1;66;0,6607832908630371;0,32789182662963867;49,62168855713423;36075,0;60987,0;86352,0;183414,0
9x57_left2_right2-6-8;1;1;	;-12,0;348,0;-1;60;0,12595868110656738;0,0659785270690918;52,38108758321361;16243,0;16989,0;25397,0;58629,0;	;-12,0;348,0;-1;60;0,12595868110656738;0,0659785270690918;52,38108758321361;16243,0;16989,0;25397,0;58629,0
9x57_left2_right2-6-9;1;1;	;-11,0;355,0;-1;65;0,14895129203796387;0,06597757339477539;44,2947305069092;17931,0;19580,0;28778,0;66289,0;	;-35,0;355,0;-1;69;0,5488204956054688;0,2179272174835205;39,708286995204006;32763,0;53783,0;76667,0;163213,0
9x57_left2_right2-8-0;1;1;	;-22,0;474,0;-1;74;0,3454420566558838;0,1319570541381836;38,199475598199726;27012,0;38039,0;54944,0;119995,0;	;-123,0;469,0;-1;81;2,2608132362365723;0,6697804927825928;29,62564452681339;77646,0;179340,0;266204,0;523190,0
9x57_left2_right2-8-1;1;1;	;-25,0;471,0;-1;73;0,7428004741668701;0,3269796371459961;44,01984765999761;26616,0;37221,0;53954,0;117791,0;	;-113,0;471,0;-1;84;2,3399722576141357;0,828505277633667;35,406628216969594;70931,0;160082,0;237059,0;468072,0
9x57_left2_right2-8-2;1;1;	;-7,0;473,0;-1;67;0,15995144844055176;0,06897735595703125;43,12393331196852;19666,0;19767,0;29338,0;68771,0;	;-63,0;473,0;-1;74;1,3918356895446777;0,36501002311706543;26,225080004700413;48647,0;95128,0;138429,0;282204,0
9x57_left2_right2-8-3;1;1;	;-14,0;466,0;-1;60;0,16194748878479004;0,07297611236572266;45,0615893542503;20090,0;21738,0;32092,0;73920,0;	;-14,0;466,0;-1;60;0,16194748878479004;0,07297611236572266;45,0615893542503;20090,0;21738,0;32092,0;73920,0
