Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;
;16;16;2;0;0;1;44.0014;10;0;1;0;0;11;
;16;16;2;0;1;1;0.126900000000006;37;0;1;0;0;20;
;16;16;2;0;2;1;0.110199999999992;29;0;1;0;0;16;
;16;16;2;0;3;1;0.1053;30;0;1;0;0;18;
;16;16;2;0;4;1;0.131699999999995;29;0;1;0;0;16;
;16;16;2;0;5;1;0.100200000000001;28;0;1;0;0;21;
;16;16;2;0;6;1;68.2958;26;1;1;2;0;16;
;16;16;2;0;7;1;0.109899999999982;20;0;1;0;0;17;
;16;16;2;0;8;1;0.104499999999973;28;0;1;0;0;18;
;16;16;2;0;9;1;2.14360000000005;41;1;1;2;0;26;
;16;16;4;0;0;1;1.00689999999997;38;0;1;0;0;16;
;16;16;4;0;1;1;0.861499999999978;45;1;1;2;0;17;
;16;16;4;0;2;1;0.125699999999995;36;0;1;0;0;17;
;16;16;4;0;3;1;0.136999999999944;41;0;1;0;0;17;
;16;16;4;0;4;1;0.163200000000074;67;0;1;0;0;27;
;16;16;4;0;5;1;0.179400000000101;46;0;1;0;0;22;
;16;16;4;0;6;1;0.220500000000015;61;0;1;0;0;25;
;16;16;4;0;7;1;0.140999999999963;26;0;1;0;0;11;
;16;16;4;0;8;1;0.164099999999962;30;0;1;0;0;13;
;16;16;4;0;9;1;0.121499999999969;28;0;1;0;0;10;
;16;16;6;0;0;1;0.233899999999949;55;0;1;0;0;18;
;16;16;6;0;1;1;1.64409999999998;67;1;1;3;0;21;
;16;16;6;0;2;1;3.23260000000005;85;1;1;2;0;22;
;16;16;6;0;3;1;0.189399999999978;63;0;1;0;0;15;
;16;16;6;0;4;1;0.212200000000166;51;0;1;0;0;20;
;16;16;6;0;5;1;0.232799999999997;64;0;1;0;0;19;
;16;16;6;0;6;1;0.242999999999938;94;0;1;0;0;26;
;16;16;6;0;7;1;1.1108999999999;59;1;1;2;0;17;
;16;16;6;0;8;1;1.30740000000014;74;1;1;2;0;19;
;16;16;6;0;9;1;1.03920000000016;57;1;1;2;0;18;
;16;16;8;0;0;1;0.840900000000147;91;1;1;2;0;18;
;16;16;8;0;1;1;5.92900000000009;81;1;1;5;0;17;
;16;16;8;0;2;1;0.264200000000073;89;0;1;0;0;18;
;16;16;8;0;3;1;289.3316;94;125;216;145;1;17;
;16;16;8;0;4;1;1.5319999999997;63;1;1;4;0;12;
;16;16;8;0;5;1;2.13630000000012;86;3;3;5;2;19;
;16;16;8;0;6;1;2.9387999999999;111;1;1;4;0;25;
;16;16;8;0;7;1;3.27529999999979;93;1;1;6;0;19;
;16;16;8;0;8;1;0.263500000000022;94;0;1;0;0;20;
;16;16;8;0;9;1;0.263600000000224;84;0;1;0;0;20;
;16;16;10;0;0;1;1.30369999999994;98;1;1;2;0;19;
;16;16;10;0;1;1;2.05630000000019;115;1;1;5;0;21;
;16;16;10;0;2;1;1.10819999999967;82;1;1;2;0;16;
;16;16;10;0;3;1;2.86650000000009;100;1;1;6;0;19;
;16;16;10;0;4;1;1.82180000000017;87;1;1;2;0;16;
;16;16;10;0;5;1;0.994200000000092;86;1;1;3;0;16;
;16;16;10;0;6;1;1.89300000000003;107;1;1;3;0;21;
;16;16;10;0;7;1;2.35650000000032;93;1;1;6;0;19;
;16;16;10;0;8;1;0.277700000000095;95;0;1;0;0;15;
;16;16;10;0;9;1;1.59839999999986;96;1;1;2;0;22;
;16;16;12;0;0;1;1.57479999999987;106;1;1;4;0;16;
;16;16;12;0;1;1;3.37079999999969;112;1;1;6;0;24;
;16;16;12;0;2;1;2.97490000000016;103;1;1;5;0;27;
;16;16;12;0;3;1;4.09630000000016;124;1;1;8;0;22;
;16;16;12;0;4;1;4.95430000000033;139;1;1;10;0;20;
;16;16;12;0;5;1;1.83879999999954;111;1;1;3;0;25;
;16;16;12;0;6;1;3.50489999999991;129;1;1;7;0;21;
;16;16;12;0;7;1;0.98070000000007;135;1;1;2;0;21;
;16;16;12;0;8;1;3.4970000000003;143;1;1;7;0;26;
;16;16;12;0;9;1;8.03570000000036;122;5;9;8;0;19;
;16;16;14;0;0;1;3.28669999999966;148;1;1;4;0;22;
;16;16;14;0;1;1;6.13249999999971;173;1;1;9;0;22;
;16;16;14;0;2;1;2.77790000000005;126;1;1;5;0;20;
;16;16;14;0;3;1;2.69120000000021;139;1;1;6;0;20;
;16;16;14;0;4;1;2.09839999999986;116;1;1;5;0;17;
;16;16;14;0;5;1;4.98390000000018;163;1;1;8;0;22;
;16;16;14;0;6;1;2.08839999999964;107;1;1;6;0;17;
;16;16;14;0;7;1;2.23369999999977;147;1;1;4;0;18;
;16;16;14;0;8;1;4.13259999999991;138;1;1;7;0;22;
;16;16;14;0;9;1;5.98319999999967;144;2;3;12;1;22;
;16;16;16;0;0;1;2.54820000000018;165;1;1;5;0;20;
;16;16;16;0;1;1;8.93849999999929;180;2;3;14;2;21;
;16;16;16;0;2;1;7.74039999999968;201;1;1;10;0;24;
;16;16;16;0;3;1;6.66569999999956;125;5;7;16;3;16;
;16;16;16;0;4;1;3.16010000000006;139;1;1;6;0;21;
;16;16;16;0;5;1;171.4474;152;100;184;161;4;24;
;16;16;16;0;6;1;8.07310000000052;178;2;2;13;0;21;
;16;16;16;0;7;1;6.69840000000022;167;1;1;12;0;25;
;16;16;16;0;8;1;11.8641000000007;120;7;13;17;2;15;
;16;16;16;0;9;1;65.3299000000006;170;46;93;78;1;19;
;16;16;18;0;0;1;6.34249999999884;210;1;1;11;0;26;
;16;16;18;0;1;1;5.46619999999893;190;1;1;9;0;27;
;16;16;18;0;2;1;63.3137000000006;222;25;49;53;1;24;
;16;16;18;0;3;1;4.86479999999938;189;1;1;8;0;24;
;16;16;18;0;4;1;5.54939999999988;186;1;1;12;0;19;
;16;16;18;0;5;1;8.22799999999916;189;2;3;13;1;22;
;16;16;18;0;6;1;55.7829000000002;241;22;38;45;1;25;
;16;16;18;0;7;1;7.76370000000134;217;2;3;13;2;25;
;16;16;18;0;8;1;3.17820000000029;179;1;1;5;0;26;
;16;16;18;0;9;1;5.97240000000056;178;3;4;11;1;21;
;16;16;20;0;0;1;8.17280000000028;203;2;2;14;0;21;
;16;16;20;0;1;1;5.82719999999972;220;1;1;11;0;24;
;16;16;20;0;2;1;7.27260000000024;177;1;1;16;0;18;
;16;16;20;0;3;1;6.70389999999861;182;1;1;13;0;21;
;16;16;20;0;4;1;63.8464999999997;206;24;28;38;3;23;
;16;16;20;0;5;1;249.3789;214;82;159;138;1;21;
;16;16;20;0;6;1;6.52429999999913;180;1;1;13;0;19;
;16;16;20;0;7;1;10.1143000000011;211;3;4;18;0;22;
;16;16;20;0;8;1;12.3082000000013;223;4;4;16;2;25;
;16;16;20;0;9;1;9.51829999999973;227;1;1;14;0;23;
;16;16;22;0;0;1;16.2955000000002;277;2;2;19;0;30;
;16;16;22;0;1;1;12.8432000000012;242;2;2;18;0;19;
;16;16;22;0;2;1;30.3415000000005;250;12;18;29;1;23;
;16;16;22;0;3;1;7.08300000000054;210;1;1;13;0;19;
;16;16;22;0;4;1;6.7510999999995;216;1;1;10;0;24;
;16;16;22;0;5;1;318.358400000001;238;91;162;123;1;19;
;16;16;22;0;6;1;10.4278000000013;256;1;1;16;0;27;
;16;16;22;0;7;1;31.7874000000011;220;20;35;45;3;18;
;16;16;22;0;8;1;2282.0437;257;203;381;219;2;24;
;16;16;22;0;9;1;249.914100000002;256;97;192;178;1;21;
;16;16;24;0;0;1;109.086600000002;267;35;63;60;1;25;
;16;16;24;0;1;1;131.705900000001;233;67;132;119;1;25;
;16;16;24;0;2;1;17.1425000000017;232;3;3;23;0;26;
;16;16;24;0;3;1;28.8450000000012;202;12;20;28;5;19;
;16;16;24;0;4;1;9.07869999999821;228;1;1;17;0;19;
;16;16;24;0;5;1;13.5119000000013;228;2;4;21;1;26;
;16;16;24;0;6;1;352.6394;293;83;160;119;2;23;
;16;16;24;0;7;1;8.21290000000226;202;2;3;15;0;23;
;16;16;24;0;8;1;6.25890000000072;229;1;1;8;0;23;
;16;16;24;0;9;1;249.928800000002;268;90;157;147;2;24;
;16;16;26;0;0;1;370.831100000003;275;129;227;221;2;27;
;16;16;26;0;1;1;44.1659;283;15;28;43;1;23;
;16;16;26;0;2;1;536.334700000003;269;233;386;341;6;20;
;16;16;26;0;3;1;16.7772999999979;297;4;6;23;1;22;
;16;16;26;0;4;1;13.4479999999967;206;5;6;23;1;18;
;16;16;26;0;5;1;34289.4015;290;221;280;245;7;24;
;16;16;26;0;6;1;363.234199999999;292;121;211;203;3;23;
;16;16;26;0;7;1;64.6783999999971;220;22;41;44;3;22;
;16;16;26;0;8;1;442.986699999994;293;158;298;233;4;22;
;16;16;26;0;9;1;9.76890000000276;241;1;1;16;0;15;
;16;16;28;0;0;1;1338.0366;344;289;569;573;3;24;
;16;16;28;0;1;1;387.926999999996;318;98;188;169;2;22;
;16;16;28;0;2;1;13.8066000000035;290;1;1;19;0;26;
;16;16;28;0;3;1;687.738400000002;324;259;360;325;7;22;
;16;16;28;0;4;1;18.1034;298;3;4;21;0;25;
;16;16;28;0;5;1;225.383799999996;294;108;207;203;2;25;
;16;16;28;0;6;1;19.034599999999;301;4;6;24;2;22;
;16;16;28;0;7;1;177.313300000009;351;64;107;98;2;21;
