Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;EPEA*/SIC Success;EPEA*/SIC Runtime;EPEA*/SIC Solution Cost;EPEA*/SIC Expanded;EPEA*/SIC Generated;EPEA*/SIC Reopened;EPEA*/SIC BPMX boosts;EPEA*/SIC Closed List Hits;EPEA*/SIC Reopened With Old H;EPEA*/SIC H Updated From Other Area;EPEA*/SIC Max expansion delay;EPEA*/SIC Quick Insertions;EPEA*/SIC Quick Insertions Cancelled;EPEA*/SIC Expanded Full States;EPEA*/SIC Solution Depth;Makespan;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;
;16;16;2;0;0;1;33.8732;26;15;25;0;0;0;0;0;0;14;8;15;0;16;1;37.1757;26;0;1;0;0;16;
;16;16;2;0;1;1;2.18619999999999;20;11;23;0;0;0;0;0;0;10;8;11;0;12;1;0.0990999999999929;20;0;1;0;0;12;
;16;16;2;0;2;1;0.40949999999998;19;15;23;0;0;0;0;0;0;14;4;15;0;16;1;0.0869999999999891;19;0;1;0;0;16;
;16;16;2;0;3;1;0.274000000000001;15;8;23;0;0;0;0;0;0;7;11;8;0;9;1;0.0811999999999955;15;0;1;0;0;9;
;16;16;2;0;4;1;0.365100000000012;24;15;21;0;0;0;0;0;0;14;2;15;0;16;1;0.0940000000000225;24;0;1;0;0;16;
;16;16;2;0;5;1;0.233499999999992;12;9;11;0;0;0;0;0;0;8;0;9;0;10;1;0.0734999999999673;12;0;1;0;0;10;
;16;16;2;0;6;1;0.579700000000003;30;22;42;0;0;0;0;0;0;21;16;22;0;23;1;0.115299999999991;30;0;1;0;0;23;
;16;16;2;0;7;1;0.371300000000019;27;14;31;0;0;0;0;0;0;13;13;14;0;15;1;0.0953999999999837;27;0;1;0;0;15;
;16;16;2;0;8;1;0.300399999999968;21;11;24;0;0;0;0;0;0;10;9;11;0;12;1;0.0785999999999945;21;0;1;0;0;12;
;16;16;2;0;9;1;0.335599999999999;15;12;23;0;0;0;0;0;0;11;7;12;0;13;1;0.0791000000000395;15;0;1;0;0;13;
;16;16;4;0;0;1;1.51429999999999;57;20;93;0;0;0;0;0;0;19;57;20;0;21;1;1.10140000000001;57;0;1;0;0;21;
;16;16;4;0;1;1;0.95350000000002;45;19;62;0;0;0;0;0;0;18;35;19;0;20;1;0.158699999999953;45;0;1;0;0;20;
;16;16;4;0;2;1;1.52940000000001;60;17;141;0;0;0;0;0;0;16;108;17;0;18;1;0.199799999999982;60;0;1;0;0;18;
;16;16;4;0;3;1;1.19809999999995;56;19;94;0;0;0;0;0;0;18;59;19;0;20;1;0.166400000000067;56;0;1;0;0;20;
;16;16;4;0;4;1;1.1617;46;19;81;0;0;0;0;0;0;18;46;19;0;20;1;46.6061000000001;46;1;1;2;0;20;
;16;16;4;0;5;1;0.680700000000002;29;12;29;0;0;0;0;0;0;11;9;12;0;13;1;0.128299999999967;29;0;1;0;0;13;
;16;16;4;0;6;1;0.459999999999923;18;9;19;0;0;0;0;0;0;8;6;9;0;10;1;0.0928000000000111;18;0;1;0;0;10;
;16;16;4;0;7;1;1.03229999999996;47;17;79;0;0;0;0;0;0;16;46;17;0;18;1;0.155099999999948;47;0;1;0;0;18;
;16;16;4;0;8;1;1.44549999999992;56;25;60;0;0;0;0;0;0;24;31;25;0;26;1;0.182699999999954;56;0;1;0;0;26;
;16;16;4;0;9;1;1.12339999999995;50;22;75;0;0;0;0;0;0;21;45;22;0;23;1;0.150900000000092;50;0;1;0;0;23;
;16;16;6;0;0;1;4.35660000000007;70;18;156;0;0;0;0;0;1;17;74;18;0;18;1;0.213500000000067;70;0;1;0;0;18;
;16;16;6;0;1;1;3.66539999999998;60;20;179;0;0;0;0;0;0;19;127;20;0;21;1;0.302799999999934;60;0;1;0;0;21;
;16;16;6;0;2;1;5.5018;66;43;197;0;0;18;0;0;17;38;126;43;0;27;1;0.261899999999969;66;0;1;0;0;27;
;16;16;6;0;3;1;1.02660000000014;43;12;28;0;0;0;0;0;0;11;8;12;0;13;1;1.49849999999992;43;1;1;2;0;13;
;16;16;6;0;4;1;2.84120000000007;69;20;170;0;0;0;0;0;0;19;118;20;0;21;1;1.0012999999999;69;1;1;2;0;21;
;16;16;6;0;5;1;2.63779999999997;57;17;168;0;0;0;0;0;1;16;87;17;0;17;1;1.89229999999998;57;1;1;2;0;17;
;16;16;6;0;6;1;3.11669999999981;61;15;210;0;0;0;0;0;0;14;131;15;0;16;1;0.185600000000022;61;0;1;0;0;16;
;16;16;6;0;7;1;3.73909999999978;88;20;295;0;0;0;0;0;0;19;211;20;0;21;1;0.301600000000008;88;0;1;0;0;21;
;16;16;6;0;8;1;2.4092999999998;69;22;139;0;0;0;0;0;0;21;53;22;0;23;1;0.217300000000023;69;0;1;0;0;23;
;16;16;6;0;9;1;1.68350000000009;63;19;97;0;0;0;0;0;1;18;54;19;0;19;1;4.55700000000002;63;1;1;5;0;19;
;16;16;8;0;0;1;3.58199999999988;66;26;118;0;0;6;0;0;8;23;62;26;0;19;1;0.226900000000114;66;0;1;0;0;19;
;16;16;8;0;1;1;754.6959;80;2633;2499;0;0;25102;0;0;2414;1214;1252;2491;2;17;1;16.4961000000003;80;11;23;17;2;17;
;16;16;8;0;2;1;6.61920000000009;75;16;552;0;0;2;0;0;3;14;409;16;0;14;1;0.909400000000005;75;1;1;2;0;14;
;16;16;8;0;3;1;3.75939999999991;70;13;191;0;0;0;0;0;0;12;50;13;0;14;1;0.861699999999928;70;1;1;2;0;14;
;16;16;8;0;4;1;77.6723000000002;115;423;1012;0;0;1717;0;0;297;279;476;423;0;25;1;2.846;115;1;1;4;0;25;
;16;16;8;0;5;1;4.98070000000007;84;16;360;0;0;0;0;0;0;15;216;16;0;17;1;0.246399999999994;84;0;1;0;0;17;
