sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Release\Instances\Instance-16-0-2-0;1;1;	;26,0;26,0;-1;15;0,17978358268737793;0,08415365219116211;46,80830748461344;6055,0;22601,0;25031,0;53687,0;	;26,0;26,0;-1;15;0,17978358268737793;0,08415365219116211;46,80830748461344;6055,0;22601,0;25031,0;53687,0
Release\Instances\Instance-16-0-2-1;1;1;	;20,0;20,0;-1;11;0,08669853210449219;0,04329037666320801;49,93207567924321;3961,0;9825,0;11961,0;25747,0;	;20,0;20,0;-1;11;0,08669853210449219;0,04329037666320801;49,93207567924321;3961,0;9825,0;11961,0;25747,0
Release\Instances\Instance-16-0-2-2;1;1;	;19,0;19,0;-1;15;0,11289715766906738;0,05631661415100098;49,883110712211604;4781,0;13273,0;15743,0;33797,0;	;19,0;19,0;-1;15;0,11289715766906738;0,05631661415100098;49,883110712211604;4781,0;13273,0;15743,0;33797,0
Release\Instances\Instance-16-0-2-3;1;1;	;15,0;15,0;-1;8;0,053529977798461914;0,026412010192871094;49,34059620258239;2970,0;4855,0;6794,0;14619,0;	;15,0;15,0;-1;8;0,053529977798461914;0,026412010192871094;49,34059620258239;2970,0;4855,0;6794,0;14619,0
Release\Instances\Instance-16-0-2-4;1;1;	;24,0;24,0;-1;15;0,1700305938720703;0,08239054679870605;48,45630714005272;5885,0;22285,0;24727,0;52897,0;	;24,0;24,0;-1;15;0,1700305938720703;0,08239054679870605;48,45630714005272;5885,0;22285,0;24727,0;52897,0
Release\Instances\Instance-16-0-2-5;1;1;	;12,0;12,0;-1;9;0,04876279830932617;0,026128053665161133;53,58194068235823;3067,0;4394,0;6473,0;13934,0;	;12,0;12,0;-1;9;0,04876279830932617;0,026128053665161133;53,58194068235823;3067,0;4394,0;6473,0;13934,0
Release\Instances\Instance-16-0-2-6;1;1;	;30,0;30,0;-1;22;0,3789992332458496;0,1703033447265625;44,93501036084945;9640,0;47550,0;50765,0;107955,0;	;30,0;30,0;-1;22;0,3789992332458496;0,1703033447265625;44,93501036084945;9640,0;47550,0;50765,0;107955,0
Release\Instances\Instance-16-0-2-7;1;1;	;27,0;27,0;-1;14;0,14377784729003906;0,06811118125915527;47,37251429405288;5258,0;17131,0;19468,0;41857,0;	;27,0;27,0;-1;14;0,14377784729003906;0,06811118125915527;47,37251429405288;5258,0;17131,0;19468,0;41857,0
Release\Instances\Instance-16-0-2-8;1;1;	;21,0;21,0;-1;11;0,09106612205505371;0,04402017593383789;48,33869603805644;3999,0;10183,0;12276,0;26458,0;	;21,0;21,0;-1;11;0,09106612205505371;0,04402017593383789;48,33869603805644;3999,0;10183,0;12276,0;26458,0
Release\Instances\Instance-16-0-2-9;1;1;	;15,0;15,0;-1;12;0,11726951599121094;0,05881524085998535;50,15390433127857;4598,0;14988,0;17174,0;36760,0;	;15,0;15,0;-1;12;0,11726951599121094;0,05881524085998535;50,15390433127857;4598,0;14988,0;17174,0;36760,0
