sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Release%5CInstances%5CInstance-16-0-2-0;1;1;	;26,0;26,0;-1;15;0,24391937255859375;0,14495182037353516;59,42612054674549;16821,0;41378,0;57803,0;116002,0;	;26,0;26,0;-1;15;0,24391937255859375;0,14495182037353516;59,42612054674549;16821,0;41378,0;57803,0;116002,0
Release%5CInstances%5CInstance-16-0-2-1;1;1;	;20,0;20,0;-1;11;0,11987066268920898;0,07297587394714355;60,8788441725308;9500,0;19627,0;28219,0;57346,0;	;20,0;20,0;-1;11;0,11987066268920898;0,07297587394714355;60,8788441725308;9500,0;19627,0;28219,0;57346,0
Release%5CInstances%5CInstance-16-0-2-2;1;1;	;19,0;19,0;-1;15;0,1379539966583252;0,08497142791748047;61,59403132620489;11830,0;25611,0;36207,0;73648,0;	;19,0;19,0;-1;15;0,1379539966583252;0,08497142791748047;61,59403132620489;11830,0;25611,0;36207,0;73648,0
Release%5CInstances%5CInstance-16-0-2-3;1;1;	;15,0;15,0;-1;8;0,07097697257995605;0,04398488998413086;61,97064820506619;5891,0;9634,0;14958,0;30483,0;	;15,0;15,0;-1;8;0,07097697257995605;0,04398488998413086;61,97064820506619;5891,0;9634,0;14958,0;30483,0
Release%5CInstances%5CInstance-16-0-2-4;1;1;	;24,0;24,0;-1;15;0,44585394859313965;0,1749424934387207;39,23762343941088;15167,0;37116,0;52735,0;105018,0;	;24,0;24,0;-1;15;0,44585394859313965;0,1749424934387207;39,23762343941088;15167,0;37116,0;52735,0;105018,0
Release%5CInstances%5CInstance-16-0-2-5;1;1;	;12,0;12,0;-1;9;0,14095330238342285;0,09796810150146484;69,5039419757409;6415,0;10343,0;15621,0;32379,0;	;12,0;12,0;-1;9;0,14095330238342285;0,09796810150146484;69,5039419757409;6415,0;10343,0;15621,0;32379,0
Release%5CInstances%5CInstance-16-0-2-6;1;1;	;30,0;30,0;-1;22;0,8137328624725342;0,5698130130767822;70,02457923911301;24935,0;68589,0;97727,0;191251,0;	;30,0;30,0;-1;22;0,8137328624725342;0,5698130130767822;70,02457923911301;24935,0;68589,0;97727,0;191251,0
Release%5CInstances%5CInstance-16-0-2-7;1;1;	;27,0;27,0;-1;14;0,3728775978088379;0,27490949630737305;73,72647161503923;14268,0;33247,0;46477,0;93992,0;	;27,0;27,0;-1;14;0,3728775978088379;0,27490949630737305;73,72647161503923;14268,0;33247,0;46477,0;93992,0
Release%5CInstances%5CInstance-16-0-2-8;1;1;	;21,0;21,0;-1;11;0,4678463935852051;0,3718760013580322;79,48677310693118;9837,0;20595,0;29482,0;59914,0;	;21,0;21,0;-1;11;0,4678463935852051;0,3718760013580322;79,48677310693118;9837,0;20595,0;29482,0;59914,0
Release%5CInstances%5CInstance-16-0-2-9;1;1;	;15,0;15,0;-1;12;0,36188268661499023;0,21093082427978516;58,287072601568276;10817,0;24441,0;35628,0;70886,0;	;15,0;15,0;-1;12;0,36188268661499023;0,21093082427978516;58,287072601568276;10817,0;24441,0;35628,0;70886,0
Release%5CInstances%5CInstance-16-0-4-0;1;1;	;57,0;57,0;-1;20;1,463519811630249;0,8637166023254395;59,01639290849949;31853,0;97731,0;147975,0;277559,0;	;57,0;57,0;-1;20;1,463519811630249;0,8637166023254395;59,01639290849949;31853,0;97731,0;147975,0;277559,0
Release%5CInstances%5CInstance-16-0-4-1;1;1;	;45,0;45,0;-1;19;1,4165363311767578;0,802736759185791;56,66898486951861;30455,0;89898,0;134432,0;254785,0;	;45,0;45,0;-1;19;1,4165363311767578;0,802736759185791;56,66898486951861;30455,0;89898,0;134432,0;254785,0
Release%5CInstances%5CInstance-16-0-4-2;1;1;	;60,0;60,0;-1;17;0,5806455612182617;0,35288405418395996;60,774434139058656;26103,0;71522,0;104605,0;202230,0;	;60,0;60,0;-1;17;0,5806455612182617;0,35288405418395996;60,774434139058656;26103,0;71522,0;104605,0;202230,0
Release%5CInstances%5CInstance-16-0-4-3;1;1;	;56,0;56,0;-1;19;0,9208250045776367;0,41399168968200684;44,95878018341783;32772,0;98896,0;148210,0;279878,0;	;56,0;56,0;-1;19;0,9208250045776367;0,41399168968200684;44,95878018341783;32772,0;98896,0;148210,0;279878,0
Release%5CInstances%5CInstance-16-0-4-4;1;1;	;46,0;46,0;-1;19;0,7857418060302734;0,4038674831390381;51,39951572380479;31920,0;94550,0;140869,0;267339,0;	;46,0;46,0;-1;19;0,7857418060302734;0,4038674831390381;51,39951572380479;31920,0;94550,0;140869,0;267339,0
Release%5CInstances%5CInstance-16-0-4-5;1;1;	;29,0;29,0;-1;12;0,44385361671447754;0,30190038681030273;68,01800761364741;16423,0;41605,0;62489,0;120517,0;	;29,0;29,0;-1;12;0,44385361671447754;0,30190038681030273;68,01800761364741;16423,0;41605,0;62489,0;120517,0
Release%5CInstances%5CInstance-16-0-4-6;1;1;	;18,0;18,0;-1;9;0,18194222450256348;0,08497142791748047;46,7024233378455;10338,0;20843,0;31452,0;62633,0;	;18,0;18,0;-1;9;0,18194222450256348;0,08497142791748047;46,7024233378455;10338,0;20843,0;31452,0;62633,0
