Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;EPEA*/SIC Success;EPEA*/SIC Runtime;EPEA*/SIC Solution Cost;EPEA*/SIC Expanded;EPEA*/SIC Generated;EPEA*/SIC Reopened;EPEA*/SIC BPMX boosts;EPEA*/SIC Closed List Hits;EPEA*/SIC Reopened With Old H;EPEA*/SIC H Updated From Other Area;EPEA*/SIC Max expansion delay;EPEA*/SIC Quick Insertions;EPEA*/SIC Quick Insertions Cancelled;EPEA*/SIC Expanded Full States;EPEA*/SIC Solution Depth;Makespan;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;
;8;8;2;0;0;1;35.8341;15;12;27;0;0;2;0;0;3;10;12;12;0;10;1;82.6223;15;1;1;2;0;10;
;8;8;2;0;1;1;0.27600000000001;13;9;20;0;0;0;0;0;0;8;7;9;0;10;1;0.103199999999987;13;0;1;0;0;10;
;8;8;2;0;2;1;0.2072;8;7;13;0;0;0;0;0;0;6;4;7;0;8;1;0.0704999999999814;8;0;1;0;0;8;
;8;8;2;0;3;1;0.190399999999954;9;8;13;0;0;0;0;0;0;7;3;8;0;9;1;0.057899999999961;9;0;1;0;0;9;
;8;8;2;0;4;1;0.197300000000041;9;7;11;0;0;0;0;0;0;6;3;7;0;8;1;0.4846;9;1;1;2;0;8;
;8;8;2;0;5;1;0.17349999999999;7;6;10;0;0;0;0;0;0;5;2;6;0;7;1;0.0620000000000118;7;0;1;0;0;7;
;8;8;2;0;6;1;0.112000000000023;6;3;5;0;0;0;0;0;0;2;0;3;0;4;1;0.0564999999999714;6;0;1;0;0;4;
;8;8;2;0;7;1;0.137499999999989;4;4;7;0;0;0;0;0;0;3;1;4;0;5;1;0.0552000000000135;4;0;1;0;0;5;
;8;8;2;0;8;1;0.180900000000008;8;7;13;0;0;0;0;0;0;6;4;7;0;8;1;0.0516999999999825;8;0;1;0;0;8;
;8;8;2;0;9;1;0.23679999999996;16;9;25;0;0;0;0;0;0;8;12;9;0;10;1;0.0783000000000129;16;0;1;0;0;10;
;8;8;4;0;0;1;0.390600000000006;16;7;18;0;0;0;0;0;0;6;7;7;0;8;1;1.00199999999995;16;0;1;0;0;8;
;8;8;4;0;1;1;0.375300000000038;22;8;23;0;0;0;0;0;0;7;7;8;0;9;1;0.108500000000049;22;0;1;0;0;9;
;8;8;4;0;2;1;11.7008;27;101;94;0;0;128;0;0;84;73;16;77;2;10;1;2.88760000000002;27;3;3;4;2;10;
;8;8;4;0;3;1;0.535499999999956;18;10;27;0;0;1;0;0;2;8;10;10;0;9;1;0.110900000000015;18;0;1;0;0;9;
;8;8;4;0;4;1;0.409899999999993;15;6;18;0;0;0;0;0;0;5;4;6;0;7;1;0.0947999999999638;15;0;1;0;0;7;
;8;8;4;0;5;1;0.478500000000054;22;9;21;0;0;0;0;0;0;8;4;9;0;10;1;0.562400000000025;22;1;1;2;0;10;
;8;8;4;0;6;1;0.328200000000038;18;7;19;0;0;0;0;0;0;6;8;7;0;8;1;0.0972000000000435;18;0;1;0;0;8;
;8;8;4;0;7;1;0.489099999999894;27;9;42;0;0;0;0;0;0;8;21;9;0;10;1;0.480999999999995;27;1;1;2;0;10;
;8;8;4;0;8;1;0.312199999999962;18;7;10;0;0;0;0;0;0;6;1;7;0;8;1;0.0987999999999829;18;0;1;0;0;8;
;8;8;4;0;9;1;0.293300000000045;15;5;12;0;0;0;0;0;0;4;1;5;0;6;1;0.279899999999998;15;1;1;2;0;6;
;8;8;6;0;0;1;3.80110000000002;30;51;66;0;0;52;0;0;43;36;13;51;0;9;1;0.657699999999977;30;1;1;3;0;9;
;8;8;6;0;1;1;2.86009999999999;23;27;27;0;0;37;0;0;21;12;6;26;1;8;1;1.44090000000006;23;1;3;2;1;8;
;8;8;6;0;2;1;0.862899999999854;21;12;31;0;0;0;0;0;5;9;13;12;0;8;1;2.2659000000001;21;1;1;3;0;8;
;8;8;6;0;3;1;140.1816;36;921;797;0;0;5937;0;0;911;743;29;795;2;11;1;7.60339999999997;36;4;7;9;2;11;
;8;8;6;0;4;1;31.9819;37;179;175;0;0;534;0;0;159;110;40;170;1;11;1;3.07330000000002;37;3;7;8;1;11;
;8;8;6;0;5;1;1.41799999999989;32;14;70;0;0;2;0;0;3;11;26;14;0;12;1;1.75009999999997;32;1;1;3;0;12;
;8;8;6;0;6;1;0.716199999999844;21;6;47;0;0;0;0;0;0;5;9;6;0;7;1;0.100800000000163;21;0;1;0;0;7;
;8;8;6;0;7;1;1.49569999999994;31;18;47;0;0;6;0;0;8;15;23;18;0;11;1;0.512900000000172;31;1;1;2;0;11;
;8;8;6;0;8;1;1.31400000000008;38;14;37;0;0;1;0;0;2;12;16;14;0;13;1;0.438400000000001;38;1;1;2;0;13;
;8;8;6;0;9;1;1.13009999999986;30;9;74;0;0;0;0;0;0;8;17;9;0;10;1;0.120200000000068;30;0;1;0;0;10;
;8;8;8;0;0;1;1.92960000000016;37;8;125;0;0;0;0;0;0;7;21;8;0;9;1;1.01549999999997;37;1;1;4;0;9;
;8;8;8;0;1;1;16.5813000000001;50;108;121;0;0;258;0;0;97;75;13;107;1;12;1;5.21550000000002;50;5;8;9;1;12;
;8;8;8;0;2;1;4.27370000000019;36;34;48;0;0;32;0;0;26;23;16;34;0;9;1;1.32770000000005;36;1;1;6;0;9;
;8;8;8;0;3;0;300001.8283;-2;202500;144128;0;0;4740251;0;0;197603;109149;17600;144127;4;-1;1;84.1077000000514;50;26;36;37;7;10;
;8;8;8;0;4;1;4.00510000000941;42;22;155;0;0;12;0;0;9;16;42;22;0;12;1;1.26110000000335;42;1;1;5;0;12;
;8;8;8;0;5;1;336.34580000001;45;1547;1390;0;0;9584;0;0;1419;1009;332;1326;2;9;1;1.46919999999227;45;3;3;5;2;9;
;8;8;8;0;6;1;734.819799999997;47;2278;1960;0;0;12571;0;0;2042;1856;55;1952;2;13;1;1.61099999997532;47;3;3;4;2;13;
;8;8;8;0;7;1;31411.1892;41;47557;33999;0;0;771979;0;0;44500;20909;8091;33998;5;11;1;8.96189999999478;41;8;10;17;5;11;
;8;8;8;0;8;1;1.78599999996368;38;8;96;0;0;0;0;0;0;7;24;8;0;9;1;0.859000000054948;38;1;1;5;0;9;
;8;8;8;0;9;1;1.95309999998426;36;8;121;0;0;0;0;0;0;7;49;8;0;9;1;1.05830000003334;36;1;1;5;0;9;
;8;8;10;0;0;1;4.70980000001146;54;16;114;0;0;2;0;0;3;11;38;16;0;12;1;1.89319999999134;54;1;1;8;0;12;
;8;8;10;0;1;1;38.594299999997;35;142;298;0;0;267;0;0;134;36;5;142;0;7;1;1.5789999999688;35;1;1;7;0;7;
;8;8;10;0;2;1;10507.8611;48;16220;12667;0;0;214939;0;0;15757;7394;4292;12447;3;12;1;11.8506000000052;48;10;14;20;3;11;
;8;8;10;0;3;1;60.4050000000279;50;264;275;0;0;1608;0;0;255;184;26;263;1;10;1;2.48090000002412;50;3;4;8;1;10;
;8;8;10;0;4;1;2.40200000000186;41;9;59;0;0;0;0;0;0;8;20;9;0;10;1;1.65139999997336;41;1;1;6;0;10;
;8;8;10;0;5;1;24.2847000000183;55;107;246;0;0;169;0;0;94;74;75;107;0;12;1;2.03049999999348;55;2;2;8;0;12;
;8;8;10;0;6;1;35.1964000000153;50;125;133;0;0;336;0;0;115;50;50;124;1;13;1;3.70590000000084;50;5;9;11;1;13;
;8;8;10;0;7;1;5.84370000002673;51;10;122;0;0;0;0;0;0;8;81;9;1;10;1;2.36559999996098;51;4;7;8;1;10;
