sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Release%5CInstances%5CInstance-8-0-2-0;1;1;	;-3,0;15,0;-1;9;0,042984962463378906;0,024991273880004883;58,13957358063586;1464,0;2840,0;3666,0;7970,0;	;-3,0;15,0;-1;9;0,042984962463378906;0,024991273880004883;58,13957358063586;1464,0;2840,0;3666,0;7970,0
Release%5CInstances%5CInstance-8-0-2-1;1;1;	;-5,0;13,0;-1;9;0,036984920501708984;0,01999354362487793;54,05863620540722;1596,0;3485,0;4323,0;9404,0;	;-5,0;13,0;-1;9;0,036984920501708984;0,01999354362487793;54,05863620540722;1596,0;3485,0;4323,0;9404,0
Release%5CInstances%5CInstance-8-0-2-2;1;1;	;-6,0;8,0;-1;7;0,029990196228027344;0,015995502471923828;53,33577129773906;1180,0;2048,0;2758,0;5986,0;	;-6,0;8,0;-1;7;0,029990196228027344;0,015995502471923828;53,33577129773906;1180,0;2048,0;2758,0;5986,0
Release%5CInstances%5CInstance-8-0-2-3;1;1;	;-7,0;9,0;-1;8;0,031989336013793945;0,017994165420532227;56,25051239817252;1344,0;2318,0;3085,0;6747,0;	;-7,0;9,0;-1;8;0,031989336013793945;0,017994165420532227;56,25051239817252;1344,0;2318,0;3085,0;6747,0
Release%5CInstances%5CInstance-8-0-2-4;1;1;	;-5,0;9,0;-1;7;0,026990652084350586;0,014995336532592773;55,55751852800622;1291,0;2752,0;3454,0;7497,0;	;-5,0;9,0;-1;7;0,026990652084350586;0,014995336532592773;55,55751852800622;1291,0;2752,0;3454,0;7497,0
Release%5CInstances%5CInstance-8-0-2-5;1;1;	;-5,0;7,0;-1;6;0,032988786697387695;0,015995264053344727;48,48697286163408;956,0;802,0;1468,0;3226,0;	;-5,0;7,0;-1;6;0,032988786697387695;0,015995264053344727;48,48697286163408;956,0;802,0;1468,0;3226,0
Release%5CInstances%5CInstance-8-0-2-6;1;1;	;-2,0;6,0;-1;4;0,058980464935302734;0,021993637084960938;37,28969771446589;747,0;403,0;976,0;2126,0;	;-2,0;6,0;-1;4;0,058980464935302734;0,021993637084960938;37,28969771446589;747,0;403,0;976,0;2126,0
Release%5CInstances%5CInstance-8-0-2-7;1;1;	;-4,0;4,0;-1;4;0,03098917007446289;0,014993906021118164;48,38434196556341;751,0;385,0;966,0;2102,0;	;-4,0;4,0;-1;4;0,03098917007446289;0,014993906021118164;48,38434196556341;751,0;385,0;966,0;2102,0
Release%5CInstances%5CInstance-8-0-2-8;1;1;	;-6,0;8,0;-1;7;0,02799081802368164;0,01399540901184082;50,0;1163,0;1640,0;2348,0;5151,0;	;-6,0;8,0;-1;7;0,02799081802368164;0,01399540901184082;50,0;1163,0;1640,0;2348,0;5151,0
Release%5CInstances%5CInstance-8-0-2-9;1;1;	;-2,0;16,0;-1;9;0,03398871421813965;0,016994237899780273;49,99964926802236;1514,0;3453,0;4279,0;9246,0;	;-2,0;16,0;-1;9;0,03398871421813965;0,016994237899780273;49,99964926802236;1514,0;3453,0;4279,0;9246,0
