sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Release\Instances\Instance-8-0-2-0;1;1;	;-3,0;15,0;-1;9;0,12250518798828125;0,031149864196777344;25,42738369558448;1272,0;1132,0;1981,0;4385,0;	;-3,0;15,0;-1;9;0,12250518798828125;0,031149864196777344;25,42738369558448;1272,0;1132,0;1981,0;4385,0
Release\Instances\Instance-8-0-2-1;1;1;	;-5,0;13,0;-1;9;0,019858598709106445;0,010248422622680664;51,60697777724419;1569,0;1843,0;2888,0;6300,0;	;-5,0;13,0;-1;9;0,019858598709106445;0,010248422622680664;51,60697777724419;1569,0;1843,0;2888,0;6300,0
Release\Instances\Instance-8-0-2-2;1;1;	;-6,0;8,0;-1;7;0,014693975448608398;0,007090330123901367;48,25331407895377;1083,0;829,0;1595,0;3507,0;	;-6,0;8,0;-1;7;0,014693975448608398;0,007090330123901367;48,25331407895377;1083,0;829,0;1595,0;3507,0
Release\Instances\Instance-8-0-2-3;1;1;	;-7,0;9,0;-1;8;0,014921188354492188;0,007459163665771484;49,99041288508245;1193,0;884,0;1675,0;3752,0;	;-7,0;9,0;-1;8;0,014921188354492188;0,007459163665771484;49,99041288508245;1193,0;884,0;1675,0;3752,0
Release\Instances\Instance-8-0-2-4;1;1;	;-5,0;9,0;-1;7;0,015435934066772461;0,00779414176940918;50,49348964366804;1177,0;1073,0;1897,0;4147,0;	;-5,0;9,0;-1;7;0,015435934066772461;0,00779414176940918;50,49348964366804;1177,0;1073,0;1897,0;4147,0
Release\Instances\Instance-8-0-2-5;1;1;	;-5,0;7,0;-1;6;0,013248205184936523;0,006318092346191406;47,6901758237803;973,0;556,0;1245,0;2774,0;	;-5,0;7,0;-1;6;0,013248205184936523;0,006318092346191406;47,6901758237803;973,0;556,0;1245,0;2774,0
Release\Instances\Instance-8-0-2-6;1;1;	;-2,0;6,0;-1;4;0,0486142635345459;0,008265972137451172;17,0031828859801;709,0;167,0;738,0;1614,0;	;-2,0;6,0;-1;4;0,0486142635345459;0,008265972137451172;17,0031828859801;709,0;167,0;738,0;1614,0
Release\Instances\Instance-8-0-2-7;1;1;	;-4,0;4,0;-1;4;0,011223793029785156;0,005025148391723633;44,77228311666242;761,0;259,0;855,0;1875,0;	;-4,0;4,0;-1;4;0,011223793029785156;0,005025148391723633;44,77228311666242;761,0;259,0;855,0;1875,0
Release\Instances\Instance-8-0-2-8;1;1;	;-6,0;8,0;-1;7;0,016464948654174805;0,00821685791015625;49,905153564343536;1273,0;1220,0;2084,0;4577,0;	;-6,0;8,0;-1;7;0,016464948654174805;0,00821685791015625;49,905153564343536;1273,0;1220,0;2084,0;4577,0
Release\Instances\Instance-8-0-2-9;1;1;	;-2,0;16,0;-1;9;0,015545845031738281;0,007781505584716797;50,05521133672781;1252,0;995,0;1797,0;4044,0;	;-2,0;16,0;-1;9;0,015545845031738281;0,007781505584716797;50,05521133672781;1252,0;995,0;1797,0;4044,0
Release\Instances\Instance-8-0-4-0;1;1;	;-12,0;16,0;-1;7;0,02400660514831543;0,011779546737670898;49,06794053093127;1946,0;2104,0;3327,0;7377,0;	;-12,0;16,0;-1;7;0,02400660514831543;0,011779546737670898;49,06794053093127;1946,0;2104,0;3327,0;7377,0
Release\Instances\Instance-8-0-4-1;1;1;	;-10,0;22,0;-1;8;0,025147438049316406;0,01212930679321289;48,23277333232204;1972,0;2136,0;3434,0;7542,0;	;-10,0;22,0;-1;8;0,025147438049316406;0,01212930679321289;48,23277333232204;1972,0;2136,0;3434,0;7542,0
Release\Instances\Instance-8-0-4-2;1;1;	;-9,0;27,0;-1;10;0,029979228973388672;0,01462411880493164;48,78083695185379;2327,0;2983,0;4521,0;9831,0;	;-13,0;27,0;-1;11;0,0669710636138916;0,03268742561340332;48,80828203932403;2903,0;4414,0;6448,0;13765,0
Release\Instances\Instance-8-0-4-3;1;1;	;-14,0;18,0;-1;8;0,031096220016479492;0,015071392059326172;48,46695852852553;2384,0;3198,0;4805,0;10387,0;	;-14,0;18,0;-1;8;0,031096220016479492;0,015071392059326172;48,46695852852553;2384,0;3198,0;4805,0;10387,0
Release\Instances\Instance-8-0-4-4;1;1;	;-9,0;15,0;-1;6;0,019996166229248047;0,009289979934692383;46,45880529390723;1579,0;1392,0;2436,0;5407,0;	;-9,0;15,0;-1;6;0,019996166229248047;0,009289979934692383;46,45880529390723;1579,0;1392,0;2436,0;5407,0
Release\Instances\Instance-8-0-4-5;1;1;	;-14,0;22,0;-1;9;0,034986257553100586;0,017883777618408203;51,11657796283298;2807,0;4110,0;5926,0;12843,0;	;-14,0;22,0;-1;9;0,034986257553100586;0,017883777618408203;51,11657796283298;2807,0;4110,0;5926,0;12843,0
Release\Instances\Instance-8-0-4-6;1;1;	;-10,0;18,0;-1;7;0,02274918556213379;0,01099252700805664;48,32052988461176;1780,0;1844,0;3026,0;6650,0;	;-10,0;18,0;-1;7;0,02274918556213379;0,01099252700805664;48,32052988461176;1780,0;1844,0;3026,0;6650,0
Release\Instances\Instance-8-0-4-7;1;1;	;-9,0;27,0;-1;9;0,0268857479095459;0,013215065002441406;49,15267764505574;2197,0;2483,0;3831,0;8511,0;	;-9,0;27,0;-1;9;0,0268857479095459;0,013215065002441406;49,15267764505574;2197,0;2483,0;3831,0;8511,0
Release\Instances\Instance-8-0-4-8;1;1;	;-10,0;18,0;-1;7;0,02331256866455078;0,010702133178710938;45,90713847412559;1759,0;1796,0;2987,0;6542,0;	;-10,0;18,0;-1;7;0,02331256866455078;0,010702133178710938;45,90713847412559;1759,0;1796,0;2987,0;6542,0
Release\Instances\Instance-8-0-4-9;1;1;	;-5,0;15,0;-1;5;0,016099929809570312;0,006899118423461914;42,851854045729176;1205,0;648,0;1499,0;3352,0;	;-5,0;15,0;-1;5;0,016099929809570312;0,006899118423461914;42,851854045729176;1205,0;648,0;1499,0;3352,0
Release\Instances\Instance-8-0-6-0;1;1;	;-18,0;30,0;-1;8;0,039031982421875;0,018804073333740234;48,1760652853792;3022,0;4212,0;6276,0;13510,0;	;-18,0;30,0;-1;8;0,039031982421875;0,018804073333740234;48,1760652853792;3022,0;4212,0;6276,0;13510,0
Release\Instances\Instance-8-0-6-1;1;1;	;-19,0;23,0;-1;7;0,03617286682128906;0,01639580726623535;45,32625889796994;2678,0;3467,0;5260,0;11405,0;	;-19,0;23,0;-1;7;0,03617286682128906;0,01639580726623535;45,32625889796994;2678,0;3467,0;5260,0;11405,0
Release\Instances\Instance-8-0-6-2;1;1;	;-21,0;21,0;-1;7;0,03460812568664551;0,016182899475097656;46,76040425194789;2518,0;3288,0;5132,0;10938,0;	;-21,0;21,0;-1;7;0,03460812568664551;0,016182899475097656;46,76040425194789;2518,0;3288,0;5132,0;10938,0
Release\Instances\Instance-8-0-6-3;1;1;	;-12,0;36,0;-1;9;0,0387423038482666;0,0176084041595459;45,45006984744334;2837,0;3793,0;5718,0;12348,0;	;-18,0;36,0;-1;10;0,08609747886657715;0,03943347930908203;45,80096865576168;3498,0;5526,0;8124,0;17148,0
Release\Instances\Instance-8-0-6-4;1;1;	;-23,0;37,0;-1;10;0,06171059608459473;0,028685331344604492;46,48364003044434;4011,0;6938,0;10245,0;21194,0;	;-23,0;37,0;-1;10;0,06171059608459473;0,028685331344604492;46,48364003044434;4011,0;6938,0;10245,0;21194,0
Release\Instances\Instance-8-0-6-5;1;1;	;-34,0;32,0;-1;11;0,07735919952392578;0,03822922706604004;49,41781624073869;5002,0;9880,0;14512,0;29394,0;	;-34,0;32,0;-1;11;0,07735919952392578;0,03822922706604004;49,41781624073869;5002,0;9880,0;14512,0;29394,0
Release\Instances\Instance-8-0-6-6;1;1;	;-15,0;21,0;-1;6;0,028022289276123047;0,012912750244140625;46,080283152109175;2255,0;2368,0;3803,0;8426,0;	;-15,0;21,0;-1;6;0,028022289276123047;0,012912750244140625;46,080283152109175;2255,0;2368,0;3803,0;8426,0
Release\Instances\Instance-8-0-6-7;1;1;	;-29,0;31,0;-1;10;0,05906343460083008;0,029715776443481445;50,311629596738385;4256,0;7396,0;10745,0;22397,0;	;-29,0;31,0;-1;10;0,05906343460083008;0,029715776443481445;50,311629596738385;4256,0;7396,0;10745,0;22397,0
Release\Instances\Instance-8-0-6-8;1;1;	;-34,0;38,0;-1;12;0,08765769004821777;0,04320788383483887;49,291606715932794;5475,0;11154,0;16446,0;33075,0;	;-34,0;38,0;-1;12;0,08765769004821777;0,04320788383483887;49,291606715932794;5475,0;11154,0;16446,0;33075,0
Release\Instances\Instance-8-0-6-9;1;1;	;-24,0;30,0;-1;9;0,05102062225341797;0,025414228439331055;49,81167872296678;3797,0;6224,0;9007,0;19028,0;	;-24,0;30,0;-1;9;0,05102062225341797;0,025414228439331055;49,81167872296678;3797,0;6224,0;9007,0;19028,0
Release\Instances\Instance-8-0-8-0;1;1;	;-27,0;37,0;-1;8;0,05044269561767578;0,023834228515625;47,250108710037246;3679,0;5485,0;8235,0;17399,0;	;-27,0;37,0;-1;8;0,05044269561767578;0,023834228515625;47,250108710037246;3679,0;5485,0;8235,0;17399,0
Release\Instances\Instance-8-0-8-1;1;1;	;-38,0;50,0;-1;11;0,09438109397888184;0,04371023178100586;46,312486895718976;5731,0;11075,0;16406,0;33212,0;	;-38,0;50,0;-1;11;0,09438109397888184;0,04371023178100586;46,312486895718976;5731,0;11075,0;16406,0;33212,0
Release\Instances\Instance-8-0-8-2;1;1;	;-28,0;36,0;-1;8;0,047298431396484375;0,02280902862548828;48,22364706831196;3650,0;5243,0;7817,0;16710,0;	;-28,0;36,0;-1;8;0,047298431396484375;0,02280902862548828;48,22364706831196;3650,0;5243,0;7817,0;16710,0
Release\Instances\Instance-8-0-8-3;1;1;	;-22,0;50,0;-1;15;0,06284976005554199;0,02681732177734375;42,668932631794576;3971,0;6152,0;9278,0;19401,0;	;-70,0;50,0;-1;21;0,29521989822387695;0,11308908462524414;38,306728410116925;8912,0;21569,0;33728,0;64209,0
Release\Instances\Instance-8-0-8-4;1;1;	;-46,0;42,0;-1;11;0,08710241317749023;0,04180598258972168;47,99635402125178;5610,0;10604,0;15694,0;31908,0;	;-46,0;42,0;-1;11;0,08710241317749023;0,04180598258972168;47,99635402125178;5610,0;10604,0;15694,0;31908,0
Release\Instances\Instance-8-0-8-5;1;1;	;-19,0;45,0;-1;9;0,05034184455871582;0,022025108337402344;43,751095198177595;3377,0;4641,0;7082,0;15100,0;	;-27,0;45,0;-1;10;0,1090855598449707;0,04866933822631836;44,615747763027336;4098,0;6601,0;9877,0;20576,0
