sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Instance-20-10-20-0;1;1;	;268,0;268,0;-1;30;6,159022331237793;2,709110975265503;43,98605540891173;204392,0;831050,0;1417681,0;2453123,0;	;268,0;268,0;-1;31;12,608461856842041;5,529011964797974;43,85159766175308;214579,0;879200,0;1501008,0;2594787,0
Instance-20-10-20-1;1;1;	;289,0;289,0;-1;31;6,403396844863892;3,140042781829834;49,03714165940589;214357,0;866647,0;1471449,0;2552453,0;	;289,0;289,0;-1;31;6,403396844863892;3,140042781829834;49,03714165940589;214357,0;866647,0;1471449,0;2552453,0
Instance-20-10-20-2;1;1;	;246,0;246,0;-1;23;3,0822854042053223;1,2745821475982666;41,35185359082219;113286,0;402961,0;675460,0;1191707,0;	;246,0;246,0;-1;26;7,315098762512207;3,0301103591918945;41,42268556537261;141796,0;533785,0;900951,0;1576532,0
Instance-20-10-20-3;1;1;	;244,0;244,0;-1;34;9,110010147094727;3,0789895057678223;33,79787130917459;219174,0;896430,0;1527854,0;2643458,0;	;244,0;244,0;-1;37;18,767740726470947;6,48543119430542;34,55627019163819;249786,0;1041563,0;1779263,0;3070612,0
Instance-20-10-20-4;1;1;	;262,0;262,0;-1;23;3,9699606895446777;1,862217664718628;46,90771043710786;138821,0;515329,0;866841,0;1520991,0;	;262,0;262,0;-1;23;3,9699606895446777;1,862217664718628;46,90771043710786;138821,0;515329,0;866841,0;1520991,0
Instance-20-10-20-5;1;1;	;275,0;275,0;-1;24;4,154637098312378;1,9503602981567383;46,94417952771323;147317,0;554552,0;933387,0;1635256,0;	;275,0;275,0;-1;24;4,154637098312378;1,9503602981567383;46,94417952771323;147317,0;554552,0;933387,0;1635256,0
Instance-20-10-20-6;1;1;	;249,0;249,0;-1;22;3,401883602142334;1,5954766273498535;46,89980063824357;130301,0;479635,0;807138,0;1417074,0;	;249,0;249,0;-1;22;3,401883602142334;1,5954766273498535;46,89980063824357;130301,0;479635,0;807138,0;1417074,0
Instance-20-10-20-7;1;1;	;324,0;324,0;-1;30;6,331922292709351;2,7580950260162354;43,55857350289877;205365,0;830150,0;1412607,0;2448122,0;	;324,0;324,0;-1;30;6,331922292709351;2,7580950260162354;43,55857350289877;205365,0;830150,0;1412607,0;2448122,0
Instance-20-10-20-8;1;1;	;269,0;269,0;-1;26;4,7665696144104;2,1913537979125977;45,9733933453452;170185,0;665546,0;1127702,0;1963433,0;	;269,0;269,0;-1;26;4,7665696144104;2,1913537979125977;45,9733933453452;170185,0;665546,0;1127702,0;1963433,0
Instance-20-10-20-9;1;1;	;295,0;295,0;-1;30;5,984899044036865;2,7810592651367188;46,46793947021821;208562,0;845543,0;1438937,0;2493042,0;	;295,0;295,0;-1;30;5,984899044036865;2,7810592651367188;46,46793947021821;208562,0;845543,0;1438937,0;2493042,0
Instance-20-10-22-0;1;1;	;330,0;330,0;-1;32;7,6448163986206055;3,4032552242279053;44,51716099868628;247909,0;1033848,0;1771879,0;3053636,0;	;330,0;330,0;-1;32;7,6448163986206055;3,4032552242279053;44,51716099868628;247909,0;1033848,0;1771879,0;3053636,0
Instance-20-10-22-1;1;1;	;317,0;317,0;-1;32;7,017697811126709;2,6731226444244385;38,09116203587657;191051,0;758580,0;1291880,0;2241511,0;	;317,0;317,0;-1;37;15,696346998214722;6,0380189418792725;38,46766985060937;245843,0;1019257,0;1744525,0;3009625,0
Instance-20-10-22-2;1;1;	;309,0;309,0;-1;26;5,025432109832764;2,0870115756988525;41,52899750879938;161138,0;620113,0;1053155,0;1834406,0;	;308,0;308,0;-1;27;10,855956792831421;4,432241916656494;40,82774094664104;182633,0;721566,0;1229333,0;2133532,0
Instance-20-10-22-3;1;1;	;284,0;284,0;-1;41;7,739652395248413;2,216099739074707;28,633065490579813;162406,0;625352,0;1062156,0;1849914,0;	;270,0;270,0;-1;44;20,591436624526978;7,442386150360107;36,14311272237943;349271,0;1516420,0;2610349,0;4476040,0
Instance-20-10-22-4;1;1;	;340,0;340,0;-1;33;7,718002557754517;2,8410680294036865;36,81092365730272;200605,0;803888,0;1371020,0;2375513,0;	;340,0;340,0;-1;38;17,561383962631226;6,522960186004639;37,143770672543866;255491,0;1065244,0;1825432,0;3146167,0
Instance-20-10-22-5;1;1;	;304,0;304,0;-1;28;7,870435953140259;2,3862104415893555;30,318656498783543;182105,0;720970,0;1227332,0;2130407,0;	;304,0;304,0;-1;30;16,210047960281372;5,620959281921387;34,67577206245242;203869,0;824367,0;1406916,0;2435152,0
Instance-20-10-22-6;1;1;	;311,0;311,0;-1;29;8,503072261810303;3,2173571586608887;37,83758457647065;197462,0;793566,0;1354878,0;2345906,0;	;311,0;311,0;-1;31;17,902129888534546;6,271251916885376;35,030758663536524;219426,0;898168,0;1536553,0;2654147,0
Instance-20-10-22-7;1;1;	;266,0;266,0;-1;27;6,040991544723511;2,4132087230682373;39,94722894747384;175332,0;684967,0;1164201,0;2024500,0;	;266,0;266,0;-1;28;11,931213617324829;4,989362955093384;41,81773216974787;186068,0;735637,0;1252120,0;2173825,0
Instance-20-10-22-8;1;1;	;294,0;294,0;-1;30;8,19403624534607;2,8347859382629395;34,59572124632717;209504,0;851814,0;1457001,0;2518319,0;	;294,0;294,0;-1;32;17,166686534881592;6,710514307022095;39,090329361969566;231590,0;957308,0;1640197,0;2829095,0
Instance-20-10-22-9;1;1;	;284,0;284,0;-1;33;10,484106302261353;2,522785186767578;24,062949325718204;172327,0;673832,0;1146655,0;1992814,0;	;284,0;284,0;-1;41;30,412123918533325;6,272555351257324;20,625180168474824;259895,0;1090572,0;1870273,0;3220740,0
Instance-20-10-24-0;1;1;	;279,0;279,0;-1;20;3,8534207344055176;1,7211213111877441;44,66476488852101;131712,0;483057,0;820512,0;1435281,0;	;279,0;279,0;-1;20;3,8534207344055176;1,7211213111877441;44,66476488852101;131712,0;483057,0;820512,0;1435281,0
