Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;
;20;20;20;0;0;1;259,4814;253;1;1;11;0;25;
;20;20;20;0;1;1;13,3498;293;7;13;22;1;29;
;20;20;20;0;2;1;32,4071999999999;257;24;49;48;1;32;
;20;20;20;0;3;1;5,96870000000013;285;3;3;14;0;28;
;20;20;20;0;4;1;2,62599999999998;264;1;1;12;0;27;
;20;20;20;0;5;1;3,18219999999997;279;1;1;13;0;27;
;20;20;20;0;6;1;1,94620000000032;172;1;1;9;0;19;
;20;20;20;0;7;1;4,20470000000023;271;1;1;13;0;28;
;20;20;20;0;8;1;5,82680000000028;366;1;1;11;0;33;
;20;20;20;0;9;1;2,91689999999971;306;1;1;12;0;30;
;20;20;20;20;0;1;1,04629999999997;226;1;1;5;0;25;
;20;20;20;20;1;1;22,1193999999996;291;16;22;35;6;26;
;20;20;20;20;2;1;6,01350000000002;297;4;6;16;1;32;
;20;20;20;20;3;1;67,6179999999999;304;35;64;51;5;25;
;20;20;20;20;4;1;1,64170000000013;234;1;1;9;0;23;
;20;20;20;20;5;1;3,51710000000003;258;1;1;7;0;26;
;20;20;20;20;6;1;3,12049999999999;263;1;1;11;0;23;
;20;20;20;20;7;1;118,7209;265;80;154;119;3;24;
;20;20;20;20;8;1;10,7037;292;7;7;17;6;26;
;20;20;20;20;9;1;16,1959000000006;245;5;5;13;2;28;
;20;20;20;40;0;1;42,6441000000004;266;20;36;34;6;24;
;20;20;20;40;1;1;3,99449999999979;247;2;3;8;1;21;
;20;20;20;40;2;1;162,442;260;98;194;146;1;24;
;20;20;20;40;3;1;612,187300000001;281;210;380;381;5;25;
;20;20;20;40;4;1;10,6994999999997;282;6;11;21;1;26;
;20;20;20;40;5;1;76,8483999999989;248;45;72;92;3;25;
;20;20;20;40;6;1;39,8476999999984;291;12;17;30;4;31;
;20;20;20;40;7;1;3,64090000000033;301;1;1;12;0;30;
;20;20;20;40;8;1;4,4320000000007;269;1;1;13;0;23;
;20;20;20;40;9;1;4,82240000000093;266;3;3;12;2;24;
;20;20;20;60;0;1;14,8336999999992;297;10;19;28;3;26;
;20;20;20;60;1;1;7,44019999999909;289;5;8;20;2;22;
;20;20;20;60;2;1;20,3552;295;21;35;39;5;28;
;20;20;20;60;3;1;2,34140000000116;238;1;1;9;0;30;
;20;20;20;60;4;1;914,5591;252;314;541;463;7;28;
;20;20;20;60;5;1;36,5031999999992;348;17;20;34;5;37;
;20;20;20;60;6;1;3,70050000000083;243;3;4;8;2;24;
;20;20;20;60;7;1;10,271200000001;247;10;19;29;4;24;
;20;20;20;60;8;1;373,965700000001;304;48;59;63;12;35;
;20;20;20;60;9;1;2,12780000000021;274;1;1;11;0;27;
;20;20;20;80;0;0;300003,3508;-2;111;163;168;16;-1;
;20;20;20;80;1;1;55,5115000000224;328;19;36;46;4;30;
;20;20;20;80;2;1;403,06329999998;257;230;369;333;8;25;
;20;20;20;80;3;1;64,080100000021;335;24;39;44;6;31;
;20;20;20;80;4;1;6,3631999999634;254;6;9;17;5;24;
;20;20;20;80;5;1;8,39970000000903;319;1;1;14;0;35;
;20;20;20;80;6;1;2432,13620000001;345;273;465;363;11;31;
;20;20;20;80;7;1;11,5067000000272;278;8;12;21;3;26;
;20;20;20;80;8;0;300001,3632;-2;329;582;461;15;-1;
;20;20;20;80;9;1;233259,5504;329;506;883;724;23;33;
;20;20;20;100;0;1;13,4359000000404;242;7;9;20;6;25;
;20;20;20;100;1;1;367,995499999961;383;81;123;124;10;37;
;20;20;20;100;2;1;28756,4809;280;542;955;744;14;29;
;20;20;20;100;3;1;1551,05379999999;384;336;527;516;15;36;
;20;20;20;100;4;0;300006,0849;-2;476;848;632;14;-1;
;20;20;20;100;5;0;300001,7989;-2;487;881;685;11;-1;
;20;20;20;100;6;1;39,2435000000987;271;36;67;79;6;24;
;20;20;20;100;7;0;300001,8335;-2;590;1133;1031;20;-1;
;20;20;20;100;8;0;300002,392;-2;698;1323;1136;21;-1;
;20;20;20;100;9;0;300025,5067;-2;687;1048;821;10;-1;
;20;20;20;120;0;0;300002,3558;-2;386;750;556;17;-1;
;20;20;20;120;1;0;300006,9761;-2;510;1011;836;19;-1;
;20;20;20;120;2;0;300008,3741;-2;779;1444;1228;18;-1;
;20;20;20;120;3;0;300004,8333;-2;602;1111;805;14;-1;
;20;20;20;120;4;1;17259,0519000003;353;249;403;360;20;34;
;20;20;20;120;5;0;300004,471;-2;794;1513;1273;13;-1;
;20;20;20;120;6;0;300005,4438;-2;634;1077;953;45;-1;
;20;20;20;120;7;0;300002,487699999;-2;807;1543;1189;16;-1;
;20;20;20;120;8;0;300039,7929;-2;800;1591;1435;17;-1;
;20;20;20;120;9;0;300001,4471;-2;593;1153;1141;24;-1;
;20;20;20;140;0;0;300001,985599999;-2;771;1525;1355;34;-1;
;20;20;20;140;1;0;300007,1369;-2;731;1233;1094;51;-1;
;20;20;20;140;2;0;300002,726600001;-2;501;950;886;22;-1;
;20;20;20;140;3;0;300001,197500001;-2;716;1381;1274;16;-1;
;20;20;20;140;4;0;300006,859900001;-2;708;1404;1298;32;-1;
;20;20;20;140;5;0;300005,2841;-2;498;988;960;17;-1;
;20;20;20;140;6;0;300002,2148;-2;1090;2169;1953;35;-1;
;20;20;20;140;7;0;300005,0681;-2;739;1464;1300;24;-1;
;20;20;20;140;8;0;300002,1335;-2;712;1360;1319;19;-1;
;20;20;20;140;9;0;300001,8522;-2;674;1340;1002;25;-1;
;20;20;20;160;0;0;300005,557;-2;983;1936;1780;37;-1;
;20;20;20;160;1;0;300003,021;-2;552;1093;973;17;-1;
;20;20;20;160;2;0;300001,971199999;-2;691;1357;1185;43;-1;
;20;20;20;160;3;0;300004,409500001;-1;752;1493;1241;-1;-1;
;20;20;20;160;4;0;300014,1259;-2;874;1685;1591;29;-1;
;20;20;20;160;5;0;300008,622;-1;702;1315;1250;-1;-1;
;20;20;20;160;6;0;300002,792499999;-2;845;1672;1461;28;-1;
;20;20;20;160;7;0;300002,050900001;-2;770;1527;1394;35;-1;
;20;20;20;160;8;0;300002,0353;-2;794;1560;1228;27;-1;
;20;20;20;160;9;0;300004,5875;-2;792;1496;1351;26;-1;
;20;20;20;180;0;0;300002,25;-2;1019;1955;1821;26;-1;
;20;20;20;180;1;0;300001,975099999;-2;689;1357;1302;30;-1;
;20;20;20;180;2;0;300002,7151;-2;745;1477;1330;25;-1;
;20;20;20;180;3;0;300002,572699999;-2;1013;1970;1616;21;-1;
;20;20;20;180;4;0;300004,665200001;-2;779;1539;1322;31;-1;
;20;20;20;180;5;0;300002,214500001;-2;587;1166;1098;29;-1;
;20;20;20;180;6;0;300007,455600001;-2;1145;2174;1791;37;-1;
;20;20;20;180;7;0;300008,1603;-2;668;1290;1277;26;-1;
;20;20;20;180;8;0;300004,5878;-2;692;1359;1178;25;-1;
;20;20;20;180;9;0;300002,223299999;-2;430;784;760;25;-1;
;20;20;20;200;0;0;300007,051099999;-2;851;1678;1501;31;-1;
