sep=;
instance;solved;makespan;cost;wall_time;cpu_time
Instance-0-0.mpf; 1; 0; 253; 0,013; 0,010
Instance-0-1.mpf; 1; 0; 294; 0,282; 0,280
Instance-0-2.mpf; 1; 0; 256; 0,447; 0,450
Instance-0-3.mpf; 1; 0; 285; 0,010; 0,010
Instance-0-4.mpf; 1; 0; 264; 0,034; 0,030
Instance-0-5.mpf; 1; 0; 279; 0,048; 0,040
Instance-0-6.mpf; 1; 0; 172; 0,008; 0,000
Instance-0-7.mpf; 1; 0; 271; 0,196; 0,170
Instance-0-8.mpf; 1; 0; 366; 0,067; 0,050
Instance-0-9.mpf; 1; 0; 306; 0,071; 0,060
Instance-5-0.mpf; 1; 0; 226; 0,076; 0,070
Instance-5-1.mpf; 1; 0; 291; 1,819; 1,740
Instance-5-2.mpf; 1; 0; 296; 0,068; 0,060
Instance-5-3.mpf; 1; 0; 307; 4,824; 4,040
Instance-5-4.mpf; 1; 0; 236; 0,078; 0,050
Instance-5-5.mpf; 1; 0; 258; 0,064; 0,040
Instance-5-6.mpf; 1; 0; 263; 0,076; 0,070
Instance-5-7.mpf; 1; 0; 264; 0,767; 0,740
Instance-5-8.mpf; 1; 0; 292; 0,738; 0,640
Instance-5-9.mpf; 1; 0; 247; 0,508; 0,420
Instance-10-0.mpf; 1; 0; 266; 1,578; 1,420
Instance-10-1.mpf; 1; 0; 248; 0,086; 0,070
Instance-10-2.mpf; 1; 0; 261; 0,077; 0,080
Instance-10-3.mpf; 1; 0; 282; 4,873; 4,490
Instance-10-4.mpf; 1; 0; 283; 0,127; 0,110
Instance-10-5.mpf; 1; 0; 247; 1,000; 0,960
Instance-10-6.mpf; 1; 0; 291; 0,302; 0,280
Instance-10-7.mpf; 1; 0; 301; 0,015; 0,000
Instance-10-8.mpf; 1; 0; 269; 0,029; 0,030
Instance-10-9.mpf; 1; 0; 266; 0,146; 0,140
Instance-15-0.mpf; 1; 0; 298; 0,527; 0,530
Instance-15-1.mpf; 1; 0; 289; 0,761; 0,720
Instance-15-2.mpf; 1; 0; 298; 3,014; 2,750
Instance-15-3.mpf; 1; 0; 238; 0,019; 0,010
Instance-15-4.mpf; 1; 0; 253; 5,808; 5,240
Instance-15-5.mpf; 1; 0; 349; 0,487; 0,440
Instance-15-6.mpf; 1; 0; 243; 0,073; 0,060
Instance-15-7.mpf; 1; 0; 251; 2,387; 2,140
Instance-15-8.mpf; 1; 0; 304; 6,894; 6,520
