sep=;
instance;solved;makespan;cost;wall_time;cpu_time
Instance-0-0.cpf; 1; 24; 253; 0,116; 0,080
Instance-0-1.cpf; 1; 28; 296; 2,571; 2,550
Instance-0-2.cpf; 1; 32; 259; 4,001; 3,980
Instance-0-3.cpf; 1; 27; 285; 0,087; 0,070
Instance-0-4.cpf; 1; 26; 265; 0,202; 0,200
Instance-0-5.cpf; 1; 26; 280; 0,213; 0,210
Instance-0-6.cpf; 1; 18; 172; 0,046; 0,040
Instance-0-7.cpf; 1; 27; 274; 1,275; 1,240
Instance-0-8.cpf; 1; 32; 367; 0,389; 0,390
Instance-0-9.cpf; 1; 29; 307; 0,264; 0,260
Instance-5-0.cpf; 1; 24; 229; 0,701; 0,670
Instance-5-1.cpf; 1; 25; 295; 24,763; 24,580
Instance-5-2.cpf; 1; 31; 298; 0,507; 0,500
Instance-5-3.cpf; 1; 24; 310; 38,552; 38,340
Instance-5-4.cpf; 1; 22; 237; 0,587; 0,570
Instance-5-5.cpf; 1; 25; 260; 0,403; 0,400
Instance-5-6.cpf; 1; 22; 265; 0,466; 0,450
Instance-5-7.cpf; 1; 23; 267; 3,308; 3,280
Instance-5-8.cpf; 1; 25; 293; 8,121; 8,120
Instance-5-9.cpf; 1; 27; 249; 5,042; 5,020
Instance-10-0.cpf; 1; 23; 269; 12,546; 12,500
Instance-10-1.cpf; 1; 20; 249; 0,560; 0,560
Instance-10-2.cpf; 1; 23; 261; 0,376; 0,360
Instance-10-3.cpf; 1; 25; 285; 43,808; 41,740
Instance-10-4.cpf; 1; 25; 284; 0,890; 0,880
Instance-10-5.cpf; 1; 24; 253; 10,660; 10,350
Instance-10-6.cpf; 1; 30; 292; 3,039; 2,940
Instance-10-7.cpf; 1; 29; 301; 0,084; 0,070
Instance-10-8.cpf; 1; 22; 270; 0,139; 0,130
Instance-10-9.cpf; 1; 23; 268; 1,169; 1,150
Instance-15-0.cpf; 1; 25; 300; 5,225; 5,010
Instance-15-1.cpf; 1; 21; 294; 7,602; 7,460
Instance-15-2.cpf; 1; 27; 301; 37,224; 33,070
Instance-15-3.cpf; 1; 29; 239; 0,136; 0,140
Instance-15-4.cpf; 1; 27; 256; 52,037; 45,710
Instance-15-5.cpf; 1; 37; 349; 6,491; 5,790
Instance-15-6.cpf; 1; 23; 244; 0,721; 0,440
Instance-15-7.cpf; 1; 23; 253; 26,626; 22,100
Instance-15-8.cpf; 1; 35; 307; 108,357; 87,080
Instance-15-9.cpf; 1; 26; 277; 0,588; 0,550
Instance-20-0.cpf; 0; 0; 0; 341,711; 327,150
Instance-20-1.cpf; 1; 29; 332; 14,254; 13,790
Instance-20-2.cpf; 1; 24; 265; 116,729; 112,930
Instance-20-3.cpf; 1; 32; 341; 67,892; 65,530
Instance-20-4.cpf; 1; 23; 257; 6,005; 5,660
Instance-20-5.cpf; 1; 35; 321; 0,373; 0,310
Instance-20-6.cpf; 0; 0; 0; 335,545; 325,290
Instance-20-7.cpf; 1; 25; 284; 12,972; 12,300
Instance-20-8.cpf; 0; 0; 0; 352,571; 343,680
Instance-20-9.cpf; 0; 0; 0; 326,807; 318,390
Instance-25-0.cpf; 1; 24; 244; 4,428; 4,330
Instance-25-1.cpf; 1; 38; 393; 158,743; 154,970
Instance-25-2.cpf; 0; 0; 0; 321,079; 305,660
Instance-25-3.cpf; 0; 36; 390; 394,694; 350,730
Instance-25-4.cpf; 0; 0; 0; 327,147; 304,710
Instance-25-5.cpf; 1; 29; 307; 189,351; 178,930
Instance-25-6.cpf; 1; 23; 278; 32,130; 29,930
Instance-25-7.cpf; 0; 0; 0; 346,170; 324,290
Instance-25-8.cpf; 0; 0; 0; 346,310; 329,290
Instance-25-9.cpf; 0; 39; 366; 310,917; 306,470
Instance-30-0.cpf; 0; 0; 0; 326,014; 320,240
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
Instance-30-1.cpf; 0; 0; 0; 341,959; 335,760
Instance-30-2.cpf; 0; 0; 0; 327,017; 319,430
