sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Instance-8-45-10-0;1;0;	;-49,0;151,0;-1;78;0,7567505836486816;0,04998373985290527;6,605048074348102;8177,0;14647,0;21792,0;44616,0;	
Instance-8-45-10-1;1;1;	;-21,0;109,0;-1;62;0,48734593391418457;0,02899026870727539;5,948601740541085;4797,0;7351,0;11069,0;23217,0;	;-525,0;95,0;-1;97;135,2458438873291;0,5288248062133789;0,391010023682453;36979,0;106806,0;167097,0;310882,0
Instance-8-45-10-2;1;1;	;-35,0;95,0;-1;56;0,3168959617614746;0,07997417449951172;25,236728816288206;5158,0;8442,0;12706,0;26306,0;	;-466,0;94,0;-1;98;103,15178847312927;0,4548509120941162;0,4409530060766746;32980,0;93825,0;145573,0;272378,0
Instance-8-45-10-3;1;1;	;-28,0;102,0;-1;37;0,12395930290222168;0,02799081802368164;22,580651365682996;4771,0;6682,0;9862,0;21315,0;	;-269,0;101,0;-1;60;2,2402634620666504;0,2449197769165039;10,932632748943046;19850,0;51883,0;79324,0;151057,0
Instance-8-45-10-4;1;1;	;-32,0;118,0;-1;59;0,1999340057373047;0,07097816467285156;35,50079658090304;6002,0;9993,0;14809,0;30804,0;	;-472,0;118,0;-1;103;3,9352166652679443;0,44685792922973633;11,355357715718311;34603,0;98136,0;151052,0;283791,0
Instance-8-45-10-5;1;0;	;-57,0;163,0;-1;100;53,80491018295288;0,13095664978027344;0,24339163346798914;9253,0;17977,0;26998,0;54228,0;	
Instance-8-45-10-6;1;0;	;-27,0;123,0;-1;61;1,7209408283233643;0,1379537582397461;8,016182542089393;6014,0;10195,0;15070,0;31279,0;	
Instance-8-45-10-7;1;1;	;-69,0;141,0;-1;85;0,37587618827819824;0,06497907638549805;17,28736174620482;8896,0;16984,0;25288,0;51168,0;	;-714,0;136,0;-1;144;86,63638234138489;0,7157642841339111;0,8261705588230701;50793,0;146431,0;226793,0;424017,0
Instance-8-45-10-8;1;1;	;-53,0;77,0;-1;39;0,1029660701751709;0,032988786697387695;32,03850223793679;5095,0;8062,0;12074,0;25231,0;	;-313,0;77,0;-1;65;2,4332003593444824;0,2569160461425781;10,558770680594208;21602,0;57908,0;88777,0;168287,0
Instance-8-45-10-9;1;0;	;-18,0;172,0;-1;115;3,956697702407837;0,2059311866760254;5,204622697122061;7883,0;14490,0;21568,0;43941,0;	
Instance-8-50-10-0;1;0;	;-75,0;205,0;-1;147;34,24599647521973;0,8572216033935547;2,5031293921140154;11708,0;23730,0;35479,0;70917,0;	
Instance-8-50-10-1;1;1;	;-68,0;82,0;-1;52;0,20693206787109375;0,0659785270690918;31,88414813995502;5739,0;8966,0;13282,0;27987,0;	;-438,0;82,0;-1;89;20,679704189300537;0,36787915229797363;1,7789381749875826;26715,0;69627,0;105909,0;202251,0
Instance-8-50-10-2;1;0;	;-27,0;133,0;-1;81;0,9426898956298828;0,17394518852233887;18,452005195845754;6315,0;11039,0;16335,0;33689,0;	
Instance-8-50-10-3;1;0;	;-67,0;103,0;-1;58;0,23192310333251953;0,05098223686218262;21,982388183676072;6660,0;12183,0;18385,0;37228,0;	
Instance-8-50-10-4;1;1;	;-50,0;80,0;-1;38;0,10996508598327637;0,02998948097229004;27,271820600268416;4947,0;7751,0;11520,0;24218,0;	;-300,0;80,0;-1;63;2,3702621459960938;0,22792339324951172;9,615957189989539;19443,0;50925,0;78097,0;148465,0
Instance-8-50-10-5;1;0;	;-25,0;125,0;-1;73;0,6377904415130615;0,09299135208129883;14,580236082041445;5551,0;9094,0;13608,0;28253,0;	
Instance-8-50-10-6;1;0;	;-27,0;163,0;-1;81;4,641473293304443;0,20693302154541016;4,458347780303322;7437,0;13489,0;20155,0;41081,0;	
Instance-8-50-10-7;1;1;	;-46,0;114,0;-1;64;0,339888334274292;0,04198646545410156;12,353017511986224;6240,0;11321,0;17042,0;34603,0;	;-545,0;95,0;-1;93;52,688666343688965;0,43585753440856934;0,8272320494230468;34902,0;98254,0;152500,0;285656,0
Instance-8-50-10-8;1;0;	;-43,0;147,0;-1;107;4,307091474533081;0,23592329025268555;5,47755467111971;7541,0;13950,0;20808,0;42299,0;	
Instance-8-50-10-9;1;1;	;-38,0;82,0;-1;54;0,24991774559020996;0,06497812271118164;25,999803478431758;4500,0;6831,0;10222,0;21553,0;	;-462,0;78,0;-1;92;118,58653974533081;0,38187432289123535;0,322021642347711;28865,0;78944,0;120976,0;228785,0
Instance-8-55-10-0;1;1;	;-39,0;141,0;-1;77;2,378217935562134;0,12995624542236328;5,4644380348450206;6752,0;12375,0;18688,0;37815,0;	;-629,0;141,0;-1;136;261,2274692058563;0,579808235168457;0,2219553085022418;39418,0;109899,0;171247,0;320564,0
Instance-8-55-10-1;1;0;	;-63,0;117,0;-1;82;2,052830934524536;0,1299571990966797;6,3306333176813485;6774,0;11981,0;17861,0;36616,0;	
Instance-8-55-10-2;1;0;	;-59,0;111,0;-1;72;58,72108006477356;0,21293067932128906;0,36261369696608314;6468,0;11508,0;17156,0;35132,0;	
Instance-8-55-10-3;0;0
