sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Instance-8-10-4-0;1;1;	;-9,0;11,0;-1;5;0,027273178100585938;0,014120340347290039;51,77372543534513;919,0;372,0;1057,0;2348,0;	;-9,0;11,0;-1;5;0,027273178100585938;0,014120340347290039;51,77372543534513;919,0;372,0;1057,0;2348,0
Instance-8-10-4-1;1;1;	;-15,0;29,0;-1;11;0,028655052185058594;0,011482000350952148;40,069724098911706;1615,0;2666,0;3642,0;7923,0;	;-15,0;29,0;-1;11;0,028655052185058594;0,011482000350952148;40,069724098911706;1615,0;2666,0;3642,0;7923,0
Instance-8-10-4-2;1;1;	;-11,0;21,0;-1;8;0,06560206413269043;0,006989240646362305;10,65399502098817;1182,0;933,0;1692,0;3807,0;	;-11,0;21,0;-1;8;0,06560206413269043;0,006989240646362305;10,65399502098817;1182,0;933,0;1692,0;3807,0
Instance-8-10-4-3;1;1;	;-8,0;12,0;-1;5;0,011481046676635742;0,004992485046386719;43,48458104039041;903,0;304,0;978,0;2185,0;	;-8,0;12,0;-1;5;0,011481046676635742;0,004992485046386719;43,48458104039041;903,0;304,0;978,0;2185,0
Instance-8-10-4-4;1;1;	;-13,0;15,0;-1;7;0,014476776123046875;0,006988525390625;48,27404479578393;1123,0;932,0;1684,0;3739,0;	;-13,0;15,0;-1;7;0,014476776123046875;0,006988525390625;48,27404479578393;1123,0;932,0;1684,0;3739,0
Instance-8-10-4-5;1;1;	;-14,0;10,0;-1;6;0,01347804069519043;0,00648951530456543;48,148803311457435;1045,0;762,0;1502,0;3309,0;	;-14,0;10,0;-1;6;0,01347804069519043;0,00648951530456543;48,148803311457435;1045,0;762,0;1502,0;3309,0
Instance-8-10-4-6;1;1;	;-20,0;28,0;-1;12;0,02396106719970703;0,01248025894165039;52,08557213930348;1751,0;2984,0;3981,0;8716,0;	;-20,0;28,0;-1;12;0,02396106719970703;0,01248025894165039;52,08557213930348;1751,0;2984,0;3981,0;8716,0
Instance-8-10-4-7;1;1;	;-11,0;13,0;-1;6;0,013478755950927734;0,00648951530456543;48,14624827537411;1013,0;600,0;1312,0;2925,0;	;-11,0;13,0;-1;6;0,013478755950927734;0,00648951530456543;48,14624827537411;1013,0;600,0;1312,0;2925,0
Instance-8-10-4-8;1;1;	;-16,0;24,0;-1;10;0,019968509674072266;0,010483741760253906;52,50137306874896;1454,0;1845,0;2704,0;6003,0;	;-16,0;24,0;-1;10;0,019968509674072266;0,010483741760253906;52,50137306874896;1454,0;1845,0;2704,0;6003,0
Instance-8-10-4-9;1;1;	;-13,0;27,0;-1;10;0,017970800399780273;0,008985757827758789;50,00199004975124;1393,0;1646,0;2506,0;5545,0;	;-13,0;27,0;-1;10;0,017970800399780273;0,008985757827758789;50,00199004975124;1393,0;1646,0;2506,0;5545,0
