sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Instance-8-10-4-0;1;1;	;-9,0;11,0;-1;5;0,02046656608581543;0,011980772018432617;58,53826171033165;1716,0;2529,0;4164,0;8409,0;	;-9,0;11,0;-1;5;0,02046656608581543;0,011980772018432617;58,53826171033165;1716,0;2529,0;4164,0;8409,0
Instance-8-10-4-1;1;1;	;-15,0;29,0;-1;11;0,06439614295959473;0,037439823150634766;58,13985346005324;5400,0;12340,0;19441,0;37181,0;	;-15,0;29,0;-1;11;0,06439614295959473;0,037439823150634766;58,13985346005324;5400,0;12340,0;19441,0;37181,0
Instance-8-10-4-2;1;1;	;-11,0;21,0;-1;8;0,03544330596923828;0,022463321685791016;63,37817839364994;3294,0;6530,0;10274,0;20098,0;	;-11,0;21,0;-1;8;0,03544330596923828;0,022463321685791016;63,37817839364994;3294,0;6530,0;10274,0;20098,0
Instance-8-10-4-3;1;1;	;-8,0;12,0;-1;5;0,017471790313720703;0,010982751846313477;62,859911028629135;1706,0;2407,0;3922,0;8035,0;	;-8,0;12,0;-1;5;0,017471790313720703;0,010982751846313477;62,859911028629135;1706,0;2407,0;3922,0;8035,0
Instance-8-10-4-4;1;1;	;-13,0;15,0;-1;7;0,028454065322875977;0,0174713134765625;61,401818257991536;2710,0;4939,0;7886,0;15535,0;	;-13,0;15,0;-1;7;0,028454065322875977;0,0174713134765625;61,401818257991536;2710,0;4939,0;7886,0;15535,0
Instance-8-10-4-5;1;1;	;-14,0;10,0;-1;6;0,025957822799682617;0,01647329330444336;63,4617680826636;2485,0;4403,0;6907,0;13795,0;	;-14,0;10,0;-1;6;0,025957822799682617;0,01647329330444336;63,4617680826636;2485,0;4403,0;6907,0;13795,0
Instance-8-10-4-6;1;1;	;-20,0;28,0;-1;12;0,06888842582702637;0,04293060302734375;62,31903619795182;5749,0;13185,0;20655,0;39589,0;	;-20,0;28,0;-1;12;0,06888842582702637;0,04293060302734375;62,31903619795182;5749,0;13185,0;20655,0;39589,0
Instance-8-10-4-7;1;1;	;-11,0;13,0;-1;6;0,021964550018310547;0,012979269027709961;59,0918958817272;1968,0;3191,0;5260,0;10419,0;	;-11,0;13,0;-1;6;0,021964550018310547;0,012979269027709961;59,0918958817272;1968,0;3191,0;5260,0;10419,0
Instance-8-10-4-8;1;1;	;-16,0;24,0;-1;10;0,05141735076904297;0,0314483642578125;61,16294166743948;4730,0;10253,0;15900,0;30883,0;	;-16,0;24,0;-1;10;0,05141735076904297;0,0314483642578125;61,16294166743948;4730,0;10253,0;15900,0;30883,0
Instance-8-10-4-9;1;1;	;-13,0;27,0;-1;10;0,05391335487365723;0,03194832801818848;59,25865324659818;4691,0;10791,0;17267,0;32749,0;	;-13,0;27,0;-1;10;0,05391335487365723;0,03194832801818848;59,25865324659818;4691,0;10791,0;17267,0;32749,0
