sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Instance-8-10-4-0;1;1;	;-9,0;11,0;-1;5;0,02199268341064453;0,011996269226074219;54,546637179653956;1720,0;2066,0;3611,0;7397,0;	;-9,0;11,0;-1;5;0,02199268341064453;0,011996269226074219;54,546637179653956;1720,0;2066,0;3611,0;7397,0
Instance-8-10-4-1;1;1;	;-15,0;29,0;-1;11;0,06497859954833984;0,0349886417388916;53,846407866735156;5059,0;11127,0;17678,0;33864,0;	;-15,0;29,0;-1;11;0,06497859954833984;0,0349886417388916;53,846407866735156;5059,0;11127,0;17678,0;33864,0
Instance-8-10-4-2;1;1;	;-11,0;21,0;-1;8;0,0369875431060791;0,019993305206298828;54,05415858241426;3259,0;5947,0;9476,0;18682,0;	;-11,0;21,0;-1;8;0,0369875431060791;0,019993305206298828;54,05415858241426;3259,0;5947,0;9476,0;18682,0
Instance-8-10-4-3;1;1;	;-8,0;12,0;-1;5;0,018993616104125977;0,009996652603149414;52,63164501349401;1738,0;2018,0;3448,0;7204,0;	;-8,0;12,0;-1;5;0,018993616104125977;0,009996652603149414;52,63164501349401;1738,0;2018,0;3448,0;7204,0
Instance-8-10-4-4;1;1;	;-13,0;15,0;-1;7;0,028989791870117188;0,015994548797607422;55,17303769984867;2598,0;4129,0;6775,0;13502,0;	;-13,0;15,0;-1;7;0,028989791870117188;0,015994548797607422;55,17303769984867;2598,0;4129,0;6775,0;13502,0
Instance-8-10-4-5;1;1;	;-14,0;10,0;-1;6;0,026990890502929688;0,014994621276855469;55,55437778248887;2344,0;3581,0;5941,0;11866,0;	;-14,0;10,0;-1;6;0,026990890502929688;0,014994621276855469;55,55437778248887;2344,0;3581,0;5941,0;11866,0
Instance-8-10-4-6;1;1;	;-20,0;28,0;-1;12;0,0679774284362793;0,03998708724975586;58,82406582537756;5451,0;11890,0;18680,0;36021,0;	;-20,0;28,0;-1;12;0,0679774284362793;0,03998708724975586;58,82406582537756;5451,0;11890,0;18680,0;36021,0
Instance-8-10-4-7;1;1;	;-11,0;13,0;-1;6;0,022992372512817383;0,012995481491088867;56,52083743791283;2028,0;2807,0;4814,0;9649,0;	;-11,0;13,0;-1;6;0,022992372512817383;0,012995481491088867;56,52083743791283;2028,0;2807,0;4814,0;9649,0
Instance-8-10-4-8;1;1;	;-16,0;24,0;-1;10;0,05298304557800293;0,029990434646606445;56,60383301759012;4565,0;9388,0;14738,0;28691,0;	;-16,0;24,0;-1;10;0,05298304557800293;0,029990434646606445;56,60383301759012;4565,0;9388,0;14738,0;28691,0
Instance-8-10-4-9;1;1;	;-13,0;27,0;-1;10;0,05498147010803223;0,030989408493041992;56,36336829872208;4391,0;9348,0;14954,0;28693,0;	;-13,0;27,0;-1;10;0,05498147010803223;0,030989408493041992;56,36336829872208;4391,0;9348,0;14954,0;28693,0
Instance-8-10-5-0;1;1;	;-15,0;35,0;-1;12;0,06297969818115234;0,03398895263671875;53,968109753327575;4796,0;9787,0;15579,0;30162,0;	;-25,0;35,0;-1;12;0,14695167541503906;0,07797408103942871;53,06103575832306;6256,0;14128,0;22561,0;42945,0
Instance-8-10-5-1;1;1;	;-14,0;41,0;-1;11;0,0699770450592041;0,037987709045410156;54,2859576497845;5315,0;11610,0;18842,0;35767,0;	;-14,0;41,0;-1;11;0,0699770450592041;0,037987709045410156;54,2859576497845;5315,0;11610,0;18842,0;35767,0
Instance-8-10-5-2;1;1;	;-6,0;24,0;-1;6;0,02699112892150879;0,013994932174682617;51,85011792348665;2471,0;3472,0;5657,0;11600,0;	;-6,0;24,0;-1;6;0,02699112892150879;0,013994932174682617;51,85011792348665;2471,0;3472,0;5657,0;11600,0
Instance-8-10-5-3;1;1;	;-22,0;23,0;-1;9;0,05498194694519043;0,02998971939086914;54,54466612607378;4530,0;9035,0;14470,0;28035,0;	;-22,0;23,0;-1;9;0,05498194694519043;0,02998971939086914;54,54466612607378;4530,0;9035,0;14470,0;28035,0
Instance-8-10-5-4;1;1;	;-21,0;29,0;-1;10;0,06697821617126465;0,03598833084106445;53,73139641259117;5153,0;11287,0;18284,0;34724,0;	;-21,0;29,0;-1;10;0,06697821617126465;0,03598833084106445;53,73139641259117;5153,0;11287,0;18284,0;34724,0
Instance-8-10-5-5;1;1;	;-19,0;31,0;-1;10;0,06697702407836914;0,037987709045410156;56,717523013505534;5139,0;10728,0;17116,0;32983,0;	;-19,0;31,0;-1;10;0,06697702407836914;0,037987709045410156;56,717523013505534;5139,0;10728,0;17116,0;32983,0
Instance-8-10-5-6;1;1;	;-19,0;36,0;-1;12;0,07697486877441406;0,040986061096191406;53,246029189483856;5558,0;12182,0;19606,0;37346,0;	;-24,0;36,0;-1;12;0,1629467010498047;0,08597111701965332;52,76026852079456;6223,0;14232,0;22922,0;43377,0
