sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Instance-8-10-4-0;1;1;	;-9,0;11,0;-1;5;0,016993999481201172;0,007997274398803711;47,05940121776705;1255,0;920,0;1790,0;3965,0;	;-9,0;11,0;-1;5;0,016993999481201172;0,007997274398803711;47,05940121776705;1255,0;920,0;1790,0;3965,0
Instance-8-10-4-1;1;1;	;-15,0;29,0;-1;11;0,03398847579956055;0,018993854522705078;55,88321946155249;3250,0;5390,0;7827,0;16467,0;	;-15,0;29,0;-1;11;0,03398847579956055;0,018993854522705078;55,88321946155249;3250,0;5390,0;7827,0;16467,0
Instance-8-10-4-2;1;1;	;-11,0;21,0;-1;8;0,020992755889892578;0,011995553970336914;57,14139693356047;2042,0;2459,0;3778,0;8279,0;	;-11,0;21,0;-1;8;0,020992755889892578;0,011995553970336914;57,14139693356047;2042,0;2459,0;3778,0;8279,0
Instance-8-10-4-3;1;1;	;-8,0;12,0;-1;5;0,014995574951171875;0,006997108459472656;46,661154922411605;1220,0;746,0;1569,0;3535,0;	;-8,0;12,0;-1;5;0,014995574951171875;0,006997108459472656;46,661154922411605;1220,0;746,0;1569,0;3535,0
Instance-8-10-4-4;1;1;	;-13,0;15,0;-1;7;0,018993854522705078;0,009996414184570312;52,629729119072124;1808,0;2088,0;3349,0;7245,0;	;-13,0;15,0;-1;7;0,018993854522705078;0,009996414184570312;52,629729119072124;1808,0;2088,0;3349,0;7245,0
Instance-8-10-4-5;1;1;	;-14,0;10,0;-1;6;0,017994165420532227;0,008997201919555664;50,00066248857207;1557,0;1645,0;2756,0;5958,0;	;-14,0;10,0;-1;6;0,017994165420532227;0,008997201919555664;50,00066248857207;1557,0;1645,0;2756,0;5958,0
Instance-8-10-4-6;1;1;	;-20,0;28,0;-1;12;0,0369877815246582;0,021993160247802734;59,46060926401011;3729,0;6253,0;8958,0;18940,0;	;-20,0;28,0;-1;12;0,0369877815246582;0,021993160247802734;59,46060926401011;3729,0;6253,0;8958,0;18940,0
Instance-8-10-4-7;1;1;	;-11,0;13,0;-1;6;0,016994237899780273;0,007997751235961914;47,06154687916497;1500,0;1444,0;2471,0;5415,0;	;-11,0;13,0;-1;6;0,016994237899780273;0,007997751235961914;47,06154687916497;1500,0;1444,0;2471,0;5415,0
Instance-8-10-4-8;1;1;	;-16,0;24,0;-1;10;0,028990745544433594;0,015994787216186523;55,172045133063584;2888,0;4340,0;6316,0;13544,0;	;-16,0;24,0;-1;10;0,028990745544433594;0,015994787216186523;55,172045133063584;2888,0;4340,0;6316,0;13544,0
Instance-8-10-4-9;1;1;	;-13,0;27,0;-1;10;0,025991439819335938;0,013994932174682617;53,84438981433918;2538,0;3575,0;5343,0;11456,0;	;-13,0;27,0;-1;10;0,025991439819335938;0,013994932174682617;53,84438981433918;2538,0;3575,0;5343,0;11456,0
