sep=;
instance;solved;makespan;cost;wall_time;cpu_time
Instance-8-10-4-0.cpf;1;5;11;0,099;0,010
Instance-8-10-4-1.cpf;1;11;29;0,005;0,000
Instance-8-10-4-2.cpf;1;8;21;0,005;0,000
Instance-8-10-4-3.cpf;1;5;13;0,003;0,000
Instance-8-10-4-4.cpf;1;7;16;0,004;0,010
Instance-8-10-4-5.cpf;1;6;10;0,003;0,000
Instance-8-10-4-6.cpf;1;12;28;0,003;0,000
Instance-8-10-4-7.cpf;1;6;13;0,003;0,000
Instance-8-10-4-8.cpf;1;10;24;0,003;0,000
Instance-8-10-4-9.cpf;1;10;27;0,003;0,000
Instance-8-10-5-0.cpf;1;12;35;0,007;0,010
Instance-8-10-5-1.cpf;1;11;41;0,004;0,010
Instance-8-10-5-2.cpf;1;6;25;0,004;0,010
Instance-8-10-5-3.cpf;1;9;23;0,003;0,010
Instance-8-10-5-4.cpf;1;10;29;0,003;0,010
Instance-8-10-5-5.cpf;1;10;31;0,004;0,010
Instance-8-10-5-6.cpf;1;11;37;0,008;0,000
Instance-8-10-5-7.cpf;1;10;25;0,003;0,010
Instance-8-10-5-8.cpf;1;8;22;0,005;0,000
Instance-8-10-5-9.cpf;1;7;29;0,033;0,030
Instance-8-10-6-0.cpf;1;8;37;0,004;0,000
Instance-8-10-6-1.cpf;1;6;26;0,009;0,020
Instance-8-10-6-2.cpf;1;9;30;0,006;0,010
Instance-8-10-6-3.cpf;1;10;37;0,003;0,010
Instance-8-10-6-4.cpf;1;11;40;0,004;0,000
Instance-8-10-6-5.cpf;1;9;36;0,007;0,010
Instance-8-10-6-6.cpf;1;7;29;0,010;0,010
Instance-8-10-6-7.cpf;1;10;31;0,004;0,000
Instance-8-10-6-8.cpf;1;8;33;0,003;0,000
Instance-8-10-6-9.cpf;1;7;27;0,009;0,000
Instance-8-10-7-0.cpf;1;10;29;0,014;0,010
Instance-8-10-7-1.cpf;1;11;44;0,026;0,030
Instance-8-10-7-2.cpf;1;8;29;0,003;0,010
Instance-8-10-7-3.cpf;1;10;47;0,017;0,010
Instance-8-10-7-4.cpf;1;7;29;0,004;0,000
Instance-8-10-7-5.cpf;1;11;44;0,005;0,000
Instance-8-10-7-6.cpf;1;10;46;0,037;0,020
Instance-8-10-7-7.cpf;1;10;38;0,012;0,010
Instance-8-10-7-8.cpf;1;8;36;0,005;0,000
Instance-8-10-7-9.cpf;1;5;29;0,004;0,000
Instance-8-10-8-0.cpf;1;8;40;0,018;0,020
Instance-8-10-8-1.cpf;1;12;41;0,012;0,000
Instance-8-10-8-2.cpf;1;8;40;0,004;0,000
Instance-8-10-8-3.cpf;1;8;38;0,004;0,000
Instance-8-10-8-4.cpf;1;10;45;0,035;0,030
Instance-8-10-8-5.cpf;1;8;50;0,040;0,040
Instance-8-10-8-6.cpf;1;8;39;0,004;0,010
Instance-8-10-8-7.cpf;1;12;62;0,014;0,010
Instance-8-10-8-8.cpf;1;9;43;0,019;0,020
Instance-8-10-8-9.cpf;1;11;44;0,078;0,070
Instance-8-10-9-0.cpf;1;8;44;0,013;0,010
Instance-8-10-9-1.cpf;1;15;78;1,488;1,470
Instance-8-10-9-2.cpf;1;10;57;0,218;0,210
Instance-8-10-9-3.cpf;1;11;46;0,036;0,020
Instance-8-10-9-4.cpf;1;12;55;0,012;0,010
Instance-8-10-9-5.cpf;1;10;54;0,010;0,010
Instance-8-10-9-6.cpf;1;11;54;0,120;0,110
Instance-8-10-9-7.cpf;1;12;70;0,015;0,010
Instance-8-10-9-8.cpf;1;11;56;0,060;0,050
Instance-8-10-9-9.cpf;1;10;51;0,134;0,120
Instance-8-10-10-0.cpf;1;11;61;0,128;0,120
Instance-8-10-10-1.cpf;1;13;64;0,597;0,570
Instance-8-10-10-2.cpf;1;10;61;1,293;1,290
Instance-8-10-10-3.cpf;1;10;59;0,020;0,010
Instance-8-10-10-4.cpf;1;10;59;0,006;0,000
Instance-8-10-10-5.cpf;1;11;61;0,247;0,220
Instance-8-10-10-6.cpf;1;9;56;0,004;0,000
Instance-8-10-10-7.cpf;1;12;55;0,018;0,010
Instance-8-10-10-8.cpf;1;9;50;0,052;0,040
Instance-8-10-10-9.cpf;1;11;74;2,594;2,590
Instance-8-10-11-0.cpf;1;9;62;0,052;0,040
Instance-8-10-11-1.cpf;1;13;76;0,620;0,620
