sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Instance-20-10-20-0;1;1;"	";-312;268;-1;31;5,269821167;2,489538193;47,241417;183654;666985;1188208;2038847;"	";-352;268;-1;31;3,5903;5,212646484;44,84482776;202963;749407;1336428;2288798
Instance-20-10-20-1;1;1;"	";-331;289;-1;31;5,854542732;2,651824951;45,29516774;193305;697626;1237015;2127946;"	";-331;289;-1;31;3,5888;2,651824951;45,29516774;193305;697626;1237015;2127946
Instance-20-10-20-2;1;1;"	";-154;246;-1;24;2,825140715;1,080634594;38,25064672;97094;299213;521819;918126;"	";-234;246;-1;24;22,9922;3,2955091;43,22061719;135318;457110;807348;1399776
Instance-20-10-20-3;1;1;"	";-376;244;-1;35;6,981691599;3,073022127;44,01543786;198428;724710;1290411;2213549;"	";-456;244;-1;35;11,7975;6,785858154;43,53343078;236149;886951;1583915;2707015
Instance-20-10-20-4;1;1;"	";-198;262;-1;23;3,038164377;1,43305254;47,16836754;121027;393016;687828;1201871;"	";-198;262;-1;23;4,1122;1,43305254;47,16836754;121027;393016;687828;1201871
Instance-20-10-20-5;1;1;"	";-205;275;-1;24;3,539849043;1,630930424;46,07344562;128771;424232;744485;1297488;"	";-205;275;-1;24;5,1983;1,630930424;46,07344562;128771;424232;744485;1297488
Instance-20-10-20-6;1;1;"	";-191;249;-1;22;3,033550501;1,403218269;46,25663126;112861;361125;632076;1106062;"	";-191;249;-1;22;2,1022;1,403218269;46,25663126;112861;361125;632076;1106062
Instance-20-10-20-7;1;1;"	";-276;324;-1;31;6,804325581;2,620032787;38,50540008;185058;667429;1186708;2039195;"	";-296;324;-1;31;9,5123;5,3211236;39,99307741;194615;708463;1260702;2163780
Instance-20-10-20-8;1;1;"	";-251;269;-1;27;4,357378006;1,921400547;44,09533771;152433;529142;937678;1619253;"	";-271;269;-1;27;25,8904;4,096297979;44,90246124;162150;570267;1011941;1744358
Instance-20-10-20-9;1;1;"	";-305;295;-1;30;5,449785471;2,455898762;45,06413647;188785;683404;1219709;2091898;"	";-305;295;-1;30;4,8995;2,455898762;45,06413647;188785;683404;1219709;2091898
