sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Instance-20-10-20-0;1;1;"	";268;268;-1;31;24,41819501;13,40442395;54,89522853;176300;4991277;5038865;10206442;"	";268;268;-1;31;55,29299736;30,80990672;55,72117301;195822;5714371;5766948;11677141
Instance-20-10-20-1;1;1;"	";289;289;-1;31;25,15401149;12,25826836;48,73285663;182975;4992787;5043108;10218870;"	";289;289;-1;31;25,15401149;12,25826836;48,73285663;182975;4992787;5043108;10218870
Instance-20-10-20-2;1;1;"	";246;246;-1;24;7,957690477;4,669982672;58,68515099;89319;1841255;1867755;3798329;"	";246;246;-1;24;20,554914;10,95336843;53,28832038;124713;3066707;3101687;6293107
Instance-20-10-20-3;1;1;"	";244;244;-1;35;24,5634613;11,98620605;48,79689351;189062;5355754;5407053;10951869;"	";244;244;-1;35;57,59878588;27,23815513;47,28946055;228306;6822094;6883467;13933867
Instance-20-10-20-4;1;1;"	";262;262;-1;23;9,712366343;5,352884054;55,11410778;112878;2588676;2621257;5322811;"	";262;262;-1;23;9,712366343;5,352884054;55,11410778;112878;2588676;2621257;5322811
Instance-20-10-20-5;1;1;"	";275;275;-1;24;10,60892296;5,792675734;54,60192101;120093;2809851;2844112;5774056;"	";275;275;-1;24;10,60892296;5,792675734;54,60192101;120093;2809851;2844112;5774056
Instance-20-10-20-6;1;1;"	";249;249;-1;22;9,58457303;5,136731386;53,59374246;104607;2354285;2384321;4843213;"	";249;249;-1;22;9,58457303;5,136731386;53,59374246;104607;2354285;2384321;4843213
Instance-20-10-20-7;1;1;"	";324;324;-1;31;22,52074957;11,6537416;51,74668615;177330;4917466;4965676;10060472;"	";324;324;-1;31;47,53648424;24,86297894;52,30294022;187049;5277002;5327682;10791733
Instance-20-10-20-8;1;1;"	";269;269;-1;27;16,06314373;8,782363415;54,67400132;141402;3672457;3711502;7525361;"	";269;269;-1;27;33,10022044;17,33110285;52,35947863;150881;4017568;4058978;8227427
Instance-20-10-20-9;1;1;"	";295;295;-1;30;23,48769283;12,6456461;53,8394562;179130;5049756;5098182;10327068;"	";295;295;-1;30;23,48769283;12,6456461;53,8394562;179130;5049756;5098182;10327068
Instance-20-10-22-0;1;1;"	";330;330;-1;32;28,96088266;14,50714874;50,09221891;219066;6896381;6955205;14070652;"	";330;330;-1;32;28,96088266;14,50714874;50,09221891;219066;6896381;6955205;14070652
Instance-20-10-22-1;1;1;"	";317;317;-1;33;18,52068806;9,52966094;51,45414096;163135;4533769;4579146;9276050;"	";317;317;-1;33;49,20429873;24,54748702;49,88890738;227030;7099870;7161474;14488374
Instance-20-10-22-2;1;1;"	";309;309;-1;27;13,96801686;7,116045475;50,94528124;134999;3585596;3623305;7343900;"	";308;308;-1;26;33,32086539;16,97916865;50,95656566;166041;4816442;4861824;9844307
Instance-20-10-22-3;1;1;"	";284;284;-1;42;14,68036962;7,171457767;48,85066218;135996;3593912;3632080;7361988;"	";270;270;-1;28;68,69143105;32,06089401;46,67378962;328660;11401546;11488965;23219171
Instance-20-10-22-4;1;1;"	";340;340;-1;34;20,44459105;10,21455836;49,96215547;172561;4914707;4962271;10049539;"	";340;340;-1;34;54,98948598;26,52781105;48,24160579;236608;7500001;7563838;15300447
Instance-20-10-22-5;1;1;"	";304;304;-1;29;18,09587169;9,054924726;50,03862142;154552;4368105;4410344;8933001;"	";304;304;-1;29;41,18570542;20,63778019;50,10908512;186158;5650130;5700261;11536549
Instance-20-10-22-6;1;1;"	";311;311;-1;30;20,3212893;10,26597571;50,51832864;169623;5006445;5052619;10228687;"	";311;311;-1;30;47,16607881;23,52064061;49,86770409;201666;6304208;6358511;12864385
Instance-20-10-22-7;1;1;"	";266;266;-1;28;15,21251273;7,857352495;51,65058944;148717;3985404;4027447;8161568;"	";266;266;-1;28;34,56186724;17,78187728;51,44941145;169426;4803594;4850807;9823827
Instance-20-10-22-8;1;1;"	";294;294;-1;31;22,37748051;11,41961837;51,03174312;181687;5470452;5519863;11172002;"	";294;294;-1;31;51,60243845;25,70811892;49,81958157;214008;6783525;6841206;13838739
Instance-20-10-22-9;1;1;"	";284;284;-1;34;17,27669001;8,015597343;46,39544577;146474;3994131;4034783;8175388;"	";284;284;-1;34;56,69224548;24,92238331;43,96083291;242211;7835492;7900463;15978166
Instance-20-10-24-0;1;1;"	";279;279;-1;20;10,09624863;5,40330267;53,51792403;109129;2728963;2760573;5598665;"	";279;279;-1;20;10,09624863;5,40330267;53,51792403;109129;2728963;2760573;5598665
Instance-20-10-24-1;1;1;"	";388;388;-1;29;26,90169811;13,11988163;48,76971548;194433;6293625;6346321;12834379;"	";388;388;-1;29;56,2409718;27,6320219;49,13148016;206084;6803488;6859152;13868724
Instance-20-10-24-2;1;1;"	";351;351;-1;33;30,31520367;15,0303061;49,58009277;215454;7049973;7108497;14373924;"	";351;351;-1;33;70,56341743;34,72360587;49,20907622;250675;8598202;8665737;17514614
Instance-20-10-24-3;1;1;"	";330;330;-1;35;38,33828878;18,44780564;48,11848997;241767;8291038;8356038;16888843;"	";330;330;-1;35;86,09192181;41,24610782;47,90938215;277088;9848224;9922313;20047625
Instance-20-10-24-4;1;1;"	";297;297;-1;33;25,79447961;12,41202068;48,11890324;185932;5960478;6010754;12157164;"	";297;297;-1;33;70,22895551;32,99688721;46,98473296;256018;9035889;9104036;18395943
Instance-20-10-24-5;1;1;"	";313;313;-1;33;15,24296379;7,008218527;45,97674457;133283;3542994;3581012;7257289;"	";311;311;-1;31;59,35895228;26,41198492;44,49536911;247550;8494366;8560986;17302902
Instance-20-10-24-6;1;1;"	";299;299;-1;42;35,41798878;15,53749013;43,86892273;211790;7198861;7255411;14666062;"	";299;299;-1;42;116,0062697;47,11865544;40,61733522;365184;13981453;14077542;28424179
Instance-20-10-24-7;1;1;"	";381;381;-1;35;44,22231722;21,50787973;48,63580447;263008;9159744;9230099;18652851;"	";381;381;-1;35;92,10474348;44,43447614;48,24341772;274792;9678105;9751493;19704390
Instance-20-10-24-8;1;1;"	";259;259;-1;24;12,99358439;6,739652157;51,86907594;127595;3378070;3414837;6920502;"	";259;259;-1;24;30,28674841;15,611871;51,54687058;149245;4261972;4304046;8715263
Instance-20-10-24-9;1;1;"	";339;339;-1;31;21,01217842;10,3578279;49,29440296;166865;4951481;4997772;10116118;"	";339;339;-1;31;55,13275599;26,33610821;47,76853203;224370;7444010;7504773;15173153
Instance-20-10-26-0;1;1;"	";299;299;-1;34;52,87788486;24,8904345;47,07153958;275919;10469655;10543357;21288931;"	";299;299;-1;34;109,8057511;51,32138944;46,73834378;288694;11079714;11156706;22525114
Instance-20-10-26-1;1;1;"	";332;332;-1;36;45,5931108;21,88177848;47,99360714;252509;9224351;9292603;18769463;"	";332;332;-1;36;110,1232395;50,86362791;46,18791468;316351;12245199;12329884;24891434
Instance-20-10-26-2;1;1;"	";336;336;-1;24;13,52872396;6,877429485;50,83575885;129957;3505851;3543287;7179095;"	";336;336;-1;24;31,90614223;16,14001942;50,58593201;152659;4493636;4536538;9182833
Instance-20-10-26-3;1;1;"	";325;325;-1;27;27,30854249;13,69445658;50,14715297;195777;6425077;6479073;13099927;"	";325;325;-1;27;27,30854249;13,69445658;50,14715297;195777;6425077;6479073;13099927
Instance-20-10-26-4;1;1;"	";356;356;-1;25;18,99991632;9,613026857;50,59510104;156000;4591106;4635220;9382326;"	";356;356;-1;25;40,43141913;20,45507503;50,59202834;167906;5125947;5172983;10466836
Instance-20-10-26-5;1;1;"	";368;368;-1;29;20,67721653;10,03334999;48,52369745;159290;4797752;4842407;9799449;"	";368;368;-1;29;56,29488468;26,6720674;47,37920249;220951;7637599;7697640;15556190
Instance-20-10-26-6;1;1;"	";349;349;-1;33;33,98928881;15,99325633;47,05381281;214903;7299862;7358700;14873465;"	";349;349;-1;33;84,51545906;39,09407139;46,25671069;265497;9697076;9768794;19731367
Instance-20-10-26-7;1;1;"	";353;353;-1;37;62,33815694;28,16716075;45,18446187;302475;11675216;11755302;23732993;"	";353;353;-1;37;131,399991;58,48086619;44,50598949;328054;12888184;12974870;26191108
Instance-20-10-26-8;1;1;"	";347;347;-1;31;33,16062331;15,84349728;47,77804424;210930;7258125;7315327;14784382;"	";347;347;-1;31;78,566535;37,20611048;47,35618095;248883;9042276;9109135;18400294
Instance-20-10-26-9;1;1;"	";388;388;-1;32;29,62631249;14,55107808;49,11538715;203683;6677503;6734051;13615237;"	";388;388;-1;32;74,35281801;35,7794075;48,12111828;254137;9046033;9115398;18415568
Instance-20-10-28-0;1;1;"	";432;432;-1;31;28,55503583;13,58263636;47,56651835;190705;6366995;6419790;12977490;"	";432;432;-1;31;78,34589028;36,69443345;46,83644964;257604;9720989;9790576;19769169
Instance-20-10-28-1;1;1;"	";355;355;-1;34;49,14289665;22,98100853;46,76364255;254701;9800119;9868614;19923434;"	";355;355;-1;34;117,147433;53,41202474;45,59384986;309652;12597732;12680353;25587737
Instance-20-10-28-2;1;1;"	";428;428;-1;33;53,79590726;25,10608792;46,66914121;267751;10436628;10508752;21213131;"	";428;428;-1;33;117,8882408;54,35600567;46,10808109;295171;11828868;11908022;24032061
Instance-20-10-28-3;1;1;"	";369;369;-1;39;66,29179287;29,38320279;44,32404302;298448;12104792;12184038;24587278;"	";369;369;-1;39;160,8036621;68,11036539;42,35622779;381064;16310746;16411300;33103110
Instance-20-10-28-4;1;1;"	";365;365;-1;26;22,54870462;11,05620337;49,03254333;161396;5225652;5270579;10657627;"	";365;365;-1;26;54,76135349;26,21330571;47,86825752;200500;7139228;7193800;14533528
Instance-20-10-28-5;1;1;"	";427;427;-1;37;52,10363126;24,17907977;46,40574791;263799;10093838;10164873;20522510;"	";427;427;-1;37;134,7471037;59,23065948;43,95690732;346336;14285317;14377599;29009252
Instance-20-10-28-6;1;1;"	";354;354;-1;29;18,8037324;9,179224253;48,8159694;144823;4381500;4422822;8949145;"	";354;354;-1;29;63,87967634;29,80652142;46,66041396;236661;8925872;8989867;18152400
Instance-20-10-28-7;1;1;"	";464;464;-1;36;64,48120785;29,14408803;45,19780104;295020;11832280;11910938;24038238;"	";464;464;-1;36;143,3901918;63,36350632;44,18956801;336305;13937888;14027185;28301378
Instance-20-10-28-8;1;1;"	";391;391;-1;36;39,7450242;18,14429379;45,65173666;223910;8164743;8225608;16614261;"	";391;391;-1;36;118,956022;51,56050515;43,34417398;333555;13731402;13820373;27885330
