sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Instance-20-10-20-0;1;1;	;268,0;268,0;-1;30;19,900495290756226;10,438587427139282;52,4539076773029;169080,0;4991277,0;5031645,0;10192002,0;	;268,0;268,0;-1;31;41,806334018707275;21,59993886947632;51,6666657732077;178826,0;5351886,0;5394742,0;10925454,0
Instance-20-10-20-1;1;1;	;289,0;289,0;-1;31;20,132418632507324;10,783475160598755;53,56274056007827;175755,0;4992787,0;5035888,0;10204430,0;	;289,0;289,0;-1;31;20,132418632507324;10,783475160598755;53,56274056007827;175755,0;4992787,0;5035888,0;10204430,0
Instance-20-10-20-2;1;1;	;246,0;246,0;-1;23;6,768787384033203;3,7247824668884277;55,02879992470682;82099,0;1841255,0;1860535,0;3783889,0;	;246,0;246,0;-1;26;17,11040687561035;9,33294939994812;54,545455685519464;108332,0;2740323,0;2765852,0;5614507,0
Instance-20-10-20-3;1;1;	;244,0;244,0;-1;34;24,043140649795532;11,290308952331543;46,95854471253346;181842,0;5355754,0;5399833,0;10937429,0;	;244,0;244,0;-1;37;52,62379765510559;25,22075581550598;47,92652172464229;211251,0;6454165,0;6505783,0;13171199,0
Instance-20-10-20-4;1;1;	;262,0;262,0;-1;23;9,377934694290161;5,224292755126953;55,70835077693397;105658,0;2588676,0;2614037,0;5308371,0;	;262,0;262,0;-1;23;9,377934694290161;5,224292755126953;55,70835077693397;105658,0;2588676,0;2614037,0;5308371,0
Instance-20-10-20-5;1;1;	;275,0;275,0;-1;24;10,374609231948853;5,661149263381958;54,56734935083931;112873,0;2809851,0;2836892,0;5759616,0;	;275,0;275,0;-1;24;10,374609231948853;5,661149263381958;54,56734935083931;112873,0;2809851,0;2836892,0;5759616,0
Instance-20-10-20-6;1;1;	;249,0;249,0;-1;22;8,569198608398438;4,731452703475952;55,214646312886074;97387,0;2354285,0;2377101,0;4828773,0;	;249,0;249,0;-1;22;8,569198608398438;4,731452703475952;55,214646312886074;97387,0;2354285,0;2377101,0;4828773,0
Instance-20-10-20-7;1;1;	;324,0;324,0;-1;30;19,615587949752808;10,385604858398438;52,94567200841571;170110,0;4917466,0;4958456,0;10046032,0;	;324,0;324,0;-1;30;19,615587949752808;10,385604858398438;52,94567200841571;170110,0;4917466,0;4958456,0;10046032,0
Instance-20-10-20-8;1;1;	;269,0;269,0;-1;26;13,87246561050415;7,397581577301025;53,32564365270165;134182,0;3672457,0;3704282,0;7510921,0;	;269,0;269,0;-1;26;13,87246561050415;7,397581577301025;53,32564365270165;134182,0;3672457,0;3704282,0;7510921,0
Instance-20-10-20-9;1;1;	;295,0;295,0;-1;30;20,26937460899353;10,689505577087402;52,73722442499269;171910,0;5049756,0;5090962,0;10312628,0;	;295,0;295,0;-1;30;20,26937460899353;10,689505577087402;52,73722442499269;171910,0;5049756,0;5090962,0;10312628,0
Instance-20-10-22-0;1;1;	;330,0;330,0;-1;32;29,211450815200806;14,605225801467896;49,99828969079397;211124,0;6896381,0;6947263,0;14054768,0;	;330,0;330,0;-1;32;29,211450815200806;14,605225801467896;49,99828969079397;211124,0;6896381,0;6947263,0;14054768,0
Instance-20-10-22-1;1;1;	;317,0;317,0;-1;32;18,859834909439087;9,717822790145874;51,52655278696123;155193,0;4533769,0;4571204,0;9260166,0;	;317,0;317,0;-1;37;47,91633653640747;24,130111932754517;50,35884142440676;208316,0;6663344,0;6714243,0;13585903,0
Instance-20-10-22-2;1;1;	;309,0;309,0;-1;26;13,976430654525757;7,277621269226074;52,070671326011855;127057,0;3585596,0;3615363,0;7328016,0;	;308,0;308,0;-1;27;31,638656616210938;16,697542667388916;52,77576374350063;147620,0;4397135,0;4431961,0;8976716,0
Instance-20-10-22-3;1;1;	;284,0;284,0;-1;41;14,6442129611969;7,349597215652466;50,18772422339705;128054,0;3593912,0;3624138,0;7346104,0;	;270,0;270,0;-1;44;66,68720149993896;31,473711490631104;47,19602979690175;309893,0;10959258,0;11035940,0;22305091,0
Instance-20-10-22-4;1;1;	;340,0;340,0;-1;33;20,903167009353638;10,492570161819458;50,19607869527282;164619,0;4914707,0;4954329,0;10033655,0;	;340,0;340,0;-1;38;52,738760232925415;25,92452645301819;49,15649578890405;217877,0;7061355,0;7114479,0;14393711,0
Instance-20-10-22-5;1;1;	;304,0;304,0;-1;28;18,198051929473877;9,26397180557251;50,90639284619483;146610,0;4368105,0;4402402,0;8917117,0;	;304,0;304,0;-1;30;39,94894194602966;20,130420207977295;50,39037137747765;167591,0;5216877,0;5256396,0;10640864,0
Instance-20-10-22-6;1;1;	;311,0;311,0;-1;29;20,6912362575531;10,600534677505493;51,2320025036488;161681,0;5006445,0;5044677,0;10212803,0;	;311,0;311,0;-1;31;45,70306038856506;23,223408460617065;50,81368351084773;182986,0;5868047,0;5911667,0;11962700,0
Instance-20-10-22-7;1;1;	;266,0;266,0;-1;27;15,760848045349121;8,166330814361572;51,814031775855995;140775,0;3985404,0;4019505,0;8145684,0;	;266,0;266,0;-1;28;33,603015422821045;17,50527787208557;52,0943660913154;151068,0;4390251,0;4426913,0;8968232,0
Instance-20-10-22-8;1;1;	;294,0;294,0;-1;30;22,762559175491333;11,76715350151062;51,69521322620185;173745,0;5470452,0;5511921,0;11156118,0;	;294,0;294,0;-1;32;50,290560722351074;25,496666193008423;50,698711302450675;195263,0;6344120,0;6391081,0;12930464,0
Instance-20-10-22-9;1;1;	;284,0;284,0;-1;33;17,76219367980957;8,160332441329956;45,942143118312416;138532,0;3994131,0;4026841,0;8159504,0;	;284,0;284,0;-1;41;55,162967920303345;24,390027046203613;44,21449382752771;223471,0;7397589,0;7451840,0;15072900,0
Instance-20-10-24-0;1;1;	;279,0;279,0;-1;20;10,213661193847656;5,55918288230896;54,4288945638574;100465,0;2728963,0;2751909,0;5581337,0;	;279,0;279,0;-1;20;10,213661193847656;5,55918288230896;54,4288945638574;100465,0;2728963,0;2751909,0;5581337,0
