sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Instance-20-10-20-0;1;1;"	";-312;268;-1;31;2,575867653;1,40175724;54,41883781;56837;667929;806229;1530995;"	";-352;268;-1;31;5,962915421;3,231811285;54,19850957;67281;937825;1131114;2136220
Instance-20-10-20-1;1;1;"	";-331;289;-1;31;2,791506529;1,534529686;54,97138087;62021;724307;872270;1658598;"	";-331;289;-1;31;2,791506529;1,534529686;54,97138087;62021;724307;872270;1658598
Instance-20-10-20-2;1;1;"	";-154;246;-1;24;0,600533247;0,280548096;46,7164969;25844;101063;127019;253926;"	";-234;246;-1;24;1,931391478;0,970936775;50,27136065;38781;288708;351177;678666
Instance-20-10-20-3;1;1;"	";-376;244;-1;35;3,314663649;1,770649672;53,41868314;67170;881008;1058357;2006535;"	";-456;244;-1;35;9,5291605;5,340902805;56,04798876;89385;1533047;1842633;3465065
Instance-20-10-20-4;1;1;"	";-198;262;-1;23;0,732321501;0,389872551;53,23789491;31315;141888;174092;347295;"	";-198;262;-1;23;0,732321501;0,389872551;53,23789491;31315;141888;174092;347295
Instance-20-10-20-5;1;1;"	";-205;275;-1;24;0,840148211;0,454268694;54,07006624;34009;180297;219983;434289;"	";-205;275;-1;24;0,840148211;0,454268694;54,07006624;34009;180297;219983;434289
Instance-20-10-20-6;1;1;"	";-191;249;-1;22;0,755284071;0,406345844;53,80039907;30821;151048;185375;367244;"	";-191;249;-1;22;0,755284071;0,406345844;53,80039907;30821;151048;185375;367244
Instance-20-10-20-7;1;1;"	";-276;324;-1;31;2,657222986;1,458152771;54,87506237;58737;716949;863526;1639212;"	";-296;324;-1;31;5,807152748;3,118481159;53,7006911;64007;852385;1026368;1942760
Instance-20-10-20-8;1;1;"	";-251;269;-1;27;1,702758789;0,897055864;52,68249796;44151;406254;492349;942754;"	";-271;269;-1;27;3,778917074;2,052196741;54,30647725;48514;502349;607953;1158816
Instance-20-10-20-9;1;1;"	";-305;295;-1;30;2,70714283;1,52005291;56,14971227;60239;756396;908161;1724796;"	";-305;295;-1;30;2,70714283;1,52005291;56,14971227;60239;756396;908161;1724796
Instance-20-10-22-0;1;1;"	";-374;330;-1;32;4,441849947;2,51145792;56,54080957;78518;1245969;1509029;2833516;"	";-374;330;-1;32;4,441849947;2,51145792;56,54080957;78518;1245969;1509029;2833516
Instance-20-10-22-1;1;1;"	";-277;317;-1;33;2,195465326;1,105221033;50,3410835;50826;471189;572391;1094406;"	";-409;317;-1;33;7,186432362;3,880753517;54,00111379;84365;1373065;1661278;3118708
Instance-20-10-22-2;1;1;"	";-219;309;-1;27;1,159135342;0,558101892;48,14812149;37797;245083;299064;581944;"	";-286;308;-1;26;3,08303833;1,560488224;50,61527159;50584;488536;591864;1130984
Instance-20-10-22-3;1;1;"	";-244;284;-1;42;1,472130537;0,699373484;47,5075726;41879;310921;377663;730463;"	";-654;270;-1;28;15,63133812;8,386500359;53,65183898;150610;3984183;4803325;8938118
Instance-20-10-22-4;1;1;"	";-276;340;-1;34;2,289315462;1,14515686;50,02180256;53478;544152;659410;1257040;"	";-408;340;-1;34;8,170847893;4,081430197;49,95112197;87936;1513698;1828056;3429690
Instance-20-10-22-5;1;1;"	";-268;304;-1;29;1,961841345;1,042821646;53,15524869;49545;510464;618759;1178768;"	";-334;304;-1;29;5,257038116;2,827448845;53,7840659;65555;928395;1120756;2114706
Instance-20-10-22-6;1;1;"	";-283;311;-1;30;2,454049587;1,293918133;52,72583486;53811;623782;756955;1434548;"	";-349;311;-1;30;6,271904469;3,447951078;54,97454714;70342;1066016;1289701;2426059
Instance-20-10-22-7;1;1;"	";-306;266;-1;28;1,669313431;0,89955163;53,88752127;48269;425999;516190;990458;"	";-350;266;-1;28;3,97609973;2,191970825;55,12866815;57539;632654;765668;1455861
