sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Instance-20-10-20-0;1;1;	;-312,0;268,0;-1;31;14,780209064483643;8,128915071487427;54,99864742117175;169131,0;3293188,0;3332284,0;6794603,0;	;-352,0;268,0;-1;31;30,340661764144897;16,588298559188843;54,67348961647264;188693,0;3767251,0;3811176,0;7767120,0
Instance-20-10-20-1;1;1;	;-331,0;289,0;-1;31;12,886756896972656;6,966784954071045;54,06158438286109;175798,0;3305763,0;3347532,0;6829093,0;	;-331,0;289,0;-1;31;12,886756896972656;6,966784954071045;54,06158438286109;175798,0;3305763,0;3347532,0;6829093,0
Instance-20-10-20-2;1;1;	;-154,0;246,0;-1;24;4,617067098617554;2,7316033840179443;59,16317276038382;82020,0;1230052,0;1248676,0;2560748,0;	;-234,0;246,0;-1;24;12,121488332748413;7,007720470428467;57,812376484295505;117494,0;2033497,0;2060281,0;4211272,0
Instance-20-10-20-3;1;1;	;-378,0;242,0;-1;33;13,47281289100647;7,433534860610962;55,174334571016594;181982,0;3531529,0;3574081,0;7287592,0;	;-418,0;242,0;-1;33;29,540948629379272;16,119553089141846;54,56680924968846;201605,0;4010296,0;4057699,0;8269600,0
Instance-20-10-20-4;1;1;	;-198,0;262,0;-1;23;6,692726373672485;3,7080318927764893;55,40390695431627;105599,0;1733467,0;1758012,0;3597078,0;	;-198,0;262,0;-1;23;6,692726373672485;3,7080318927764893;55,40390695431627;105599,0;1733467,0;1758012,0;3597078,0
Instance-20-10-20-5;1;1;	;-205,0;275,0;-1;24;7,222374200820923;4,194248676300049;58,07299040007252;112806,0;1868379,0;1894584,0;3875769,0;	;-205,0;275,0;-1;24;7,222374200820923;4,194248676300049;58,07299040007252;112806,0;1868379,0;1894584,0;3875769,0
Instance-20-10-20-6;1;1;	;-191,0;249,0;-1;22;6,0547544956207275;3,521332263946533;58,15813451219923;97340,0;1564391,0;1586395,0;3248126,0;	;-191,0;249,0;-1;22;6,0547544956207275;3,521332263946533;58,15813451219923;97340,0;1564391,0;1586395,0;3248126,0
Instance-20-10-20-7;1;1;	;-276,0;324,0;-1;31;13,634552717208862;7,4824559688568115;54,87863169440699;170063,0;3258150,0;3298032,0;6726245,0;	;-296,0;324,0;-1;31;28,68033456802368;15,671773672103882;54,642924875697496;179802,0;3493949,0;3536221,0;7209972,0
Instance-20-10-20-8;1;1;	;-251,0;269,0;-1;27;9,813703060150146;5,724785566329956;58,334611626636764;134170,0;2435129,0;2465923,0;5035222,0;	;-271,0;269,0;-1;27;20,783046007156372;11,905337572097778;57,28389172596899;143669,0;2661428,0;2694507,0;5499604,0
Instance-20-10-20-9;1;1;	;-305,0;295,0;-1;30;12,89923620223999;7,462987184524536;57,85603943920778;171925,0;3320878,0;3360840,0;6853643,0;	;-305,0;295,0;-1;30;12,89923620223999;7,462987184524536;57,85603943920778;171925,0;3320878,0;3360840,0;6853643,0
Instance-20-10-22-0;1;1;	;-374,0;330,0;-1;32;17,755918979644775;10,259485006332397;57,780647783388616;211167,0;4543721,0;4593107,0;9347995,0;	;-374,0;330,0;-1;32;17,755918979644775;10,259485006332397;57,780647783388616;211167,0;4543721,0;4593107,0;9347995,0
Instance-20-10-22-1;1;1;	;-277,0;317,0;-1;33;12,57176399230957;6,935336351394653;55,165976354926435;155168,0;2991046,0;3027333,0;6173547,0;	;-409,0;317,0;-1;33;34,34721302986145;19,223557233810425;55,968317479201225;219195,0;4667996,0;4719982,0;9607173,0
Instance-20-10-22-2;1;1;	;-221,0;307,0;-1;25;8,94260573387146;5,071836471557617;56,71542079001958;126980,0;2362434,0;2391281,0;4880695,0;	;-243,0;307,0;-1;25;19,410754919052124;10,73721694946289;55,315813291342174;137208,0;2623564,0;2654820,0;5415592,0
Instance-20-10-22-3;1;1;	;-244,0;284,0;-1;42;9,595553874969482;5,425267696380615;56,53939071232477;128059,0;2385388,0;2414526,0;4927973,0;	;-654,0;270,0;-1;28;42,12169814109802;23,111299514770508;54,86791970578432;321119,0;7484028,0;7560833,0;15365980,0
Instance-20-10-22-4;1;1;	;-278,0;338,0;-1;32;12,643648147583008;7,106560707092285;56,206568105509916;164570,0;3235872,0;3274350,0;6674792,0;	;-366,0;338,0;-1;32;29,27238154411316;16,3347065448761;55,80245160531224;207157,0;4351905,0;4400781,0;8959843,0
Instance-20-10-22-5;1;1;	;-268,0;304,0;-1;29;10,030853986740112;5,689342260360718;56,718423654471664;146585,0;2874773,0;2907962,0;5929320,0;	;-334,0;304,0;-1;29;23,713829278945923;12,979608058929443;54,7343404822993;178257,0;3710057,0;3750874,0;7639188,0
Instance-20-10-22-6;1;1;	;-283,0;311,0;-1;30;12,09952425956726;6,577412128448486;54,36091525042925;161660,0;3289618,0;3326698,0;6777976,0;	;-349,0;311,0;-1;30;26,96110200881958;14,824137926101685;54,98342731410748;193769,0;4136252,0;4181197,0;8511218,0
Instance-20-10-22-7;1;1;	;-306,0;266,0;-1;28;9,192203998565674;5,340404272079468;58,09710351198439;140825,0;2630585,0;2663423,0;5434833,0;	;-350,0;266,0;-1;28;20,25389862060547;11,627284288406372;57,40763546914005;161578,0;3164770,0;3202602,0;6528950,0
Instance-20-10-22-8;1;1;	;-322,0;294,0;-1;31;12,766950130462646;7,217382431030273;56,53176645383146;173778,0;3595987,0;3636156,0;7405921,0;	;-388,0;294,0;-1;31;29,926329612731934;16,50543212890625;55,15354653409999;206165,0;4453869,0;4502044,0;9162078,0
Instance-20-10-22-9;1;1;	;-266,0;284,0;-1;34;10,020370721817017;5,369856357574463;53,58939810363358;138537,0;2638958,0;2670544,0;5448039,0;	;-464,0;284,0;-1;34;30,344655513763428;16,176960468292236;53,31074020911145;234472,0;5150167,0;5205280,0;10589919,0
Instance-20-10-24-0;1;1;	;-201,0;279,0;-1;20;6,134125709533691;3,521332025527954;57,405605823419634;100398,0;1804316,0;1826410,0;3731124,0;	;-201,0;279,0;-1;20;6,134125709533691;3,521332025527954;57,405605823419634;100398,0;1804316,0;1826410,0;3731124,0
Instance-20-10-24-1;1;1;	;-284,0;388,0;-1;29;14,544589042663574;8,195307731628418;56,346093434397915;185670,0;4137544,0;4180420,0;8503634,0;	;-308,0;388,0;-1;29;31,89615821838379;17,465386390686035;54,75702205609082;197345,0;4469811,0;4515559,0;9182715,0
Instance-20-10-24-2;1;1;	;-369,0;351,0;-1;33;17,8956937789917;9,92801833152771;55,47713575196796;206814,0;4652341,0;4700706,0;9559861,0;	;-441,0;351,0;-1;33;40,61961627006531;21,87079429626465;53,84293674970624;242107,0;5661876,0;5718964,0;11622947,0
Instance-20-10-24-3;1;1;	;-438,0;330,0;-1;35;20,758086442947388;11,522952318191528;55,51066737226389;233223,0;5440527,0;5495068,0;11168818,0;	;-510,0;330,0;-1;35;47,30884909629822;25,467506408691406;53,83243704967696;268616,0;6455327,0;6518669,0;13242612,0
Instance-20-10-24-4;1;1;	;-353,0;295,0;-1;31;14,84809947013855;7,708591938018799;51,91635436926979;177337,0;3920026,0;3960194,0;8057557,0;	;-449,0;295,0;-1;31;36,17227482795715;18,903072834014893;52,25845740673438;223995,0;5247392,0;5299013,0;10770400,0
Instance-20-10-24-5;1;1;	;-239,0;313,0;-1;33;8,78086519241333;4,741367816925049;53,99659046151388;124574,0;2344938,0;2373256,0;4842768,0;	;-481,0;311,0;-1;31;32,052905559539795;16,511921167373657;51,514584650374296;239081,0;5569031,0;5624991,0;11433103,0
Instance-20-10-24-6;1;1;	;-397,0;299,0;-1;42;19,08128595352173;9,901562452316284;51,89148402489512;203259,0;4722727,0;4768933,0;9694919,0;	;-709,0;299,0;-1;42;57,730573654174805;29,801530599594116;51,62174687214287;356965,0;9141377,0;9225874,0;18724216,0
Instance-20-10-24-7;1;1;	;-435,0;381,0;-1;35;23,149237155914307;12,928190231323242;55,84715446236754;254407,0;5995919,0;6055834,0;12306160,0;	;-459,0;381,0;-1;35;49,590675830841064;26,804354429244995;54,051198093523524;266215,0;6333929,0;6396781,0;12996925,0
Instance-20-10-24-8;1;1;	;-269,0;259,0;-1;24;8,23773980140686;4,612076044082642;55,987153700763656;118952,0;2238740,0;2265727,0;4623419,0;	;-317,0;259,0;-1;24;18,667950868606567;10,330870628356934;55,34014258485169;140650,0;2816338,0;2848440,0;5805428,0
Instance-20-10-24-9;1;1;	;-285,0;339,0;-1;31;11,972228288650513;6,5814056396484375;54,972269831235245;158166,0;3264400,0;3300827,0;6723393,0;	;-405,0;339,0;-1;31;32,20815563201904;17,07052183151245;53,00061893187748;215791,0;4888591,0;4939010,0;10043392,0
Instance-20-10-26-0;1;1;	;-559,0;299,0;-1;34;28,75621223449707;15,214010953903198;52,906866974823195;266802,0;6833240,0;6895284,0;13995326,0;	;-585,0;299,0;-1;34;58,148900508880615;31,02655792236328;53,35708440028861;279603,0;7229489,0;7294719,0;14803811,0
Instance-20-10-26-1;1;1;	;-475,0;331,0;-1;35;25,950727939605713;13,514745473861694;52,07848313663541;243286,0;6042909,0;6099811,0;12386006,0;	;-579,0;331,0;-1;35;59,551143407821655;29,941304445266724;50,27830320607099;294441,0;7614413,0;7684031,0;15592885,0
Instance-20-10-26-2;1;1;	;-236,0;336,0;-1;24;8,412458658218384;4,792784929275513;56,972463390275294;120476,0;2324153,0;2351243,0;4795872,0;	;-288,0;336,0;-1;24;19,11722683906555;10,758182764053345;56,274808342333834;143230,0;2967284,0;2999632,0;6110146,0
Instance-20-10-26-3;1;1;	;-377,0;325,0;-1;27;16,220890283584595;9,008000612258911;55,53333050637136;186448,0;4220774,0;4263852,0;8671074,0;	;-377,0;325,0;-1;27;16,220890283584595;9,008000612258911;55,53333050637136;186448,0;4220774,0;4263852,0;8671074,0
Instance-20-10-26-4;1;1;	;-268,0;356,0;-1;25;11,538426876068115;6,299360036849976;54,59461765897652;146531,0;3029792,0;3063428,0;6239751,0;	;-294,0;356,0;-1;25;24,326343297958374;13,113890647888184;53,90818705164284;158463,0;3377850,0;3414304,0;6950617,0
Instance-20-10-26-5;1;1;	;-256,0;368,0;-1;29;11,684192895889282;6,44312858581543;55,143976509342316;149809,0;3166484,0;3200677,0;6516970,0;	;-386,0;368,0;-1;29;32,31148934364319;17,125433444976807;53,00106492412732;211600,0;5015047,0;5064106,0;10290753,0
