sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Instance-20-10-20-0;1;1;	;-312,0;268,0;-1;31;4,95352578163147;2,458542585372925;49,63217501541278;196905,0;694663,0;1272818,0;2164386,0;	;-352,0;268,0;-1;31;10,600935459136963;5,267021894454956;49,68450109669615;217297,0;775206,0;1423640,0;2416143,0
Instance-20-10-20-1;1;1;	;-331,0;289,0;-1;31;4,5152318477630615;2,477511405944824;54,87008174723596;206847,0;725723,0;1321981,0;2254551,0;	;-331,0;289,0;-1;31;4,5152318477630615;2,477511405944824;54,87008174723596;206847,0;725723,0;1321981,0;2254551,0
Instance-20-10-20-2;1;1;	;-154,0;246,0;-1;24;2,4795081615448;1,138167381286621;45,902949582449146;105823,0;338108,0;602755,0;1046686,0;	;-234,0;246,0;-1;24;6,31034255027771;2,7735350131988525;43,95221005992445;144141,0;485284,0;877451,0;1506876,0
Instance-20-10-20-3;1;1;	;-376,0;244,0;-1;35;5,392320156097412;2,573857307434082;47,731908212528346;211714,0;750571,0;1373257,0;2335542,0;	;-456,0;244,0;-1;35;11,780037879943848;5,750244617462158;48,813464575120435;252542,0;912398,0;1676555,0;2841495,0
Instance-20-10-20-4;1;1;	;-198,0;262,0;-1;23;2,838430643081665;1,4431767463684082;50,84417862687533;131338,0;432050,0;775550,0;1338938,0;	;-198,0;262,0;-1;23;2,838430643081665;1,4431767463684082;50,84417862687533;131338,0;432050,0;775550,0;1338938,0
Instance-20-10-20-5;1;1;	;-205,0;275,0;-1;24;3,0890276432037354;1,5480077266693115;50,11310695374096;139821,0;465080,0;835875,0;1440776,0;	;-205,0;275,0;-1;24;3,0890276432037354;1,5480077266693115;50,11310695374096;139821,0;465080,0;835875,0;1440776,0
Instance-20-10-20-6;1;1;	;-191,0;249,0;-1;22;2,6003143787384033;1,3308579921722412;51,18065734874469;122831,0;402430,0;721949,0;1247210,0;	;-191,0;249,0;-1;22;2,6003143787384033;1,3308579921722412;51,18065734874469;122831,0;402430,0;721949,0;1247210,0
Instance-20-10-20-7;1;1;	;-276,0;324,0;-1;31;4,8831400871276855;2,331247329711914;47,74074239355231;197821,0;694768,0;1268897,0;2161486,0;	;-296,0;324,0;-1;31;10,297924041748047;4,799773693084717;46,60913863441129;208005,0;734922,0;1344117,0;2287044,0
Instance-20-10-20-8;1;1;	;-251,0;269,0;-1;27;3,535808801651001;1,8879680633544922;53,39564917856784;162697,0;557614,0;1011544,0;1731855,0;	;-271,0;269,0;-1;27;7,373630523681641;3,89473819732666;52,81981765723223;172736,0;596893,0;1085116,0;1854745,0
Instance-20-10-20-9;1;1;	;-305,0;295,0;-1;30;4,568146705627441;2,3706839084625244;51,89596703499275;201046,0;708247,0;1293201,0;2202494,0;	;-305,0;295,0;-1;30;4,568146705627441;2,3706839084625244;51,89596703499275;201046,0;708247,0;1293201,0;2202494,0
Instance-20-10-22-0;1;1;	;-374,0;330,0;-1;32;6,067732810974121;2,8753716945648193;47,38790886382493;239636,0;863124,0;1591717,0;2694477,0;	;-374,0;330,0;-1;32;6,067732810974121;2,8753716945648193;47,38790886382493;239636,0;863124,0;1591717,0;2694477,0
Instance-20-10-22-1;1;1;	;-277,0;317,0;-1;33;4,530207872390747;2,151536703109741;47,49311209806143;182797,0;633505,0;1157731,0;1974033,0;	;-409,0;317,0;-1;33;10,938393115997314;5,163188457489014;47,20244009092973;248631,0;894826,0;1649372,0;2792829,0
Instance-20-10-22-2;1;1;	;-219,0;309,0;-1;27;3,8852460384368896;1,703258752822876;43,83914779070543;152889,0;518279,0;942491,0;1613659,0;	;-286,0;308,0;-1;26;8,60814356803894;3,863781213760376;44,88518555970833;185262,0;645807,0;1182532,0;2013601,0
Instance-20-10-22-3;1;1;	;-244,0;284,0;-1;42;4,499257802963257;1,72971510887146;38,44445427715327;154197,0;522638,0;950452,0;1627287,0;	;-654,0;270,0;-1;28;14,643927812576294;6,317829608917236;43,14299885780265;352127,0;1309896,0;2432324,0;4094347,0
Instance-20-10-22-4;1;1;	;-276,0;340,0;-1;34;5,7936742305755615;2,3272531032562256;40,16886367159496;192328,0;671685,0;1229747,0;2093760,0;	;-408,0;340,0;-1;34;13,646034717559814;5,5096306800842285;40,3753236315191;258267,0;933651,0;1723288,0;2915206,0
Instance-20-10-22-5;1;1;	;-268,0;304,0;-1;29;4,471801996231079;2,0801444053649902;46,51691660583756;173861,0;602901,0;1100237,0;1876999,0;	;-334,0;304,0;-1;29;10,281949520111084;4,564644813537598;44,39474055585795;206591,0;732679,0;1344466,0;2283736,0
Instance-20-10-22-6;1;1;	;-283,0;311,0;-1;30;5,357376337051392;2,2538721561431885;42,07044669525086;189211,0;662506,0;1214732,0;2066449,0;	;-349,0;311,0;-1;30;12,227817058563232;4,9929633140563965;40,83282641654985;222202,0;793614,0;1461444,0;2477260,0
Instance-20-10-22-7;1;1;	;-306,0;266,0;-1;28;3,973104953765869;1,9543538093566895;49,18958426971012;167126,0;572467,0;1042529,0;1782122,0;	;-350,0;266,0;-1;28;9,000513076782227;4,3754563331604;48,61341010044585;188678,0;657369,0;1202180,0;2048227,0
Instance-20-10-22-8;1;1;	;-322,0;294,0;-1;31;5,514123439788818;2,6657092571258545;48,343300367391606;201270,0;710447,0;1306392,0;2218109,0;	;-388,0;294,0;-1;31;12,038621664047241;5,647909641265869;46,91491932280817;234415,0;842555,0;1554904,0;2631874,0
Instance-20-10-22-9;1;1;	;-266,0;284,0;-1;34;4,490771055221558;1,9219067096710205;42,796808967501484;164109,0;562844,0;1026625,0;1753578,0;	;-464,0;284,0;-1;34;12,109508037567139;5,152207136154175;42,54679149780951;262731,0;954398,0;1763218,0;2980347,0
Instance-20-10-24-0;1;1;	;-201,0;279,0;-1;20;2,887352228164673;1,405238389968872;48,66875527902264;122768,0;402795,0;730782,0;1256345,0;	;-201,0;279,0;-1;20;2,887352228164673;1,405238389968872;48,66875527902264;122768,0;402795,0;730782,0;1256345,0
Instance-20-10-24-1;1;1;	;-284,0;388,0;-1;29;5,116763591766357;2,552391529083252;49,88292859944583;211203,0;749891,0;1386427,0;2347521,0;	;-308,0;388,0;-1;29;11,0676851272583;5,231079339981079;47,264439490581424;223011,0;797109,0;1475723,0;2495843,0
Instance-20-10-24-2;1;1;	;-369,0;351,0;-1;33;5,895510673522949;2,8239541053771973;47,900076206455275;233133,0;834974,0;1543408,0;2611515,0;	;-441,0;351,0;-1;33;13,452347040176392;6,132128715515137;45,584080586094736;268720,0;977708,0;1812987,0;3059415,0
Instance-20-10-24-3;1;1;	;-438,0;330,0;-1;35;6,351775169372559;3,156419038772583;49,693494410703146;257559,0;933310,0;1730542,0;2921411,0;	;-510,0;330,0;-1;35;13,964022159576416;6,898396015167236;49,4012107423961;293172,0;1076269,0;2000816,0;3370257,0
Instance-20-10-24-4;1;1;	;-351,0;297,0;-1;33;5,717796325683594;2,4046292304992676;42,055174643034896;201413,0;714165,0;1320173,0;2235751,0;	;-495,0;297,0;-1;33;13,896631240844727;5,752241134643555;41,3930616345109;272356,0;998303,0;1857612,0;3128271,0
Instance-20-10-24-5;1;1;	;-239,0;313,0;-1;33;4,192251920700073;1,6583302021026611;39,55702647339316;148536,0;499987,0;910508,0;1559031,0;	;-481,0;311,0;-1;31;12,399041891098022;4,912092924118042;39,61671367240652;265182,0;964412,0;1788397,0;3017991,0
Instance-20-10-24-6;1;1;	;-397,0;299,0;-1;42;6,918363809585571;2,780024528503418;40,18326594290434;227628,0;819901,0;1520474,0;2568003,0;	;-709,0;299,0;-1;42;19,028870105743408;7,758511304855347;40,77231733540304;382150,0;1440860,0;2695003,0;4518013,0
Instance-20-10-24-7;1;1;	;-435,0;381,0;-1;35;7,414565086364746;3,4659206867218018;46,74476043234914;280692,0;1027404,0;1908303,0;3216399,0;	;-459,0;381,0;-1;35;15,356281757354736;7,206899166107178;46,931277245258315;292571,0;1075102,0;1998455,0;3366128,0
Instance-20-10-24-8;1;1;	;-269,0;259,0;-1;24;3,6660990715026855;1,5719692707061768;42,878526740463876;142583,0;477006,0;868416,0;1488005,0;	;-317,0;259,0;-1;24;7,907271862030029;3,4863877296447754;44,0909050615305;165059,0;565112,0;1034391,0;1764562,0
Instance-20-10-24-9;1;1;	;-285,0;339,0;-1;31;4,721899032592773;2,1440486907958984;45,40649166779433;182548,0;633940,0;1162942,0;1979430,0;	;-405,0;339,0;-1;31;11,319778442382812;5,071836471557617;44,80508604804456;241090,0;867085,0;1603419,0;2711594,0
Instance-20-10-26-0;1;1;	;-559,0;299,0;-1;34;7,320216417312622;3,7200121879577637;50,818336178692434;289978,0;1068595,0;1994024,0;3352597,0;	;-585,0;299,0;-1;34;15,310354948043823;7,613744497299194;49,729379384976234;302685,0;1119940,0;2091397,0;3514022,0
Instance-20-10-26-1;1;1;	;-474,0;332,0;-1;36;8,106948137283325;3,274728536605835;40,39409752167492;266195,0;969120,0;1805556,0;3040871,0;	;-604,0;332,0;-1;36;17,828799962997437;7,528880834579468;42,2287582462375;329719,0;1225715,0;2291673,0;3847107,0
Instance-20-10-26-2;1;1;	;-236,0;336,0;-1;24;3,1983518600463867;1,598926067352295;49,99218776789321;143801,0;483955,0;881633,0;1509389,0;	;-288,0;336,0;-1;24;7,223372936248779;3,5348100662231445;48,93572708235153;167201,0;575875,0;1055438,0;1798514,0
Instance-20-10-26-3;1;1;	;-377,0;325,0;-1;27;4,992463827133179;2,5074639320373535;50,2249794662451;209662,0;739049,0;1364866,0;2313577,0;	;-377,0;325,0;-1;27;4,992463827133179;2,5074639320373535;50,2249794662451;209662,0;739049,0;1364866,0;2313577,0
Instance-20-10-26-4;1;1;	;-268,0;356,0;-1;25;4,200239181518555;1,9683313369750977;46,862363115794444;169457,0;581553,0;1068623,0;1819633,0;	;-294,0;356,0;-1;25;8,977549076080322;4,0864222049713135;45,51823855643551;181607,0;629598,0;1159683,0;1970888,0
Instance-20-10-26-5;1;1;	;-256,0;368,0;-1;29;4,529709339141846;2,000779151916504;44,17014430986762;173382,0;596626,0;1096719,0;1866727,0;	;-386,0;368,0;-1;29;10,834060668945312;4,865168571472168;44,90623340718091;235664,0;845366,0;1568056,0;2649086,0
Instance-20-10-26-6;1;1;	;-405,0;349,0;-1;33;6,29636549949646;2,759058952331543;43,819866438061666;229252,0;818374,0;1515866,0;2563492,0;	;-509,0;349,0;-1;33;14,192156314849854;6,264915466308594;44,14350664777661;279820,0;1022059,0;1902255,0;3204134,0
Instance-20-10-26-7;1;1;	;-557,0;353,0;-1;37;9,839162111282349;4,102396249771118;41,694569144937574;316462,0;1177507,0;2199547,0;3693516,0;	;-609,0;353,0;-1;37;19,904460191726685;8,5108003616333;42,758257594801925;341887,0;1280287,0;2394251,0;4016425,0
Instance-20-10-26-8;1;1;	;-381,0;347,0;-1;31;6,178554534912109;2,7345974445343018;44,25950162100822;225014,0;804572,0;1492148,0;2521734,0;	;-459,0;347,0;-1;31;13,124873876571655;5,9783759117126465;45,54996846395797;262959,0;957342,0;1781673,0;3001974,0
Instance-20-10-26-9;1;1;	;-340,0;388,0;-1;32;6,157588958740234;2,614790916442871;42,46452522186256;217823,0;769033,0;1420442,0;2407298,0;	;-444,0;388,0;-1;32;13,75436019897461;5,901500940322876;42,90640098812327;268325,0;972103,0;1805084,0;3045512,0
Instance-20-10-28-0;1;1;	;-296,0;432,0;-1;31;5,7866857051849365;2,375676155090332;41,05417636492162;202059,0;709211,0;1311045,0;2222315,0;	;-436,0;432,0;-1;31;13,8821542263031;5,676862478256226;40,89323879935029;268493,0;976786,0;1819970,0;3065249,0
