sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Instance-20-10-20-0;1;1;"	";-312;268;-1;31;2,28332448;0,977426291;42,8071568;98150;286379;461133;845662;"	";-352;268;-1;31;4,865168095;2,132067442;43,82309923;112519;344114;561012;1017645
Instance-20-10-20-1;1;1;"	";-331;289;-1;31;2,376674414;1,11220932;46,79687355;108469;319646;513720;941835;"	";-331;289;-1;31;2,376674414;1,11220932;46,79687355;108469;319646;513720;941835
Instance-20-10-20-2;1;1;"	";-154;246;-1;24;0,814189434;0,36191678;44,45117627;49697;106620;161772;318089;"	";-234;246;-1;24;2,215434551;0,974430561;43,98372141;71819;185519;289511;546849
Instance-20-10-20-3;1;1;"	";-376;244;-1;35;2,663212538;1,176605463;44,17993105;113887;347055;565236;1026178;"	";-456;244;-1;35;6,409183025;2,726111174;42,53445662;143467;468420;778159;1390046
Instance-20-10-20-4;1;1;"	";-198;262;-1;23;0,991404772;0,479727507;48,38866226;62294;144692;218877;425863;"	";-198;262;-1;23;0,991404772;0,479727507;48,38866226;62294;144692;218877;425863
Instance-20-10-20-5;1;1;"	";-205;275;-1;24;1,115204811;0,529647589;47,49330199;67144;161141;245310;473595;"	";-205;275;-1;24;1,115204811;0,529647589;47,49330199;67144;161141;245310;473595
Instance-20-10-20-6;1;1;"	";-191;249;-1;22;0,972434998;0,469744205;48,30597486;59761;139464;213191;412416;"	";-191;249;-1;22;0,972434998;0,469744205;48,30597486;59761;139464;213191;412416
Instance-20-10-20-7;1;1;"	";-276;324;-1;31;2,336239576;0,985913038;42,20085338;101793;298875;482264;882932;"	";-296;324;-1;31;4,968003273;2,086141586;41,99155016;109123;328165;532926;970214
Instance-20-10-20-8;1;1;"	";-251;269;-1;27;1,704755068;0,69038868;40,49782239;80100;215845;340664;636609;"	";-271;269;-1;27;3,561766624;1,469634533;41,26139323;86613;240889;382963;710465
Instance-20-10-20-9;1;1;"	";-305;295;-1;30;2,222422361;1,049809933;47,23719267;104734;309964;501859;916557;"	";-305;295;-1;30;2,222422361;1,049809933;47,23719267;104734;309964;501859;916557
Instance-20-10-22-0;1;1;"	";-374;330;-1;32;2,812472582;1,335351229;47,47961766;127188;399795;656304;1183287;"	";-374;330;-1;32;2,812472582;1,335351229;47,47961766;127188;399795;656304;1183287
Instance-20-10-22-1;1;1;"	";-277;317;-1;33;2,170006752;0,803207397;37,01405061;90540;248564;393080;732184;"	";-409;317;-1;33;5,69583106;2,2339046;39,219994;135662;431970;711474;1279106
