sep=;
instance;solved;makespan;cost;wall_time;cpu_time
Instance-20-10-20-0.cpf;1;29;270;0,213;0,2
Instance-20-10-20-1.cpf;1;31;290;0,045;0,04
Instance-20-10-20-2.cpf;1;20;249;0,906;0,88
Instance-20-10-20-3.cpf;1;31;245;0,346;0,32
Instance-20-10-20-4.cpf;1;23;264;0,076;0,07
Instance-20-10-20-5.cpf;1;24;275;0,018;0,01
Instance-20-10-20-6.cpf;1;22;252;0,113;0,09
Instance-20-10-20-7.cpf;1;30;329;1,03;1,01
Instance-20-10-20-8.cpf;1;27;273;0,54;0,5
Instance-20-10-20-9.cpf;1;30;295;0,022;0,03
Instance-20-10-22-0.cpf;1;32;332;0,103;0,1
Instance-20-10-22-1.cpf;1;27;318;1,436;1,42
Instance-20-10-22-2.cpf;1;25;311;0,455;0,45
Instance-20-10-22-3.cpf;1;26;270;0,218;0,21
Instance-20-10-22-4.cpf;1;28;344;4,431;4,3
Instance-20-10-22-5.cpf;1;26;306;0,549;0,53
Instance-20-10-22-6.cpf;1;27;316;4,062;3,8
Instance-20-10-22-7.cpf;1;26;268;0,267;0,24
Instance-20-10-22-8.cpf;1;28;298;1,809;1,48
Instance-20-10-22-9.cpf;1;25;290;15,391;14,57
Instance-20-10-24-0.cpf;1;20;283;0,279;0,26
Instance-20-10-24-1.cpf;1;28;390;0,295;0,27
Instance-20-10-24-2.cpf;1;30;354;1,04;1,01
Instance-20-10-24-3.cpf;1;32;332;0,557;0,53
Instance-20-10-24-4.cpf;1;27;304;10,917;10,56
Instance-20-10-24-5.cpf;1;24;316;9,406;8,85
Instance-20-10-24-6.cpf;1;30;303;25,682;24,73
Instance-20-10-24-7.cpf;1;34;386;1,543;1,53
Instance-20-10-24-8.cpf;1;23;269;10,71;10,14
Instance-20-10-24-9.cpf;1;26;341;1,203;1,18
Instance-20-10-26-0.cpf;1;33;302;0,342;0,34
Instance-20-10-26-1.cpf;1;31;333;0,77;0,74
Instance-20-10-26-2.cpf;1;22;340;0,849;0,81
Instance-20-10-26-3.cpf;1;27;331;1,269;1,26
