sep=;
instance;solved;makespan;cost;wall_time;cpu_time
Instance-20-0.mpf; 1; 0; 268; 0,129; 0,120
Instance-20-1.mpf; 1; 0; 289; 0,025; 0,010
Instance-20-2.mpf; 1; 0; 248; 0,409; 0,400
Instance-20-3.mpf; 1; 0; 244; 0,195; 0,180
Instance-20-4.mpf; 1; 0; 264; 0,051; 0,050
Instance-20-5.mpf; 1; 0; 275; 0,007; 0,010
Instance-20-6.mpf; 1; 0; 249; 0,062; 0,070
Instance-20-7.mpf; 1; 0; 325; 0,540; 0,520
Instance-20-8.mpf; 1; 0; 270; 0,339; 0,320
Instance-20-9.mpf; 1; 0; 295; 0,014; 0,010
Instance-22-0.mpf; 1; 0; 330; 0,066; 0,050
Instance-22-1.mpf; 1; 0; 317; 0,694; 0,690
Instance-22-2.mpf; 1; 0; 308; 0,324; 0,320
Instance-22-3.mpf; 1; 0; 270; 0,170; 0,150
Instance-22-4.mpf; 1; 0; 340; 2,567; 2,410
Instance-22-5.mpf; 1; 0; 305; 0,394; 0,370
Instance-22-6.mpf; 1; 0; 310; 2,400; 2,340
Instance-22-7.mpf; 1; 0; 268; 0,150; 0,140
Instance-22-8.mpf; 1; 0; 295; 0,799; 0,740
Instance-22-9.mpf; 1; 0; 287; 9,258; 8,660
Instance-24-0.mpf; 1; 0; 279; 0,252; 0,250
Instance-24-1.mpf; 1; 0; 387; 0,284; 0,280
Instance-24-2.mpf; 1; 0; 350; 0,786; 0,720
Instance-24-3.mpf; 1; 0; 331; 0,425; 0,400
Instance-24-4.mpf; 1; 0; 297; 6,714; 6,540
Instance-24-5.mpf; 1; 0; 311; 4,237; 4,170
Instance-24-6.mpf; 1; 0; 300; 12,057; 11,960
Instance-24-7.mpf; 1; 0; 382; 1,220; 1,200
Instance-24-8.mpf; 1; 0; 263; 6,433; 6,350
Instance-24-9.mpf; 1; 0; 338; 0,605; 0,570
Instance-26-0.mpf; 1; 0; 300; 0,247; 0,230
Instance-26-1.mpf; 1; 0; 331; 0,493; 0,460
Instance-26-2.mpf; 1; 0; 336; 0,548; 0,520
