Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;EPEA*/SIC Success;EPEA*/SIC Runtime;EPEA*/SIC Solution Cost;EPEA*/SIC Expanded;EPEA*/SIC Generated;EPEA*/SIC Reopened;EPEA*/SIC BPMX boosts;EPEA*/SIC Closed List Hits;EPEA*/SIC Reopened With Old H;EPEA*/SIC H Updated From Other Area;EPEA*/SIC Max expansion delay;EPEA*/SIC Quick Insertions;EPEA*/SIC Quick Insertions Cancelled;EPEA*/SIC Expanded Full States;EPEA*/SIC Solution Depth;Makespan;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;
9x21_left2_right2;9;21;4;90;0;1;37.1293;92;27;40;0;0;0;0;0;0;26;11;27;0;28;1;84.3963;92;1;1;3;0;28;
9x21_left2_right2;9;21;4;90;1;1;248.7206;92;3786;2384;0;0;9256;0;0;3589;2336;45;2379;4;28;1;56.3754;92;20;39;38;4;28;
9x21_left2_right2;9;21;4;90;2;1;0.995899999999949;90;24;32;0;0;0;0;0;0;23;6;24;0;25;1;1.13839999999999;90;1;1;4;0;25;
9x21_left2_right2;9;21;4;90;3;1;65.4883;87;1108;732;0;0;2291;0;0;1072;721;8;730;4;27;1;43.7339000000001;87;18;37;33;4;25;
9x21_left2_right2;9;21;4;90;4;1;0.969899999999939;86;23;31;0;0;0;0;0;0;22;4;23;0;24;1;1.64280000000008;86;1;1;4;0;24;
9x21_left2_right2;9;21;4;90;5;1;1.88260000000002;100;47;75;0;0;1;0;0;17;42;24;47;0;29;1;1.27059999999994;100;1;1;3;0;29;
9x21_left2_right2;9;21;4;90;6;1;29.5242000000001;89;563;439;0;0;862;0;0;532;401;35;419;2;26;1;6.29089999999997;89;4;9;7;2;26;
9x21_left2_right2;9;21;4;90;7;1;86.0379;95;1705;1180;0;0;2460;0;0;1605;1100;77;1172;3;28;1;18.0522999999999;95;8;15;15;3;28;
9x21_left2_right2;9;21;4;90;8;1;10.7817;88;238;185;0;0;211;0;0;200;166;16;179;2;24;1;7.34270000000004;88;5;9;7;2;24;
9x21_left2_right2;9;21;4;90;9;1;644.4309;85;7589;3936;0;0;29524;0;0;7523;3929;4;3933;6;26;1;123.4804;85;47;93;92;6;26;
9x21_left2_right2;9;21;6;90;0;1;7.69809999999984;140;114;135;0;0;21;0;0;81;89;37;114;0;27;1;3.48360000000002;140;1;1;5;0;27;
9x21_left2_right2;9;21;6;90;1;1;1533.5506;133;12116;8291;0;0;37882;0;0;12080;8133;155;8270;4;26;1;68.4958000000001;133;28;57;50;4;26;
9x21_left2_right2;9;21;6;90;2;1;503.5123;143;5467;4271;0;0;9702;0;0;5376;4097;161;4261;2;26;1;17.8249999999998;143;8;15;20;2;26;
9x21_left2_right2;9;21;6;90;3;0;300004.3192;-2;384588;204421;0;0;6122092;0;0;383826;203321;1091;204421;8;-1;1;8676.36689999996;140;267;528;396;11;28;
9x21_left2_right2;9;21;6;90;4;1;576.547099999967;139;5278;4113;0;0;11819;0;0;5216;3966;122;4100;2;27;1;6.62679999996908;139;3;5;8;2;27;
9x21_left2_right2;9;21;6;90;5;1;5.61560000001919;140;80;106;0;0;27;0;0;51;59;34;80;0;28;1;4.20799999998417;140;1;1;6;0;28;
9x21_left2_right2;9;21;6;90;6;1;310.259900000005;134;2930;2325;0;0;5596;0;0;2783;2071;237;2290;2;25;1;6.56719999999041;134;3;5;8;2;25;
9x21_left2_right2;9;21;6;90;7;1;4.82079999998678;135;74;84;0;0;4;0;0;26;61;18;73;1;27;1;2.74849999998696;135;2;3;5;1;27;
9x21_left2_right2;9;21;6;90;8;1;329.426700000011;127;2869;2084;0;0;8571;0;0;2623;1979;98;2077;4;24;1;9.78519999998389;127;5;9;12;4;24;
9x21_left2_right2;9;21;6;90;9;1;40716.3667;141;166328;102796;0;0;944288;0;0;165355;102404;371;102787;5;26;1;2389.3983;141;181;359;246;5;26;
9x21_left2_right2;9;21;8;90;0;1;6407.125;186;32209;24841;0;0;120404;0;0;31957;23733;1091;24832;3;29;1;19.3450000000303;186;7;12;15;3;29;
9x21_left2_right2;9;21;8;90;1;1;3707.19629999995;178;19986;14902;0;0;49509;0;0;19808;14105;792;14894;4;26;1;16.8192000000272;178;8;17;15;4;26;
9x21_left2_right2;9;21;8;90;2;0;300003.6742;-2;495735;344355;0;0;3580169;0;0;459655;340435;3879;344342;5;-1;1;156.48629999999;188;49;97;93;6;27;
9x21_left2_right2;9;21;8;90;3;1;4924.27830000001;184;26905;19212;0;0;60815;0;0;26549;17906;1297;19207;3;27;1;35.1330999999773;184;11;21;21;3;27;
9x21_left2_right2;9;21;8;90;4;1;84517.2105;186;266907;200456;0;0;1118457;0;0;264901;193345;7102;200453;6;28;1;54.5253999999259;186;21;33;30;6;28;
9x21_left2_right2;9;21;8;90;5;1;123322.7064;188;341403;245497;0;0;1691405;0;0;338102;242809;2679;245475;4;28;1;56.2574000000022;188;20;39;40;4;28;
9x21_left2_right2;9;21;8;90;6;1;20.5918999999994;184;223;250;0;0;29;0;0;150;180;65;223;0;28;1;2.55729999998584;184;1;1;6;0;28;
9x21_left2_right2;9;21;8;90;7;1;32521.498;186;131969;92110;0;0;463909;0;0;131347;90747;1338;92107;4;29;1;31.3440999999875;186;12;23;23;4;29;
9x21_left2_right2;9;21;8;90;8;0;300004.0824;-2;463768;302451;0;0;3062327;0;0;461877;294005;8413;302451;7;-1;1;902.59580000001;186;311;575;470;10;28;
9x21_left2_right2;9;21;8;90;9;1;27147.8869999999;181;109336;81737;0;0;473742;0;0;106951;79228;2489;81718;5;28;1;85.0764999999665;181;35;63;66;5;28;
9x21_left2_right2;9;21;10;90;0;0;300005.992;-2;532079;389355;0;0;2302464;0;0;526992;386241;3105;389355;4;-1;1;2683.16240000003;239;240;479;365;9;28;
9x21_left2_right2;9;21;10;90;1;0;300003.0356;-2;414785;310208;0;0;1939414;0;0;413911;297292;12883;310186;5;-1;0;300001.9802;-2;677;1341;953;8;-1;
9x21_left2_right2;9;21;10;90;2;0;300049.8463;-2;427852;293469;0;0;2375011;0;0;427137;284766;8690;293469;5;-1;0;300001.7792;-2;267;477;466;11;-1;
9x21_left2_right2;9;21;10;90;3;0;300004.7806;-2;629204;441987;0;0;1620207;0;0;628523;406564;35390;441987;5;-1;1;8300.53439999977;236;306;609;443;9;27;
9x21_left2_right2;9;21;10;90;4;0;300003.1954;-2;413747;297334;0;0;2546504;0;0;407982;289017;8304;297328;5;-1;1;842.697600000072;232;222;419;417;10;27;
9x21_left2_right2;9;21;10;90;5;0;300003.4084;-2;407031;300609;0;0;2047691;0;0;406191;284288;16316;300606;7;-1;0;300004.873;-1;558;1094;900;-1;-1;
9x21_left2_right2;9;21;10;90;6;0;300002.5114;-2;288412;200835;0;0;2777803;0;0;283454;196133;4677;200794;6;-1;1;56091.6543999994;221;426;815;682;12;27;
9x21_left2_right2;9;21;10;90;7;0;300005.0478;-2;438250;344631;0;0;2616744;0;0;425002;335968;8614;344631;3;-1;1;168.131500000134;230;57;112;117;7;27;
9x21_left2_right2;9;21;10;90;8;0;300004.1671;-2;519942;383515;0;0;1922590;0;0;518719;371857;11641;383515;5;-1;1;124.916399999522;235;39;77;78;6;27;
9x21_left2_right2;9;21;10;90;9;0;300005.5849;-2;437048;325205;0;0;2615931;0;0;432846;293842;31338;325205;6;-1;0;300002.4892;-2;535;1059;773;7;-1;
9x21_left2_right2;9;21;12;90;0;0;300003.0891;-2;395809;316004;0;0;2045622;0;0;394562;272906;43049;316004;6;-1;0;300004.215;-2;770;1529;1023;12;-1;
9x21_left2_right2;9;21;12;90;1;0;300002.4176;-2;252990;200738;0;0;2315446;0;0;252473;187040;13617;200738;4;-1;0;300005.5625;-1;757;1503;1009;-1;-1;
9x21_left2_right2;9;21;12;90;2;0;300182.0962;-2;457237;372706;0;0;1129499;0;0;456283;361217;11448;372067;3;-1;0;300000.7769;-2;526;1041;788;5;-1;
9x21_left2_right2;9;21;12;90;3;0;300003.9408;-2;578055;476252;0;0;1340936;0;0;577661;436359;39884;476252;6;-1;0;300009.753199999;-2;698;1337;952;7;-1;
9x21_left2_right2;9;21;12;90;4;0;300002.8032;-2;195143;150451;0;0;2536594;0;0;194296;128394;21768;150451;4;-1;0;300001.610199999;-1;649;1273;960;-1;-1;
9x21_left2_right2;9;21;12;90;5;0;300009.4175;-2;445768;363774;0;0;2417538;0;0;444523;335357;27904;363336;4;-1;0;300003.459799999;-1;850;1643;1171;-1;-1;
9x21_left2_right2;9;21;12;90;6;0;300004.739399999;-2;389261;305091;0;0;2252816;0;0;387809;296066;8928;305091;4;-1;0;300003.2283;-1;649;1280;933;-1;-1;
9x21_left2_right2;9;21;12;90;7;0;300002.6481;-2;346510;258870;0;0;1852697;0;0;339278;244846;14019;258870;7;-1;0;300001.694599999;-2;451;885;699;10;-1;
9x21_left2_right2;9;21;12;90;8;0;300005.865200002;-2;234516;153566;0;0;1787080;0;0;230158;149071;4404;153566;6;-1;0;300000.704600001;-2;680;1347;1005;15;-1;
9x21_left2_right2;9;21;12;90;9;0;300003.607000001;-2;500702;407489;0;0;1313477;0;0;489858;383987;23493;407489;5;-1;0;300005.4427;-2;769;1491;1005;7;-1;
9x21_left2_right2;9;21;14;90;0;0;300002.385199999;-2;246688;191511;0;0;1679907;0;0;243988;137204;54274;191511;6;-1;0;300000.6467;-2;561;1093;983;21;-1;
