sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Release\Instances\9x21_left2_right2-4-0;1;1;	;-16,0;92,0;-1;27;0,1696920394897461;0,05920910835266113;34,89209542810577;6935,0;8726,0;12756,0;28417,0;	;-16,0;92,0;-1;27;0,1696920394897461;0,05920910835266113;34,89209542810577;6935,0;8726,0;12756,0;28417,0
Release\Instances\9x21_left2_right2-4-1;1;1;	;-16,0;92,0;-1;30;0,10352373123168945;0,048027753829956055;46,39298956726008;8371,0;11320,0;15953,0;35644,0;	;-28,0;92,0;-1;33;0,296952486038208;0,12836241722106934;43,22658447269349;12208,0;19948,0;27969,0;60125,0
Release\Instances\9x21_left2_right2-4-2;1;1;	;-6,0;90,0;-1;24;0,04320955276489258;0,021435260772705078;49,60768950638401;4318,0;3738,0;6026,0;14082,0;	;-6,0;90,0;-1;24;0,04320955276489258;0,021435260772705078;49,60768950638401;4318,0;3738,0;6026,0;14082,0
Release\Instances\9x21_left2_right2-4-3;1;1;	;-9,0;87,0;-1;27;0,11812376976013184;0,057229042053222656;48,44837086509758;5106,0;5125,0;7818,0;18049,0;	;-21,0;87,0;-1;30;0,23175621032714844;0,10809564590454102;46,64196301447653;8569,0;12346,0;17579,0;38494,0
Release\Instances\9x21_left2_right2-4-4;1;1;	;-6,0;86,0;-1;23;0,0403904914855957;0,01976799964904785;48,942211203588926;4009,0;3231,0;5327,0;12567,0;	;-6,0;86,0;-1;23;0,0403904914855957;0,01976799964904785;48,942211203588926;4009,0;3231,0;5327,0;12567,0
Release\Instances\9x21_left2_right2-4-5;1;1;	;-12,0;100,0;-1;28;0,09061241149902344;0,047477006912231445;52,395699581114364;8425,0;10882,0;15313,0;34620,0;	;-12,0;100,0;-1;28;0,09061241149902344;0,047477006912231445;52,395699581114364;8425,0;10882,0;15313,0;34620,0
Release\Instances\9x21_left2_right2-4-6;1;1;	;-11,0;89,0;-1;26;0,06629681587219238;0,03254103660583496;49,083860480672065;6066,0;6768,0;9916,0;22750,0;	;-15,0;89,0;-1;27;0,14676785469055176;0,07088923454284668;48,30024578087003;7354,0;9480,0;13491,0;30325,0
Release\Instances\9x21_left2_right2-4-7;1;1;	;-13,0;95,0;-1;29;0,08809494972229004;0,04150795936584473;47,11729729876021;7193,0;9423,0;13561,0;30177,0;	;-21,0;95,0;-1;31;0,2233738899230957;0,10073542594909668;45,09722509814302;9766,0;14829,0;21013,0;45608,0
Release\Instances\9x21_left2_right2-4-8;1;1;	;-4,0;88,0;-1;24;0,06450867652893066;0,030210018157958984;46,83093776448891;3908,0;3025,0;5043,0;11976,0;	;-8,0;88,0;-1;25;0,11685681343078613;0,05453824996948242;46,67100562500382;4979,0;5137,0;7802,0;17918,0
Release\Instances\9x21_left2_right2-4-9;1;1;	;-15,0;85,0;-1;30;0,2629835605621338;0,12403607368469238;47,164953360416234;7029,0;8742,0;12608,0;28379,0;	;-35,0;85,0;-1;35;0,4737064838409424;0,2080984115600586;43,92982124136015;12716,0;20860,0;29327,0;62903,0
