sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Release%5CInstances%5C9x21_left2_right2-4-0;1;1;	;-16,0;92,0;-1;27;0,06297969818115234;0,02899003028869629;46,03075455412711;6935,0;8726,0;12756,0;28417,0;	;-16,0;92,0;-1;27;0,06297969818115234;0,02899003028869629;46,03075455412711;6935,0;8726,0;12756,0;28417,0
Release%5CInstances%5C9x21_left2_right2-4-1;1;1;	;-16,0;92,0;-1;30;0,07597470283508301;0,03198981285095215;42,10587426763865;8371,0;11320,0;15953,0;35644,0;	;-28,0;92,0;-1;33;0,1979351043701172;0,08297300338745117;41,91929655504698;12208,0;19948,0;27969,0;60125,0
Release%5CInstances%5C9x21_left2_right2-4-2;1;1;	;-6,0;90,0;-1;24;0,0389862060546875;0,017994403839111328;46,15582191780822;4318,0;3738,0;6026,0;14082,0;	;-6,0;90,0;-1;24;0,0389862060546875;0,017994403839111328;46,15582191780822;4318,0;3738,0;6026,0;14082,0
Release%5CInstances%5C9x21_left2_right2-4-3;1;1;	;-9,0;87,0;-1;27;0,08997058868408203;0,04298543930053711;47,777212452698194;5106,0;5125,0;7818,0;18049,0;	;-21,0;87,0;-1;30;0,17394280433654785;0,0759735107421875;43,67729440258564;8569,0;12346,0;17579,0;38494,0
Release%5CInstances%5C9x21_left2_right2-4-4;1;1;	;-6,0;86,0;-1;23;0,0349884033203125;0,014995336532592773;42,858018970780634;4009,0;3231,0;5327,0;12567,0;	;-6,0;86,0;-1;23;0,0349884033203125;0,014995336532592773;42,858018970780634;4009,0;3231,0;5327,0;12567,0
Release%5CInstances%5C9x21_left2_right2-4-5;1;1;	;-12,0;100,0;-1;28;0,0679776668548584;0,03199005126953125;47,05964877822944;8425,0;10882,0;15313,0;34620,0;	;-12,0;100,0;-1;28;0,0679776668548584;0,03199005126953125;47,05964877822944;8425,0;10882,0;15313,0;34620,0
Release%5CInstances%5C9x21_left2_right2-4-6;1;1;	;-11,0;89,0;-1;26;0,04798460006713867;0,023992300033569336;50,0;6066,0;6768,0;9916,0;22750,0;	;-15,0;89,0;-1;27;0,11096382141113281;0,04998373985290527;45,04507795176788;7354,0;9480,0;13491,0;30325,0
Release%5CInstances%5C9x21_left2_right2-4-7;1;1;	;-13,0;95,0;-1;29;0,0619807243347168;0,02799081802368164;45,160520991206546;7193,0;9423,0;13561,0;30177,0;	;-21,0;95,0;-1;31;0,15394902229309082;0,0679771900177002;44,155649061729044;9766,0;14829,0;21013,0;45608,0
Release%5CInstances%5C9x21_left2_right2-4-8;1;1;	;-4,0;88,0;-1;24;0,05698060989379883;0,022992849349975586;40,352059047507474;3908,0;3025,0;5043,0;11976,0;	;-8,0;88,0;-1;25;0,09796738624572754;0,03998732566833496;40,81697716017084;4979,0;5137,0;7802,0;17918,0
Release%5CInstances%5C9x21_left2_right2-4-9;1;1;	;-15,0;85,0;-1;30;0,1829395294189453;0,08497238159179688;46,44834381157924;7029,0;8742,0;12608,0;28379,0;	;-35,0;85,0;-1;35;0,3248927593231201;0,14095377922058105;43,38470931585039;12716,0;20860,0;29327,0;62903,0
Release%5CInstances%5C9x21_left2_right2-6-0;1;1;	;-16,0;140,0;-1;26;0,07997274398803711;0,031989097595214844;40,0;8599,0;10383,0;14796,0;33778,0;	;-16,0;140,0;-1;26;0,07997274398803711;0,031989097595214844;40,0;8599,0;10383,0;14796,0;33778,0
Release%5CInstances%5C9x21_left2_right2-6-1;1;1;	;-17,0;133,0;-1;28;0,18293976783752441;0,08097267150878906;44,26192974110686;7861,0;9973,0;14610,0;32444,0;	;-35,0;133,0;-1;31;0,35288310050964355;0,14095234870910645;39,94307137563096;12124,0;19942,0;28692,0;60758,0
Release%5CInstances%5C9x21_left2_right2-6-2;1;1;	;-7,0;143,0;-1;26;0,05698132514953613;0,025991201400756836;45,61354326623347;6916,0;6933,0;10150,0;23999,0;	;-13,0;143,0;-1;27;0,12595820426940918;0,05498218536376953;43,65113466223238;8450,0;10271,0;14615,0;33336,0
Release%5CInstances%5C9x21_left2_right2-6-3;1;1;	;-15,0;141,0;-1;37;0,2019333839416504;0,09196996688842773;45,544706424076416;9468,0;13122,0;18716,0;41306,0;	;-82,0;140,0;-1;47;1,2285964488983154;0,24791908264160156;20,179049260960426;24726,0;54332,0;80155,0;159213,0
Release%5CInstances%5C9x21_left2_right2-6-4;1;1;	;-17,0;139,0;-1;27;0,08097362518310547;0,032989501953125;40,741046085717315;8117,0;10207,0;14885,0;33209,0;	;-23,0;139,0;-1;28;0,17794156074523926;0,0719764232635498;40,44947282810404;9789,0;14068,0;20176,0;44033,0
Release%5CInstances%5C9x21_left2_right2-6-5;1;1;	;-22,0;140,0;-1;27;0,10996365547180176;0,0389864444732666;35,45393639925329;9528,0;13705,0;19700,0;42933,0;	;-22,0;140,0;-1;27;0,10996365547180176;0,0389864444732666;35,45393639925329;9528,0;13705,0;19700,0;42933,0
Release%5CInstances%5C9x21_left2_right2-6-6;1;1;	;-10,0;134,0;-1;25;0,05098319053649902;0,023992538452148438;47,05970379584641;6127,0;6391,0;9727,0;22245,0;	;-16,0;134,0;-1;26;0,12295937538146973;0,05098366737365723;41,463830810367455;7564,0;9370,0;13734,0;30668,0
Release%5CInstances%5C9x21_left2_right2-6-7;1;1;	;-21,0;135,0;-1;26;0,08897089958190918;0,036988258361816406;41,57343416289047;8792,0;11975,0;17291,0;38058,0;	;-21,0;135,0;-1;26;0,08897089958190918;0,036988258361816406;41,57343416289047;8792,0;11975,0;17291,0;38058,0
Release%5CInstances%5C9x21_left2_right2-6-8;1;1;	;-11,0;127,0;-1;26;0,04598498344421387;0,02199244499206543;47,825275437459496;6001,0;5838,0;8994,0;20833,0;	;-29,0;127,0;-1;29;0,15594863891601562;0,05898022651672363;37,82028937648296;9959,0;14382,0;20615,0;44956,0
Release%5CInstances%5C9x21_left2_right2-6-9;1;1;	;-9,0;141,0;-1;29;0,07097625732421875;0,02799057960510254;39,43653928840159;7314,0;8319,0;12202,0;27835,0;	;-33,0;141,0;-1;33;0,29790163040161133;0,09496903419494629;31,879326765320247;13588,0;23508,0;33646,0;70742,0
Release%5CInstances%5C9x21_left2_right2-8-0;1;1;	;-38,0;186,0;-1;30;0,2739102840423584;0,06697797775268555;24,452523930181407;13156,0;21915,0;31788,0;66859,0;	;-54,0;186,0;-1;32;0,718764066696167;0,15195035934448242;21,14050581895801;16597,0;31544,0;46121,0;94262,0
Release%5CInstances%5C9x21_left2_right2-8-1;1;1;	;-22,0;178,0;-1;28;0,1029653549194336;0,03898787498474121;37,86504209619606;9728,0;12782,0;18482,0;40992,0;	;-46,0;178,0;-1;31;0,4448540210723877;0,1069650650024414;24,044981035483502;14392,0;25143,0;36418,0;75953,0
