sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Release\Instances\9x21_left2_right2-4-0;1;1;	;-16,0;92,0;-1;27;0,0859229564666748;0,039977073669433594;46,5266505173605;6935,0;8726,0;12756,0;28417,0;	;-16,0;92,0;-1;27;0,0859229564666748;0,039977073669433594;46,5266505173605;6935,0;8726,0;12756,0;28417,0
Release\Instances\9x21_left2_right2-4-1;1;1;	;-16,0;92,0;-1;30;0,10449099540710449;0,04818415641784668;46,11321409095368;8371,0;11320,0;15953,0;35644,0;	;-28,0;92,0;-1;33;0,31282520294189453;0,12845706939697266;41,06352946914984;12208,0;19948,0;27969,0;60125,0
Release\Instances\9x21_left2_right2-4-2;1;1;	;-6,0;90,0;-1;24;0,04375481605529785;0,021451473236083984;49,02654192163295;4318,0;3738,0;6026,0;14082,0;	;-6,0;90,0;-1;24;0,04375481605529785;0,021451473236083984;49,02654192163295;4318,0;3738,0;6026,0;14082,0
Release\Instances\9x21_left2_right2-4-3;1;1;	;-9,0;87,0;-1;27;0,11908698081970215;0,05716824531555176;48,00545359538887;5106,0;5125,0;7818,0;18049,0;	;-21,0;87,0;-1;30;0,2419297695159912;0,10798072814941406;44,63308850557835;8569,0;12346,0;17579,0;38494,0
Release\Instances\9x21_left2_right2-4-4;1;1;	;-6,0;86,0;-1;23;0,04320406913757324;0,019707679748535156;45,615332402558344;4009,0;3231,0;5327,0;12567,0;	;-6,0;86,0;-1;23;0,04320406913757324;0,019707679748535156;45,615332402558344;4009,0;3231,0;5327,0;12567,0
Release\Instances\9x21_left2_right2-4-5;1;1;	;-12,0;100,0;-1;28;0,08989381790161133;0,04732966423034668;52,650633085969204;8425,0;10882,0;15313,0;34620,0;	;-12,0;100,0;-1;28;0,08989381790161133;0,04732966423034668;52,650633085969204;8425,0;10882,0;15313,0;34620,0
Release\Instances\9x21_left2_right2-4-6;1;1;	;-11,0;89,0;-1;26;0,06502699851989746;0,03263378143310547;50,18497266657622;6066,0;6768,0;9916,0;22750,0;	;-15,0;89,0;-1;27;0,1574258804321289;0,07089066505432129;45,0311377390609;7354,0;9480,0;13491,0;30325,0
Release\Instances\9x21_left2_right2-4-7;1;1;	;-13,0;95,0;-1;29;0,09295940399169922;0,04170060157775879;44,8589381892793;7193,0;9423,0;13561,0;30177,0;	;-21,0;95,0;-1;31;0,23594880104064941;0,10109710693359375;42,84705261807059;9766,0;14829,0;21013,0;45608,0
Release\Instances\9x21_left2_right2-4-8;1;1;	;-4,0;88,0;-1;24;0,06697869300842285;0,030417442321777344;45,41360984448028;3908,0;3025,0;5043,0;11976,0;	;-8,0;88,0;-1;25;0,12160897254943848;0,054805755615234375;45,067197317988885;4979,0;5137,0;7802,0;17918,0
Release\Instances\9x21_left2_right2-4-9;1;1;	;-15,0;85,0;-1;30;0,2581450939178467;0,12384963035583496;47,976751553236745;7029,0;8742,0;12608,0;28379,0;	;-35,0;85,0;-1;35;0,46876978874206543;0,2090146541595459;44,58791056489213;12716,0;20860,0;29327,0;62903,0
Release\Instances\9x21_left2_right2-6-0;1;1;	;-16,0;140,0;-1;26;0,10816025733947754;0,04683876037597656;43,30496388240454;8599,0;10383,0;14796,0;33778,0;	;-16,0;140,0;-1;26;0,10816025733947754;0,04683876037597656;43,30496388240454;8599,0;10383,0;14796,0;33778,0
Release\Instances\9x21_left2_right2-6-1;1;1;	;-17,0;133,0;-1;28;0,24213218688964844;0,10163593292236328;41,97539130503281;7861,0;9973,0;14610,0;32444,0;	;-35,0;133,0;-1;31;0,5436573028564453;0,1859276294708252;34,19941726045756;12124,0;19942,0;28692,0;60758,0
Release\Instances\9x21_left2_right2-6-2;1;1;	;-7,0;143,0;-1;26;0,07462263107299805;0,034769296646118164;46,593501389820766;6916,0;6933,0;10150,0;23999,0;	;-13,0;143,0;-1;27;0,17331457138061523;0,0781409740447998;45,08621140296093;8450,0;10271,0;14615,0;33336,0
Release\Instances\9x21_left2_right2-6-3;1;1;	;-15,0;141,0;-1;37;0,3132760524749756;0,13058233261108398;41,68283262619152;9468,0;13122,0;18716,0;41306,0;	;-82,0;140,0;-1;47;2,2135348320007324;0,37900304794311523;17,122072915407813;24726,0;54332,0;80155,0;159213,0
Release\Instances\9x21_left2_right2-6-4;1;1;	;-17,0;139,0;-1;27;0,11908388137817383;0,04663443565368652;39,16099736923243;8117,0;10207,0;14885,0;33209,0;	;-23,0;139,0;-1;28;0,2960367202758789;0,10440325736999512;35,266995686447586;9789,0;14068,0;20176,0;44033,0
Release\Instances\9x21_left2_right2-6-5;1;1;	;-22,0;140,0;-1;27;0,15656065940856934;0,05934953689575195;37,90833349830887;9528,0;13705,0;19700,0;42933,0;	;-22,0;140,0;-1;27;0,15656065940856934;0,05934953689575195;37,90833349830887;9528,0;13705,0;19700,0;42933,0
Release\Instances\9x21_left2_right2-6-6;1;1;	;-10,0;134,0;-1;25;0,07138895988464355;0,03263115882873535;45,70897080089638;6127,0;6391,0;9727,0;22245,0;	;-16,0;134,0;-1;26;0,18378281593322754;0,0731353759765625;39,79445826052325;7564,0;9370,0;13734,0;30668,0
Release\Instances\9x21_left2_right2-6-7;1;1;	;-21,0;135,0;-1;26;0,14891958236694336;0,053137779235839844;35,68219732506796;8792,0;11975,0;17291,0;38058,0;	;-21,0;135,0;-1;26;0,14891958236694336;0,053137779235839844;35,68219732506796;8792,0;11975,0;17291,0;38058,0
Release\Instances\9x21_left2_right2-6-8;1;1;	;-11,0;127,0;-1;26;0,06489801406860352;0,03071451187133789;47,32735248087817;6001,0;5838,0;8994,0;20833,0;	;-29,0;127,0;-1;29;0,23370647430419922;0,09064936637878418;38,787700104872705;9959,0;14382,0;20615,0;44956,0
Release\Instances\9x21_left2_right2-6-9;1;1;	;-9,0;141,0;-1;29;0,09650301933288574;0,03988146781921387;41,32665288082162;7314,0;8319,0;12202,0;27835,0;	;-33,0;141,0;-1;33;0,4624795913696289;0,13845562934875488;29,93767334439988;13588,0;23508,0;33646,0;70742,0
Release\Instances\9x21_left2_right2-8-0;1;1;	;-38,0;186,0;-1;30;0,3921082019805908;0,09542393684387207;24,336123641860343;13156,0;21915,0;31788,0;66859,0;	;-54,0;186,0;-1;32;1,183300495147705;0,22965574264526367;19,408066132567363;16597,0;31544,0;46121,0;94262,0
Release\Instances\9x21_left2_right2-8-1;1;1;	;-22,0;178,0;-1;28;0,15266871452331543;0,0569915771484375;37,330226645573674;9728,0;12782,0;18482,0;40992,0;	;-46,0;178,0;-1;31;0,565476655960083;0,16498184204101562;29,175712260111702;14392,0;25143,0;36418,0;75953,0
Release\Instances\9x21_left2_right2-8-2;1;1;	;-20,0;188,0;-1;31;0,1959388256072998;0,060845375061035156;31,053250866666588;9817,0;13428,0;19560,0;42805,0;	;-60,0;188,0;-1;36;1,637709140777588;0,22226428985595703;13,571658380707666;18547,0;37131,0;54631,0;110309,0
