sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
Release%5CInstances%5C9x21_left2_right2-4-0;1;1;	;-16,0;92,0;-1;27;0,07082915306091309;0,03484082221984863;49,18994610861084;6935,0;8726,0;12756,0;28417,0;	;-16,0;92,0;-1;27;0,07082915306091309;0,03484082221984863;49,18994610861084;6935,0;8726,0;12756,0;28417,0
Release%5CInstances%5C9x21_left2_right2-4-1;1;1;	;-16,0;92,0;-1;30;0,09096956253051758;0,03898787498474121;42,85815376067346;8371,0;11320,0;15953,0;35644,0;	;-28,0;92,0;-1;33;0,24734139442443848;0,11296439170837402;45,67144612863581;12208,0;19948,0;27969,0;60125,0
Release%5CInstances%5C9x21_left2_right2-4-2;1;1;	;-6,0;90,0;-1;24;0,04398679733276367;0,017993927001953125;40,907563389595325;4318,0;3738,0;6026,0;14082,0;	;-6,0;90,0;-1;24;0,04398679733276367;0,017993927001953125;40,907563389595325;4318,0;3738,0;6026,0;14082,0
Release%5CInstances%5C9x21_left2_right2-4-3;1;1;	;-9,0;87,0;-1;27;0,1609477996826172;0,054981231689453125;34,16090918786959;5106,0;5125,0;7818,0;18049,0;	;-21,0;87,0;-1;30;0,29390430450439453;0,11396121978759766;38,77494070043254;8569,0;12346,0;17579,0;38494,0
Release%5CInstances%5C9x21_left2_right2-4-4;1;1;	;-6,0;86,0;-1;23;0,03998708724975586;0,015994548797607422;39,99928451329017;4009,0;3231,0;5327,0;12567,0;	;-6,0;86,0;-1;23;0,03998708724975586;0,015994548797607422;39,99928451329017;4009,0;3231,0;5327,0;12567,0
Release%5CInstances%5C9x21_left2_right2-4-5;1;1;	;-12,0;100,0;-1;28;0,12196016311645508;0,07097554206848145;58,195676567527734;8425,0;10882,0;15313,0;34620,0;	;-12,0;100,0;-1;28;0,12196016311645508;0,07097554206848145;58,195676567527734;8425,0;10882,0;15313,0;34620,0
Release%5CInstances%5C9x21_left2_right2-4-6;1;1;	;-11,0;89,0;-1;26;0,07497549057006836;0,03398919105529785;45,33373612745254;6066,0;6768,0;9916,0;22750,0;	;-15,0;89,0;-1;27;0,15094947814941406;0,07097697257995605;47,02034975549968;7354,0;9480,0;13491,0;30325,0
Release%5CInstances%5C9x21_left2_right2-4-7;1;1;	;-13,0;95,0;-1;29;0,08996963500976562;0,04598379135131836;51,110345558617766;7193,0;9423,0;13561,0;30177,0;	;-21,0;95,0;-1;31;0,22493982315063477;0,1069631576538086;47,55189906154541;9766,0;14829,0;21013,0;45608,0
Release%5CInstances%5C9x21_left2_right2-4-8;1;1;	;-4,0;88,0;-1;24;0,06897640228271484;0,029990434646606445;43,47926776998908;3908,0;3025,0;5043,0;11976,0;	;-8,0;88,0;-1;25;0,11596107482910156;0,05198407173156738;44,82889780745761;4979,0;5137,0;7802,0;17918,0
Release%5CInstances%5C9x21_left2_right2-4-9;1;1;	;-15,0;85,0;-1;30;0,22203540802001953;0,1009674072265625;45,473561233737506;7029,0;8742,0;12608,0;28379,0;	;-35,0;85,0;-1;35;0,37398862838745117;0,16994857788085938;45,442177911568244;12716,0;20860,0;29327,0;62903,0
Release%5CInstances%5C9x21_left2_right2-6-0;1;1;	;-16,0;140,0;-1;26;0,08197641372680664;0,0369875431060791;45,119738013110975;8599,0;10383,0;14796,0;33778,0;	;-16,0;140,0;-1;26;0,08197641372680664;0,0369875431060791;45,119738013110975;8599,0;10383,0;14796,0;33778,0
Release%5CInstances%5C9x21_left2_right2-6-1;1;1;	;-17,0;133,0;-1;28;0,27484130859375;0,12489128112792969;45,441233622029756;7861,0;9973,0;14610,0;32444,0;	;-35,0;133,0;-1;31;0,6077325344085693;0,2128620147705078;35,025607930906645;12124,0;19942,0;28692,0;60758,0
Release%5CInstances%5C9x21_left2_right2-6-2;1;1;	;-7,0;143,0;-1;26;0,07497406005859375;0,040986061096191406;54,666988908110305;6916,0;6933,0;10150,0;23999,0;	;-13,0;143,0;-1;27;0,15394830703735352;0,0739750862121582;48,05189978101489;8450,0;10271,0;14615,0;33336,0
Release%5CInstances%5C9x21_left2_right2-6-3;1;1;	;-15,0;141,0;-1;37;0,23192405700683594;0,10996341705322266;47,4135449648423;9468,0;13122,0;18716,0;41306,0;	;-82,0;140,0;-1;47;1,3995404243469238;0,45185184478759766;32,28573015305707;24726,0;54332,0;80155,0;159213,0
Release%5CInstances%5C9x21_left2_right2-6-4;1;1;	;-17,0;139,0;-1;27;0,18194055557250977;0,06497907638549805;35,71445419688277;8117,0;10207,0;14885,0;33209,0;	;-23,0;139,0;-1;28;0,3338909149169922;0,14595246315002441;43,71261889120562;9789,0;14068,0;20176,0;44033,0
Release%5CInstances%5C9x21_left2_right2-6-5;1;1;	;-22,0;140,0;-1;27;0,10996460914611816;0,05598139762878418;50,908558729470435;9528,0;13705,0;19700,0;42933,0;	;-22,0;140,0;-1;27;0,10996460914611816;0,05598139762878418;50,908558729470435;9528,0;13705,0;19700,0;42933,0
Release%5CInstances%5C9x21_left2_right2-6-6;1;1;	;-10,0;134,0;-1;25;0,09196925163269043;0,030989408493041992;33,695401390030256;6127,0;6391,0;9727,0;22245,0;	;-16,0;134,0;-1;26;0,20543956756591797;0,08597111701965332;41,84739971868777;7564,0;9370,0;13734,0;30668,0
Release%5CInstances%5C9x21_left2_right2-6-7;1;1;	;-21,0;135,0;-1;26;0,09809064865112305;0,04498553276062012;45,86118389390942;8792,0;11975,0;17291,0;38058,0;	;-21,0;135,0;-1;26;0,09809064865112305;0,04498553276062012;45,86118389390942;8792,0;11975,0;17291,0;38058,0
Release%5CInstances%5C9x21_left2_right2-6-8;1;1;	;-11,0;127,0;-1;26;0,05998039245605469;0,02599048614501953;43,33163735809457;6001,0;5838,0;8994,0;20833,0;	;-29,0;127,0;-1;29;0,18094182014465332;0,07997345924377441;44,19843858088744;9959,0;14382,0;20615,0;44956,0
Release%5CInstances%5C9x21_left2_right2-6-9;1;1;	;-9,0;141,0;-1;29;0,08897089958190918;0,04198598861694336;47,19069809819091;7314,0;8319,0;12202,0;27835,0;	;-33,0;141,0;-1;33;0,3248937129974365;0,13695526123046875;42,153866249652346;13588,0;23508,0;33646,0;70742,0
Release%5CInstances%5C9x21_left2_right2-8-0;1;1;	;-38,0;186,0;-1;30;0,17712664604187012;0,07697486877441406;43,45753193803395;13156,0;21915,0;31788,0;66859,0;	;-54,0;186,0;-1;32;0,45706987380981445;0,2129652500152588;46,5935871555326;16597,0;31544,0;46121,0;94262,0
Release%5CInstances%5C9x21_left2_right2-8-1;1;1;	;-22,0;178,0;-1;28;0,13108468055725098;0,059108734130859375;45,0920228661226;9728,0;12782,0;18482,0;40992,0;	;-46,0;178,0;-1;31;0,3390161991119385;0,151078462600708;44,563788691060154;14392,0;25143,0;36418,0;75953,0
Release%5CInstances%5C9x21_left2_right2-8-2;1;1;	;-20,0;188,0;-1;31;0,12491035461425781;0,05393385887145996;43,17805280276077;9817,0;13428,0;19560,0;42805,0;	;-60,0;188,0;-1;36;0,5107841491699219;0,20088601112365723;39,32894383079784;18547,0;37131,0;54631,0;110309,0
Release%5CInstances%5C9x21_left2_right2-8-3;1;1;	;-24,0;184,0;-1;28;0,1538856029510498;0,06891274452209473;44,78180102658174;11124,0;15911,0;22767,0;49802,0;	;-40,0;184,0;-1;30;0,3578052520751953;0,1518850326538086;42,44907859035252;14707,0;25560,0;36737,0;77004,0
Release%5CInstances%5C9x21_left2_right2-8-4;1;1;	;-22,0;186,0;-1;31;0,23492813110351562;0,09596848487854004;40,85014613948202;10318,0;14784,0;21528,0;46630,0;	;-62,0;186,0;-1;36;0,7262444496154785;0,24639630317687988;33,927461105876716;19292,0;39504,0;58207,0;117003,0
Release%5CInstances%5C9x21_left2_right2-8-5;1;1;	;-28,0;188,0;-1;30;0,2191171646118164;0,09296917915344238;42,428980549353454;12680,0;19333,0;27447,0;59460,0;	;-52,0;188,0;-1;33;0,5098433494567871;0,20685648918151855;40,572558100819386;17558,0;33260,0;48238,0;99056,0
Release%5CInstances%5C9x21_left2_right2-8-6;1;1;	;-32,0;184,0;-1;27;0,14841318130493164;0,07020282745361328;47,30228598049768;11515,0;17632,0;25486,0;54633,0;	;-32,0;184,0;-1;27;0,14841318130493164;0,07020282745361328;47,30228598049768;11515,0;17632,0;25486,0;54633,0
Release%5CInstances%5C9x21_left2_right2-8-7;1;1;	;-38,0;186,0;-1;31;0,19623780250549316;0,09627056121826172;49,05811214206135;13880,0;23621,0;34117,0;71618,0;	;-62,0;186,0;-1;34;0,5081360340118408;0,22122979164123535;43,537512955847596;18851,0;38110,0;56118,0;113079,0
