sep=;
instance;solved;makespan;cost;wall_time;cpu_time
Instance-4-0.mpf; 1; 0; 92; 0,002; 0,000
Instance-4-1.mpf; 1; 0; 92; 0,030; 0,030
Instance-4-2.mpf; 1; 0; 90; 0,005; 0,010
Instance-4-3.mpf; 1; 0; 87; 0,013; 0,010
Instance-4-4.mpf; 1; 0; 86; 0,002; 0,010
Instance-4-5.mpf; 1; 0; 100; 0,002; 0,000
Instance-4-6.mpf; 1; 0; 89; 0,005; 0,000
Instance-4-7.mpf; 1; 0; 96; 0,050; 0,040
Instance-4-8.mpf; 1; 0; 88; 0,007; 0,000
Instance-4-9.mpf; 1; 0; 85; 0,029; 0,030
Instance-6-0.mpf; 1; 0; 140; 0,019; 0,020
Instance-6-1.mpf; 1; 0; 133; 0,108; 0,100
Instance-6-2.mpf; 1; 0; 143; 0,023; 0,030
Instance-6-3.mpf; 1; 0; 139; 1,022; 1,020
Instance-6-4.mpf; 1; 0; 141; 0,030; 0,010
Instance-6-5.mpf; 1; 0; 140; 0,004; 0,010
Instance-6-6.mpf; 1; 0; 134; 0,086; 0,090
Instance-6-7.mpf; 1; 0; 136; 0,016; 0,010
Instance-6-8.mpf; 1; 0; 127; 0,042; 0,040
Instance-6-9.mpf; 1; 0; 142; 0,100; 0,090
Instance-8-0.mpf; 1; 0; 189; 2,261; 2,240
Instance-8-1.mpf; 1; 0; 178; 0,238; 0,220
Instance-8-2.mpf; 1; 0; 188; 0,265; 0,260
Instance-8-3.mpf; 1; 0; 183; 0,199; 0,190
Instance-8-4.mpf; 1; 0; 192; 3,273; 3,220
Instance-8-5.mpf; 1; 0; 190; 1,182; 1,170
Instance-8-6.mpf; 1; 0; 184; 0,010; 0,000
Instance-8-7.mpf; 1; 0; 188; 0,602; 0,580
Instance-8-8.mpf; 1; 0; 190; 2,661; 2,630
Instance-8-9.mpf; 1; 0; 182; 0,161; 0,160
Instance-10-0.mpf; 1; 0; 238; 4,349; 4,320
Instance-10-1.mpf; 1; 0; 239; 52,687; 52,100
Instance-10-2.mpf; 1; 0; 236; 66,545; 65,980
Instance-10-3.mpf; 1; 0; 245; 147,756; 146,180
Instance-10-4.mpf; 1; 0; 234; 5,201; 5,120
Instance-10-5.mpf; 1; 0; 231; 15,929; 15,700
Instance-10-6.mpf; 1; 0; 223; 28,402; 27,970
Instance-10-7.mpf; 1; 0; 231; 2,395; 2,380
Instance-10-8.mpf; 1; 0; 241; 23,310; 23,180
Instance-10-9.mpf; 1; 0; 238; 26,937; 26,400
Instance-12-0.mpf; 0; 0; 0; 326,801; 322,560
Instance-12-1.mpf; 0; 0; 0; 454,340; 390,430
Instance-12-2.mpf; 0; 0; 0; 544,709; 313,820
Instance-12-3.mpf; 0; 0; 0; 467,321; 324,510
Instance-12-4.mpf; 0; 0; 0; 454,778; 308,880
Instance-12-5.mpf; 0; 0; 0; 457,244; 321,730
Instance-12-6.mpf; 0; 0; 0; 498,400; 323,460
Instance-12-7.mpf; 0; 0; 0; 483,747; 305,360
Instance-12-8.mpf; 0; 0; 0; 672,800; 348,200
Instance-12-9.mpf; 0; 0; 0; 464,158; 315,580
Instance-14-0.mpf; 0; 0; 0; 512,823; 332,990
Instance-12-0.mpf; 0; 0; 0; 326,801; 322,560
Instance-12-1.mpf; 0; 0; 0; 454,340; 390,430
Instance-12-2.mpf; 0; 0; 0; 544,709; 313,820
Instance-12-3.mpf; 0; 0; 0; 467,321; 324,510
Instance-12-4.mpf; 0; 0; 0; 454,778; 308,880
Instance-12-5.mpf; 0; 0; 0; 457,244; 321,730
Instance-12-6.mpf; 0; 0; 0; 498,400; 323,460
Instance-12-7.mpf; 0; 0; 0; 483,747; 305,360
Instance-12-8.mpf; 0; 0; 0; 672,800; 348,200
Instance-12-9.mpf; 0; 0; 0; 464,158; 315,580
Instance-14-0.mpf; 0; 0; 0; 512,823; 332,990
Instance-12-0.mpf; 0; 0; 0; 326,801; 322,560
Instance-12-1.mpf; 0; 0; 0; 454,340; 390,430
Instance-12-2.mpf; 0; 0; 0; 544,709; 313,820
Instance-12-3.mpf; 0; 0; 0; 467,321; 324,510
Instance-12-4.mpf; 0; 0; 0; 454,778; 308,880
Instance-12-5.mpf; 0; 0; 0; 457,244; 321,730
Instance-12-6.mpf; 0; 0; 0; 498,400; 323,460
Instance-12-7.mpf; 0; 0; 0; 483,747; 305,360
Instance-12-8.mpf; 0; 0; 0; 672,800; 348,200
Instance-12-9.mpf; 0; 0; 0; 464,158; 315,580
Instance-14-0.mpf; 0; 0; 0; 512,823; 332,990
