sep=;
instance;solved;makespan;cost;wall_time;cpu_time
warehouse-4-0.cpf; 1; 27; 92; 0,006; 0,000
warehouse-4-1.cpf; 1; 28; 93; 0,088; 0,090
warehouse-4-2.cpf; 1; 25; 92; 0,019; 0,010
warehouse-4-3.cpf; 1; 26; 87; 0,033; 0,030
warehouse-4-4.cpf; 1; 23; 86; 0,004; 0,000
warehouse-4-5.cpf; 1; 28; 100; 0,006; 0,000
warehouse-4-6.cpf; 1; 25; 89; 0,012; 0,010
warehouse-4-7.cpf; 1; 27; 97; 0,100; 0,100
warehouse-4-8.cpf; 1; 23; 89; 0,023; 0,020
warehouse-4-9.cpf; 1; 25; 85; 0,061; 0,060
warehouse-6-0.cpf; 1; 27; 143; 0,056; 0,050
warehouse-6-1.cpf; 1; 26; 136; 0,258; 0,250
warehouse-6-2.cpf; 1; 25; 144; 0,059; 0,050
warehouse-6-3.cpf; 1; 28; 142; 3,019; 3,000
warehouse-6-4.cpf; 1; 27; 141; 0,101; 0,090
warehouse-6-5.cpf; 1; 27; 141; 0,016; 0,010
warehouse-6-6.cpf; 1; 25; 138; 0,214; 0,200
warehouse-6-7.cpf; 1; 27; 137; 0,053; 0,050
warehouse-6-8.cpf; 1; 23; 129; 0,157; 0,150
warehouse-6-9.cpf; 1; 25; 142; 0,256; 0,250
warehouse-8-0.cpf; 1; 29; 196; 5,625; 5,590
warehouse-8-1.cpf; 1; 26; 183; 0,932; 0,920
warehouse-8-2.cpf; 1; 27; 190; 0,870; 0,850
warehouse-8-3.cpf; 1; 26; 188; 0,555; 0,550
warehouse-8-4.cpf; 1; 27; 195; 11,629; 11,580
warehouse-8-5.cpf; 1; 27; 193; 2,845; 2,830
warehouse-8-6.cpf; 1; 27; 186; 0,037; 0,030
warehouse-8-7.cpf; 1; 28; 191; 1,488; 1,470
warehouse-8-8.cpf; 1; 26; 192; 12,436; 12,380
warehouse-8-9.cpf; 1; 27; 183; 0,532; 0,530
warehouse-10-0.cpf; 1; 30; 245; 11,851; 11,790
warehouse-10-1.cpf; 1; 28; 245; 108,974; 108,540
warehouse-10-2.cpf; 1; 30; 243; 172,060; 171,370
warehouse-10-3.cpf; 1; 29; 252; 272,964; 271,860
warehouse-10-4.cpf; 1; 27; 238; 11,561; 11,510
warehouse-10-5.cpf; 1; 30; 240; 29,410; 29,280
warehouse-10-6.cpf; 1; 29; 232; 64,024; 63,760
warehouse-10-7.cpf; 1; 29; 236; 4,616; 4,590
warehouse-10-8.cpf; 1; 30; 247; 48,664; 48,450
warehouse-10-9.cpf; 1; 28; 248; 58,783; 58,500
warehouse-12-0.cpf; 0; 0; 0; 373,814; 372,120
warehouse-12-1.cpf; 0; 0; 0; 308,361; 307,090
warehouse-12-2.cpf; 0; 0; 0; 402,816; 401,290
warehouse-12-3.cpf; 0; 0; 0; 316,876; 315,610
warehouse-12-4.cpf; 0; 0; 0; 303,532; 302,260
warehouse-12-5.cpf; 0; 0; 0; 339,330; 337,980
warehouse-12-6.cpf; 0; 0; 0; 435,720; 433,890
warehouse-12-7.cpf; 0; 0; 0; 327,752; 326,480
warehouse-12-8.cpf; 0; 0; 0; 372,869; 371,340
warehouse-12-9.cpf; 0; 0; 0; 369,235; 367,720
warehouse-14-0.cpf; 0; 0; 0; 312,672; 311,380
warehouse-14-1.cpf; 0; 0; 0; 338,152; 336,880
warehouse-14-2.cpf; 0; 0; 0; 350,952; 349,420
warehouse-14-3.cpf; 0; 0; 0; 308,971; 307,760
warehouse-14-4.cpf; 0; 0; 0; 392,927; 391,300
warehouse-14-5.cpf; 0; 0; 0; 336,713; 335,270
warehouse-14-6.cpf; 0; 0; 0; 354,669; 353,250
warehouse-14-7.cpf; 0; 0; 0; 364,751; 363,210
warehouse-14-8.cpf; 0; 0; 0; 355,025; 353,530
warehouse-14-9.cpf; 0; 0; 0; 348,320; 346,820
warehouse-16-0.cpf; 0; 0; 0; 310,480; 309,170
warehouse-16-1.cpf; 0; 0; 0; 385,904; 384,250
warehouse-16-2.cpf; 0; 0; 0; 325,408; 324,080
warehouse-16-3.cpf; 0; 0; 0; 343,638; 342,240
warehouse-16-4.cpf; 0; 0; 0; 304,706; 303,320
warehouse-16-5.cpf; 0; 0; 0; 306,653; 305,480
warehouse-16-6.cpf; 0; 0; 0; 326,411; 325,070
warehouse-16-7.cpf; 0; 0; 0; 306,873; 305,590
warehouse-16-8.cpf; 0; 0; 0; 357,243; 355,730
warehouse-16-9.cpf; 0; 0; 0; 336,407; 334,970
