sep=;
Instance; First_solved;solved;;1stOPT;1stSOL-COST;1stMakespan;1stTheoricMakespan;1stRunTime;1stGroundTime;1stGroundPerc;1stAtoms;1stBodies;1stRules;1stTotal;;OPT;SOL-COST;Makespan;TheoricMakespan;RunTime;GroundTime;GroundPerc;Atoms;Bodies;Rules;Total
18x21_left2_right2-4-0;1;1;	;-14,0;110,0;-1;31;0,09196972846984863;0,04398488998413086;47,8253994177561;11909,0;15211,0;22037,0;49157,0;	;-14,0;110,0;-1;31;0,09196972846984863;0,04398488998413086;47,8253994177561;11909,0;15211,0;22037,0;49157,0
18x21_left2_right2-4-1;1;1;	;-18,0;102,0;-1;30;0,09596872329711914;0,04898405075073242;51,04168219376829;12814,0;16681,0;23916,0;53411,0;	;-18,0;102,0;-1;30;0,09596872329711914;0,04898405075073242;51,04168219376829;12814,0;16681,0;23916,0;53411,0
18x21_left2_right2-4-2;1;1;	;-18,0;98,0;-1;29;0,09296989440917969;0,04398512840270996;47,3111523705968;12493,0;15775,0;22684,0;50952,0;	;-18,0;98,0;-1;29;0,09296989440917969;0,04398512840270996;47,3111523705968;12493,0;15775,0;22684,0;50952,0
18x21_left2_right2-4-3;1;1;	;-23,0;93,0;-1;29;0,11896085739135742;0,055982351303100586;47,05947193952196;11800,0;16499,0;24296,0;52595,0;	;-23,0;93,0;-1;29;0,11896085739135742;0,055982351303100586;47,05947193952196;11800,0;16499,0;24296,0;52595,0
18x21_left2_right2-4-4;1;1;	;-24,0;100,0;-1;31;0,11796164512634277;0,060979604721069336;51,69443394567544;13739,0;19396,0;28036,0;61171,0;	;-24,0;100,0;-1;31;0,11796164512634277;0,060979604721069336;51,69443394567544;13739,0;19396,0;28036,0;61171,0
18x21_left2_right2-4-5;1;1;	;-22,0;98,0;-1;30;0,11296272277832031;0,058980464935302734;52,212325875897;14918,0;20255,0;28572,0;63745,0;	;-22,0;98,0;-1;30;0,11296272277832031;0,058980464935302734;52,212325875897;14918,0;20255,0;28572,0;63745,0
18x21_left2_right2-4-6;1;1;	;-19,0;101,0;-1;30;0,08997082710266113;0,04198575019836426;46,665960012189785;11770,0;15099,0;21952,0;48821,0;	;-19,0;101,0;-1;30;0,08997082710266113;0,04198575019836426;46,665960012189785;11770,0;15099,0;21952,0;48821,0
18x21_left2_right2-4-7;1;1;	;-12,0;96,0;-1;27;0,056981563568115234;0,024991750717163086;43,8593628398564;7272,0;7156,0;11659,0;26087,0;	;-12,0;96,0;-1;27;0,056981563568115234;0,024991750717163086;43,8593628398564;7272,0;7156,0;11659,0;26087,0
18x21_left2_right2-4-8;1;1;	;-22,0;102,0;-1;31;0,0989677906036377;0,04898428916931152;49,49518310001662;13802,0;18269,0;26005,0;58076,0;	;-22,0;102,0;-1;31;0,0989677906036377;0,04898428916931152;49,49518310001662;13802,0;18269,0;26005,0;58076,0
18x21_left2_right2-4-9;1;1;	;-25,0;107,0;-1;33;0,14295339584350586;0,07597494125366211;53,1466502109775;18252,0;26675,0;36976,0;81903,0;	;-25,0;107,0;-1;33;0,14295339584350586;0,07597494125366211;53,1466502109775;18252,0;26675,0;36976,0;81903,0
