sep=;
Instance;solved;groundtime;runtime;solcost;numexecs;windowsize
brc202d-10-0;1;77.075758934021;171.85273456573486;1427;48;8
brc202d-10-1;1;87.31840419769287;186.2490246295929;1672;50;8
brc202d-10-2;1;78.6852331161499;168.53981852531433;1198;45;8
brc202d-10-3;1;59.15662932395935;128.2310163974762;1347;35;8
brc202d-10-4;1;69.95409202575684;150.72865462303162;1779;41;8
brc202d-10-5;1;40.85862112045288;82.56496834754944;1402;21;8
brc202d-10-6;1;72.32931399345398;156.8936324119568;1501;43;8
brc202d-10-7;1;61.29992365837097;132.80851793289185;1175;36;8
brc202d-10-8;1;92.90857315063477;204.4070749282837;1589;55;8
brc202d-10-9;1;73.79083108901978;160.63540697097778;1391;44;8
brc202d-20-0;1;41.62936496734619;132.14973855018616;2669;44;8
brc202d-20-1;1;44.07556438446045;140.19210028648376;3191;46;8
brc202d-20-2;1;47.24352669715881;149.47905945777893;2895;50;8
brc202d-20-3;1;46.75369071960449;147.4727168083191;2242;49;8
brc202d-20-4;1;40.292805671691895;126.91144824028015;2462;42;8
brc202d-20-5;1;46.64172887802124;146.4690444469452;2441;49;8
brc202d-20-6;1;34.31276273727417;109.47215795516968;2352;36;8
brc202d-20-7;1;30.09214687347412;94.11918449401855;2297;31;8
brc202d-20-8;1;40.34278964996338;127.72719073295593;2642;42;8
brc202d-20-9;1;46.120895862579346;144.88256454467773;2204;48;8
brc202d-30-0;1;33.070173263549805;100.48910427093506;3364;31;8
brc202d-30-1;1;51.38717079162598;151.79530549049377;4354;47;8
brc202d-30-2;1;49.48379683494568;148.23346734046936;4440;46;8
brc202d-30-3;1;67.55887389183044;203.4443953037262;4796;63;8
brc202d-30-4;1;44.502426624298096;132.92548751831055;4108;41;8
brc202d-30-5;1;55.14894080162048;167.11429071426392;3290;50;8
brc202d-30-6;1;38.03054404258728;114.02166795730591;3266;35;8
brc202d-30-7;1;60.05233335494995;179.79213500022888;5285;55;8
brc202d-30-8;1;50.27753973007202;149.52204537391663;3665;46;8
brc202d-30-9;1;47.60440921783447;142.1734516620636;3640;44;8
brc202d-40-0;1;64.12600493431091;182.87112736701965;5645;52;8
brc202d-40-1;1;53.867358446121216;154.05756449699402;5169;44;8
