sep=;
Instance;solved;groundtime;runtime;solcost;numexecs;windowsize
den520d-10-0;1;28.41169548034668;48.37516140937805;1954;43;8
den520d-10-1;1;22.117750883102417;42.1561975479126;1617;43;8
den520d-10-2;1;29.656285047531128;46.4867799282074;1613;37;8
den520d-10-3;1;47.10857319831848;63.62816834449768;1418;37;8
den520d-10-4;1;29.11746335029602;42.34613561630249;1235;29;8
den520d-10-5;1;15.001088857650757;29.331396341323853;1068;31;8
den520d-10-6;1;22.087769269943237;33.53402090072632;1148;25;8
den520d-10-7;1;22.10375952720642;40.11886501312256;1100;39;8
den520d-10-8;1;38.730327129364014;53.40351486206055;1351;32;8
den520d-10-9;1;31.13380241394043;51.30920100212097;1316;44;8
den520d-20-0;1;23.53630495071411;45.04025387763977;2859;38;8
den520d-20-1;1;23.98114275932312;45.85098671913147;2845;39;8
den520d-20-2;1;19.841516971588135;38.329450607299805;2742;32;8
den520d-20-3;1;21.56194233894348;41.247495889663696;2886;35;8
den520d-20-4;1;16.841499090194702;32.26843547821045;2128;27;8
den520d-20-5;1;22.315696239471436;42.674028635025024;2664;36;8
den520d-20-6;1;26.74424457550049;51.00830006599426;3117;43;8
den520d-20-7;1;16.81649351119995;32.51735329627991;2405;27;8
den520d-20-8;1;27.026142835617065;51.653088331222534;2876;42;8
den520d-20-9;1;24.443991661071777;46.71070647239685;2190;40;8
den520d-30-0;1;27.38403630256653;51.82903075218201;4330;36;8
den520d-30-1;1;26.34137463569641;49.49479532241821;3513;34;8
den520d-30-2;1;33.71996307373047;63.910075187683105;4709;44;8
den520d-30-3;1;33.10915660858154;62.21063232421875;4447;43;8
den520d-30-4;1;35.47439169883728;66.22831606864929;3823;45;8
den520d-30-5;1;29.223442316055298;54.97400140762329;4468;37;8
den520d-30-6;1;25.844538927078247;48.63307762145996;3264;33;8
den520d-30-7;1;35.39041519165039;66.06336998939514;4857;45;8
den520d-30-8;1;33.57800769805908;63.279282331466675;4317;43;8
den520d-30-9;1;28.30771541595459;53.25556397438049;4224;37;8
den520d-40-0;1;42.693023443222046;79.67991232872009;5702;47;8
den520d-40-1;1;41.93926954269409;77.23471260070801;5450;44;8
den520d-40-2;1;35.18248009681702;64.9027509689331;5069;38;8
den520d-40-3;1;38.957237243652344;72.17936825752258;6445;42;8
den520d-40-4;1;36.83893632888794;67.72982501983643;5161;39;8
den520d-40-5;1;37.87860178947449;70.467928647995;6059;42;8
den520d-40-6;1;32.755286693573;61.17697024345398;4636;35;8
den520d-40-7;1;34.7546226978302;64.41491031646729;4930;38;8
den520d-40-8;1;42.06923961639404;77.90649271011353;5539;46;8
den520d-40-9;1;44.68437194824219;81.81421446800232;5868;48;8
den520d-50-0;1;42.53106880187988;79.28604102134705;6274;40;8
den520d-50-1;1;43.96859049797058;81.69525241851807;6953;42;8
den520d-50-2;1;52.924667835235596;97.48808193206787;7540;50;8
den520d-50-3;1;42.652050256729126;78.88917088508606;7003;40;8
den520d-50-4;1;45.721019983291626;85.2430911064148;6602;42;8
den520d-50-5;1;37.563698291778564;69.33929777145386;6050;35;8
den520d-50-6;1;40.43675971031189;75.19138193130493;7379;38;8
den520d-50-7;1;46.83865237236023;86.36772298812866;6470;43;8
den520d-50-8;1;46.62273097038269;86.64663124084473;6324;44;8
den520d-50-9;1;49.92265462875366;91.73596525192261;6501;47;8
den520d-60-0;1;52.61577081680298;97.98991751670837;8051;43;8
den520d-60-1;1;57.35621929168701;105.42748260498047;8109;47;8
den520d-60-2;1;43.54773426055908;81.00047945976257;7871;36;8
den520d-60-3;1;53.71140956878662;99.54041004180908;8245;44;8
den520d-60-4;1;58.1029736995697;107.44982051849365;8391;48;8
den520d-60-5;1;56.25757932662964;103.08325052261353;7011;47;8
den520d-60-6;1;54.339200019836426;100.95394730567932;9620;44;8
den520d-60-7;1;51.876007080078125;95.65768027305603;7785;42;8
den520d-60-8;1;63.23129630088806;116.2659342288971;8062;51;8
den520d-60-9;1;53.937340259552;98.43077325820923;7241;44;8
den520d-70-0;1;47.35449552536011;89.00186014175415;9795;34;8
den520d-70-1;1;53.92333722114563;100.32515287399292;9136;40;8
den520d-70-2;1;65.48456001281738;121.25330114364624;9380;48;8
den520d-70-3;1;59.357563734054565;110.8816967010498;9504;44;8
den520d-70-4;1;66.08935761451721;122.5958616733551;9574;48;8
den520d-70-5;1;61.51287269592285;115.01834177970886;9586;44;8
den520d-70-6;1;62.36057758331299;116.82275104522705;10658;46;8
den520d-70-7;1;62.05168104171753;115.18528747558594;10063;45;8
den520d-70-8;1;64.5968451499939;119.95272707939148;10052;48;8
den520d-70-9;1;69.0973687171936;128.17403483390808;8781;50;8
den520d-80-0;1;70.20701193809509;131.08508157730103;10489;46;8
den520d-80-1;1;68.34761691093445;128.3009934425354;11893;45;8
den520d-80-2;1;58.46385645866394;110.77972960472107;10841;39;8
den520d-80-3;1;64.07101917266846;120.71647691726685;11381;42;8
den520d-80-4;1;73.75087356567383;136.7952127456665;10426;44;8
den520d-80-5;1;77.23771166801453;144.30875205993652;11609;47;8
den520d-80-6;1;70.83980631828308;131.3839840888977;11193;44;8
den520d-80-7;1;73.97177839279175;138.48166060447693;10917;44;8
den520d-80-8;1;81.91417741775513;152.18817234039307;10859;49;8
den520d-80-9;1;81.54529452323914;152.6920075416565;10954;47;8
den520d-90-0;1;82.75925946235657;156.45613265037537;12958;42;8
den520d-90-1;1;86.90054321289062;162.11392283439636;12270;48;8
den520d-90-2;1;89.0928282737732;166.52547812461853;12211;48;8
den520d-90-3;1;77.3636691570282;144.24177384376526;11755;42;8
den520d-90-4;1;93.57336139678955;173.71912288665771;13415;50;8
den520d-90-5;1;77.39865636825562;146.67697739601135;13475;43;8
den520d-90-6;1;76.56593179702759;145.95721197128296;13274;42;8
den520d-90-7;1;83.12678575515747;152.30285692214966;12569;42;8
den520d-90-8;1;74.15272116661072;138.79055905342102;12391;41;8
den520d-90-9;1;84.64728426933289;156.22884917259216;12111;47;8
den520d-100-0;1;91.69597315788269;174.26394486427307;13828;49;8
den520d-100-1;1;100.12373375892639;189.34752988815308;12650;47;8
den520d-100-2;1;104.2848539352417;198.38804578781128;13647;43;8
den520d-100-3;1;97.10220742225647;183.75483751296997;13241;43;8
den520d-100-4;0;331.2715299129486;602.8106355667114;14023;160;8
den520d-100-5;1;91.92090058326721;174.06700897216797;13419;45;8
den520d-100-6;1;86.52166867256165;164.53612971305847;13514;42;8
den520d-100-7;1;109.58766627311707;205.51628017425537;15458;50;8
den520d-100-8;1;92.08584904670715;172.6734652519226;12472;43;8
den520d-100-9;1;78.06943416595459;150.45473980903625;14908;39;8
den520d-110-0;1;90.58333730697632;172.9263825416565;14492;42;8
den520d-110-1;1;102.33448839187622;193.56162643432617;14306;47;8
den520d-110-2;1;92.86959052085876;181.27664875984192;14895;43;8
den520d-110-3;1;90.18646812438965;175.67148423194885;15867;42;8
den520d-110-4;1;98.38578701019287;187.70054841041565;15023;48;8
den520d-110-5;1;91.2131335735321;175.50653791427612;15613;43;8
den520d-110-6;1;101.49576544761658;192.9778175354004;15232;47;8
den520d-110-7;1;99.19452214241028;191.70823335647583;15839;47;8
den520d-110-8;1;110.43783617019653;210.7125358581543;14442;52;8
