sep=;
Instance;solved;groundtime;runtime;solcost;numexecs;windowsize
ost003d-10-0;1;11.199326038360596;25.599623203277588;1184;58;4
ost003d-10-1;1;11.374269485473633;26.20842671394348;1303;62;4
ost003d-10-2;1;11.905094623565674;28.531658411026;973;68;4
ost003d-10-3;1;9.67083191871643;22.550617456436157;1114;51;4
ost003d-10-4;1;8.543206691741943;19.532603979110718;854;44;4
ost003d-10-5;1;10.044708013534546;22.778542041778564;1204;52;4
ost003d-10-6;1;9.113017320632935;21.235047340393066;796;50;4
ost003d-10-7;1;5.762111663818359;13.205675840377808;651;31;4
ost003d-10-8;1;14.129375696182251;33.494033336639404;1085;80;4
ost003d-10-9;1;12.765817880630493;29.963189840316772;942;70;4
ost003d-20-0;1;9.685827016830444;22.96248173713684;1975;51;4
ost003d-20-1;1;12.180009365081787;29.166450262069702;2222;65;4
ost003d-20-2;1;13.802477598190308;32.51335573196411;2080;73;4
ost003d-20-3;1;11.594201803207397;27.486000776290894;2736;62;4
ost003d-20-4;1;14.501246452331543;34.55068826675415;2471;77;4
ost003d-20-5;1;13.94942831993103;33.31509256362915;1859;75;4
ost003d-20-6;1;10.006718635559082;23.774221181869507;2301;53;4
ost003d-20-7;1;13.558556079864502;32.06350231170654;2828;72;4
ost003d-20-8;1;15.387948036193848;36.48005676269531;2447;82;4
ost003d-20-9;1;9.905757665634155;23.713236570358276;2088;53;4
ost003d-30-0;1;15.111048936843872;35.48738193511963;2977;73;4
ost003d-30-1;1;10.447580099105835;24.463990449905396;2954;51;4
ost003d-30-2;1;19.1627414226532;44.73235511779785;3237;94;4
ost003d-30-3;1;15.92076301574707;37.33577585220337;2741;78;4
ost003d-30-4;1;14.107387065887451;32.671302795410156;3316;68;4
ost003d-30-5;1;17.275357723236084;40.73766279220581;3420;84;4
ost003d-30-6;1;18.21402645111084;42.561065673828125;3831;89;4
ost003d-30-7;1;17.941131830215454;41.2954797744751;2645;87;4
ost003d-30-8;1;18.962782382965088;44.156543493270874;3813;93;4
ost003d-30-9;1;14.225337743759155;33.015191078186035;2855;69;4
ost003d-40-0;1;17.596232175827026;40.41176891326904;4534;78;4
ost003d-40-1;1;16.547577619552612;37.89959168434143;3724;72;4
ost003d-40-2;1;16.882468223571777;38.748313903808594;3870;75;4
ost003d-40-3;1;18.64988923072815;42.70701789855957;4821;83;4
ost003d-40-4;1;15.34196949005127;35.21647047996521;3771;68;4
ost003d-40-5;1;16.11771869659424;36.935906648635864;4547;71;4
ost003d-40-6;1;19.475614309310913;44.26850652694702;5166;86;4
ost003d-40-7;1;17.589236974716187;40.315800189971924;4374;78;4
ost003d-40-8;1;18.581904649734497;42.410114765167236;4233;82;4
ost003d-40-9;1;15.746841669082642;36.590020418167114;4852;70;4
ost003d-50-0;1;20.24237036705017;45.42812657356262;5263;82;4
ost003d-50-1;1;23.036452293395996;52.116936683654785;5521;95;4
ost003d-50-2;1;18.281004428863525;41.12853455543518;5554;75;4
ost003d-50-3;1;22.06876301765442;50.53245568275452;4712;91;4
ost003d-50-4;1;23.95814871788025;53.70241737365723;5456;97;4
ost003d-50-5;1;22.31968092918396;50.42149209976196;5422;92;4
ost003d-50-6;1;18.265013694763184;41.27848529815674;5288;75;4
ost003d-50-7;1;18.263007640838623;41.2354998588562;5125;75;4
ost003d-50-8;1;21.469966650009155;48.33417510986328;6432;87;4
ost003d-50-9;1;12.64285135269165;28.958519458770752;4567;52;4
ost003d-60-0;1;22.36466693878174;49.5417799949646;6700;84;4
ost003d-60-1;1;22.864506721496582;50.496466875076294;5747;86;4
ost003d-60-2;1;19.633562326431274;43.834648847579956;6343;74;4
ost003d-60-3;1;21.399986505508423;47.76436233520508;6346;80;4
ost003d-60-4;1;21.07908797264099;47.100579261779785;6383;79;4
ost003d-60-5;1;22.698554039001465;50.14258313179016;6628;85;4
